#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     30.0292     30.0292           0
           2     30.1297     30.0795   0.0355501
           3      30.294      30.151   0.0630201
           4     30.5223     30.2438   0.0932538
           5     30.8142     30.3579      0.1264
           6     31.1682     30.4929    0.162153
           7       31.58     30.6482    0.199973
           8     32.0408     30.8223    0.239017
           9     32.5334     31.0124    0.277973
          10     33.0265     31.2138    0.314796
          11     33.4644     31.4184    0.346343
          12     33.7514     31.6128    0.368026
          13     33.7316     31.7758    0.374068
          14     33.1804     31.8762    0.360552
          15     31.8702     31.8758    0.336515
          16     29.8245     31.7476    0.339024
          17      27.712     31.5102    0.393509
          18     26.7193      31.244      0.4528
          19     27.4288     31.0432    0.471395
          20     29.1414     30.9481    0.457315
          21     30.7647     30.9394    0.435622
          22     31.7663      30.977    0.417439
          23     32.1374     31.0274    0.402327
          24     32.0504       31.07    0.387815
          25     31.9161     31.1039    0.373776
          26     32.2739     31.1489    0.362099
          27     33.0353     31.2188    0.355365
          28     33.6877     31.3069    0.353443
          29     34.0847     31.4027    0.353997
          30     34.2981     31.4992     0.35511
          31     34.2536     31.5881    0.354596
          32     33.8859     31.6599     0.35071
          33     33.3372     31.7107    0.343746
          34     32.8596     31.7445    0.335293
          35     32.5955     31.7688    0.326593
          36     32.5219     31.7897     0.31819
          37     32.5244     31.8096    0.310209
          38     32.5018     31.8278     0.30258
          39     32.4605      31.844    0.295256
          40     32.4555     31.8593    0.288271
          41     32.4795     31.8744    0.281636
          42     32.5118     31.8896    0.275339
          43     32.5687     31.9054    0.269388
          44     32.6288     31.9219    0.263767
          45     32.5556     31.9359    0.258281
          46     32.2027     31.9417    0.252732
          47     31.6671     31.9359    0.247422
          48     31.2981     31.9226    0.242624
          49     31.1019     31.9059     0.23825
          50     30.8556     31.8849    0.234409
          51     30.5956     31.8596    0.231172
          52      30.476      31.833    0.228252
          53     30.5506     31.8088    0.225224
          54     30.7434      31.789    0.221916
          55     30.9634      31.774    0.218388
          56     31.1524     31.7629     0.21477
          57     31.2586     31.7541    0.211185
          58     31.2491     31.7454    0.207723
          59     31.1275     31.7349    0.204466
          60     30.9281     31.7215      0.2015
          61     30.7138     31.7049    0.198872
          62     30.5506     31.6863    0.196534
          63     30.4592     31.6668    0.194378
          64     30.4368     31.6476    0.192288
          65      30.476     31.6296    0.190173
          66     30.5153     31.6127    0.188039
          67     30.4586     31.5955     0.18602
          68     30.2344     31.5755    0.184358
          69     29.8321     31.5502     0.18341
          70     29.3594     31.5189     0.18344
          71     29.0072     31.4835    0.184236
          72      28.856      31.447    0.185256
          73     28.8018     31.4108    0.186229
          74     28.7227     31.3745    0.187222
          75     28.6639     31.3383    0.188181
          76     28.7377     31.3041    0.188791
          77     28.9226     31.2732    0.188855
          78     29.1412     31.2459    0.188402
          79     29.3092     31.2213    0.187605
          80     29.2975     31.1973    0.186795
          81     29.0049     31.1702     0.18644
          82     28.6018     31.1389    0.186778
          83     28.5224     31.1074    0.187169
          84     28.7077     31.0788    0.187109
          85     28.8007      31.052    0.186817
          86     28.7528     31.0253    0.186548
          87     28.6371     30.9978    0.186412
          88     28.5077     30.9695    0.186429
          89     28.4018     30.9407    0.186554
          90     28.3033     30.9114    0.186768
          91     28.1542     30.8811    0.187157
          92     27.9415     30.8491    0.187831
          93     27.7198     30.8155    0.188801
          94     27.5529     30.7808    0.189956
          95     27.4718     30.7459    0.191123
          96     27.4795     30.7119    0.192137
          97     27.5452     30.6793     0.19291
          98     27.6115      30.648    0.193465
          99     27.6345     30.6175     0.19389
         100     27.6047     30.5874    0.194278
         101     27.5385     30.5572    0.194685
         102     27.4595     30.5268    0.195131
         103     27.3778     30.4963    0.195617
         104     27.2889     30.4654    0.196152
         105     27.1896     30.4342    0.196749
         106     27.0907     30.4027    0.197406
         107     27.0087      30.371    0.198093
         108      26.947     30.3393    0.198779
         109     26.8906     30.3076    0.199458
         110     26.8241      30.276    0.200143
         111     26.7462     30.2442     0.20085
         112     26.6694     30.2122    0.201577
         113     26.6097     30.1804    0.202298
         114      26.574     30.1487    0.202982
         115     26.5491     30.1174    0.203616
         116     26.5037     30.0863     0.20423
         117      26.406     30.0548    0.204892
         118     26.2565     30.0226    0.205669
         119     26.1169     29.9898    0.206543
         120      26.069     29.9571     0.20739
         121     26.1059     29.9253    0.208104
         122     26.1423     29.8943    0.208696
         123     26.1245     29.8636    0.209237
         124     26.0582      29.833    0.209788
         125     25.9694      29.802    0.210375
         126     25.8719     29.7709    0.211005
         127     25.7601     29.7393    0.211693
         128     25.6221     29.7071    0.212469
         129     25.4678     29.6742    0.213348
         130     25.3437     29.6409    0.214292
         131     25.2999     29.6078    0.215203
         132     25.3374     29.5754    0.215991
         133     25.4032     29.5441    0.216633
         134     25.4339     29.5134    0.217177
         135     25.3901     29.4829    0.217705
         136     25.2666     29.4519    0.218301
         137     25.0923       29.42    0.219014
         138     24.9258     29.3875    0.219835
         139     24.8276     29.3547    0.220688
         140     24.8172     29.3223    0.221479
         141     24.8595     29.2906    0.222158
         142     24.8973     29.2597    0.222737
         143     24.8942     29.2291    0.223262
         144     24.8434     29.1987    0.223779
         145     24.7493      29.168     0.22433
         146     24.6104     29.1368    0.224955
         147     24.4348     29.1048    0.225687
         148     24.2751     29.0722    0.226509
         149     24.1892     29.0394    0.227347
         150     24.1455     29.0068    0.228161
         151     24.0738     28.9741    0.228977
         152     23.9745     28.9412     0.22982
         153     23.9053     28.9083    0.230663
         154     23.9112     28.8758    0.231437
         155     23.9866     28.8443    0.232083
         156     24.0886     28.8138    0.232589
         157     24.1721     28.7842    0.232979
         158     24.2115     28.7553    0.233295
         159     24.2021     28.7267    0.233579
         160     24.1544     28.6981     0.23386
         161     24.0855     28.6694    0.234156
         162     24.0051     28.6406    0.234474
         163     23.9057     28.6116    0.234828
         164     23.7747     28.5821    0.235241
         165     23.6238     28.5521    0.235727
