#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -4.04418    -4.04418           0
           2    -3.95154    -3.99786   0.0327535
           3    -3.91074    -3.96882   0.0322341
           4    -3.95764    -3.96602   0.0242963
           5    -4.08056    -3.98893   0.0282423
           6    -4.22635     -4.0285   0.0431126
           7    -4.35267    -4.07481   0.0566021
           8    -4.44704    -4.12134   0.0659334
           9    -4.51351    -4.16491   0.0715724
          10     -4.5594    -4.20436   0.0744975
          11    -4.59025    -4.23944   0.0755346
          12     -4.6089    -4.27023   0.0752536
          13    -4.61546    -4.29679   0.0740023
          14    -4.60872    -4.31907   0.0719926
          15    -4.58729    -4.33695   0.0693782
          16    -4.55012    -4.35027    0.066309
          17    -4.49605    -4.35885   0.0629605
          18    -4.42589    -4.36257   0.0595728
          19    -4.34763    -4.36179   0.0564426
          20    -4.28394    -4.35789   0.0537545
          21    -4.26414    -4.35343   0.0513798
          22    -4.29602    -4.35082   0.0491106
          23    -4.35683    -4.35108    0.046976
          24    -4.41634     -4.3538   0.0450973
          25    -4.45817    -4.35798   0.0434862
          26    -4.47978    -4.36266   0.0420653
          27    -4.48551    -4.36721   0.0407526
          28    -4.48263    -4.37133   0.0395051
          29    -4.47882    -4.37504   0.0383163
          30    -4.47887     -4.3785   0.0371951
          31    -4.48275    -4.38186    0.036147
          32    -4.48727    -4.38516   0.0351671
          33    -4.49018    -4.38834   0.0342452
          34    -4.49257    -4.39141   0.0333749
          35    -4.49799    -4.39445     0.03256
          36    -4.51074    -4.39768   0.0318154
          37    -4.53438    -4.40138   0.0311693
          38    -4.56876    -4.40578   0.0306587
          39       -4.61    -4.41102   0.0303164
          40    -4.65188    -4.41704   0.0301506
          41     -4.6881    -4.42365   0.0301313
          42    -4.71423    -4.43057   0.0301978
          43    -4.72691    -4.43746   0.0302717
          44    -4.72283    -4.44395   0.0302705
          45    -4.69835     -4.4496   0.0301211
          46    -4.65276    -4.45402   0.0297884
          47    -4.59523    -4.45702   0.0293057
          48     -4.5488    -4.45893   0.0287575
          49    -4.54013    -4.46059   0.0282183
