#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     20.0195     20.0195           0
           2     20.0865      20.053   0.0237001
           3      20.196     20.1007   0.0420134
           4     20.3482     20.1625   0.0621692
           5     20.5428     20.2386   0.0842669
           6     20.7788     20.3286    0.108102
           7     21.0533     20.4322    0.133315
           8     21.3605     20.5482    0.159345
           9     21.6889     20.6749    0.185316
          10     22.0177     20.8092    0.209864
          11     22.3096     20.9456    0.230896
          12      22.501     21.0752    0.245351
          13     22.4877     21.1839    0.249378
          14     22.1203     21.2508    0.240368
          15     21.2468     21.2505    0.224343
          16      19.883      21.165    0.226016
          17     18.4747     21.0068    0.262339
          18     17.8128     20.8293    0.301867
          19     18.2858     20.6955    0.314263
          20     19.4276     20.6321    0.304877
          21     20.5098     20.6263    0.290415
          22     21.1775     20.6513    0.278293
          23     21.4249     20.6849    0.268218
          24      21.367     20.7134    0.258543
          25     21.2774     20.7359    0.249184
          26     21.5159     20.7659    0.241399
          27     22.0236     20.8125     0.23691
          28     22.4585     20.8713    0.235629
          29     22.7231     20.9351    0.235998
          30     22.8654     20.9995     0.23674
          31     22.8358     21.0587    0.236398
          32     22.5906     21.1066    0.233807
          33     22.2248     21.1405    0.229164
          34     21.9064      21.163    0.223528
          35     21.7303     21.1792    0.217729
          36     21.6813     21.1932    0.212127
          37     21.6829     21.2064    0.206806
          38     21.6679     21.2185     0.20172
          39     21.6404     21.2294    0.196838
          40      21.637     21.2395     0.19218
          41      21.653     21.2496    0.187757
          42     21.6745     21.2597    0.183559
          43     21.7125     21.2703    0.179592
          44     21.7526     21.2812    0.175845
          45     21.7037     21.2906    0.172188
          46     21.4685     21.2945    0.168488
          47     21.1114     21.2906    0.164948
          48     20.8654     21.2817    0.161749
          49     20.7346     21.2706    0.158833
          50     20.5704     21.2566    0.156273
          51     20.3971     21.2397    0.154114
          52     20.3173      21.222    0.152168
          53     20.3671     21.2058    0.150149
          54     20.4956     21.1927    0.147944
          55     20.6423     21.1827    0.145592
          56     20.7682     21.1753     0.14318
          57      20.839     21.1694     0.14079
          58     20.8328     21.1636    0.138482
          59     20.7517     21.1566    0.136311
          60     20.6187     21.1476    0.134333
          61     20.4759     21.1366    0.132582
          62     20.3671     21.1242    0.131023
          63     20.3062     21.1112    0.129585
          64     20.2912     21.0984    0.128192
          65     20.3174     21.0864    0.126782
          66     20.3435     21.0751     0.12536
          67     20.3057     21.0637    0.124013
          68     20.1563     21.0503    0.122906
          69      19.888     21.0335    0.122273
          70     19.5729     21.0126    0.122294
          71     19.3382      20.989    0.122824
          72     19.2374     20.9647    0.123504
          73     19.2012     20.9405    0.124153
          74     19.1485     20.9163    0.124814
          75     19.1093     20.8922    0.125454
          76     19.1585     20.8694    0.125861
          77     19.2818     20.8488    0.125904
          78     19.4275     20.8306    0.125601
          79     19.5395     20.8142     0.12507
          80     19.5316     20.7982     0.12453
          81     19.3366     20.7802    0.124293
          82     19.0679     20.7593    0.124519
          83     19.0149     20.7383     0.12478
          84     19.1385     20.7192    0.124739
          85     19.2005     20.7013    0.124545
          86     19.1685     20.6835    0.124365
          87     19.0914     20.6652    0.124275
          88     19.0051     20.6464    0.124286
          89     18.9346     20.6271    0.124369
          90     18.8689     20.6076    0.124512
          91     18.7695     20.5874    0.124772
          92     18.6277     20.5661     0.12522
          93     18.4799     20.5437    0.125867
          94     18.3686     20.5205    0.126637
          95     18.3146     20.4973    0.127415
          96     18.3197     20.4746    0.128091
          97     18.3635     20.4528    0.128607
          98     18.4076      20.432    0.128976
          99      18.423     20.4117     0.12926
         100     18.4031     20.3916    0.129519
         101      18.359     20.3715     0.12979
         102     18.3064     20.3512    0.130087
         103     18.2519     20.3308    0.130411
         104     18.1926     20.3103    0.130768
         105     18.1264     20.2895    0.131166
         106     18.0605     20.2685    0.131604
         107     18.0058     20.2473    0.132062
         108     17.9646     20.2262    0.132519
         109     17.9271     20.2051    0.132972
         110     17.8827      20.184    0.133428
         111     17.8308     20.1628      0.1339
         112     17.7796     20.1415    0.134384
         113     17.7398     20.1202    0.134865
         114      17.716     20.0991    0.135321
         115     17.6994     20.0783    0.135744
         116     17.6691     20.0575    0.136153
         117      17.604     20.0365    0.136595
         118     17.5043     20.0151    0.137113
         119     17.4113     19.9932    0.137695
         120     17.3793     19.9714     0.13826
         121      17.404     19.9502    0.138736
         122     17.4282     19.9295     0.13913
         123     17.4163     19.9091    0.139491
         124     17.3721     19.8886    0.139859
         125     17.3129      19.868     0.14025
         126     17.2479     19.8472     0.14067
         127     17.1734     19.8262    0.141129
         128     17.0814     19.8047    0.141646
         129     16.9785     19.7828    0.142232
         130     16.8958     19.7606    0.142861
         131     16.8666     19.7385    0.143469
         132     16.8916      19.717    0.143994
         133     16.9355     19.6961    0.144422
         134     16.9559     19.6756    0.144785
         135     16.9268     19.6552    0.145137
         136     16.8444     19.6346    0.145534
         137     16.7282     19.6134     0.14601
         138     16.6172     19.5916    0.146557
         139     16.5517     19.5698    0.147125
         140     16.5448     19.5482    0.147652
         141      16.573     19.5271    0.148105
         142     16.5982     19.5064    0.148492
         143     16.5961     19.4861    0.148841
         144     16.5623     19.4658    0.149186
         145     16.4996     19.4453    0.149553
         146     16.4069     19.4245     0.14997
         147     16.2898     19.4032    0.150458
         148     16.1834     19.3814    0.151006
         149     16.1261     19.3596    0.151565
         150      16.097     19.3378    0.152107
         151     16.0492     19.3161    0.152651
         152      15.983     19.2941    0.153214
         153     15.9369     19.2722    0.153776
         154     15.9408     19.2506    0.154291
         155     15.9911     19.2295    0.154722
         156     16.0591     19.2092    0.155059
         157     16.1147     19.1895    0.155319
         158      16.141     19.1702     0.15553
         159     16.1347     19.1511    0.155719
         160     16.1029     19.1321    0.155907
         161      16.057      19.113    0.156104
         162     16.0034     19.0938    0.156316
         163     15.9372     19.0744    0.156552
         164     15.8498     19.0547    0.156828
         165     15.7492     19.0347    0.157151
         166      15.671     19.0144    0.157506
