#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      21.146      21.146           0
           2     21.1269     21.1365  0.00674663
           3     21.1752     21.1494   0.0114444
           4     21.2695     21.1794   0.0273875
           5     21.3638     21.2163   0.0396047
           6     21.4213     21.2505   0.0454085
           7     21.4264     21.2756   0.0453455
           8     21.3814     21.2888   0.0415619
           9     21.3048     21.2906    0.036982
          10     21.2302     21.2846   0.0337734
          11     21.1915     21.2761   0.0317458
          12     21.1967     21.2695   0.0297818
          13     21.2209     21.2657   0.0277239
          14     21.2298     21.2632   0.0258619
          15     21.2035     21.2592   0.0244414
          16     21.1397     21.2517    0.024028
          17     21.0461     21.2396   0.0254773
          18     20.9397      21.223   0.0290023
          19     20.8583     21.2038   0.0332256
          20     20.8601     21.1866   0.0357328
          21     20.9699     21.1763   0.0354897
          22     21.1279     21.1741   0.0339445
          23     21.2416      21.177   0.0325954
          24     21.2624     21.1806   0.0314307
          25     21.1983     21.1813   0.0301814
          26      21.094     21.1779   0.0292069
          27     21.0027     21.1714   0.0288369
          28     20.9528     21.1636   0.0288452
          29     20.9329     21.1557   0.0289272
          30     20.9135     21.1476   0.0290674
          31     20.8763     21.1388   0.0294174
          32     20.8351     21.1294   0.0299902
          33     20.8472     21.1208   0.0302756
          34     20.9533     21.1159   0.0297832
          35     21.0986     21.1154   0.0289364
          36     21.1991     21.1177   0.0282259
          37     21.2287     21.1207    0.027622
          38     21.2064      21.123    0.026987
          39     21.1608     21.1239   0.0263125
          40     21.1164     21.1237   0.0256553
          41     21.0911      21.123   0.0250419
          42     21.0932     21.1222   0.0244557
          43     21.1192     21.1222   0.0238871
          44     21.1576      21.123   0.0233577
          45     21.1963     21.1246   0.0228954
          46     21.2279     21.1269   0.0225076
          47     21.2487     21.1294   0.0221775
          48     21.2547     21.1321   0.0218684
          49     21.2373     21.1342   0.0215273
          50     21.1798     21.1351   0.0211161
          51     21.0593     21.1336   0.0207543
          52     20.8653     21.1285   0.0209869
          53     20.6405     21.1193   0.0225198
          54     20.5014     21.1078     0.02484
          55     20.5482     21.0976   0.0263901
          56     20.7439     21.0913   0.0266643
          57     20.9646     21.0891   0.0262891
          58     21.1265     21.0897   0.0258437
          59     21.2065     21.0917   0.0254813
          60     21.2102     21.0937    0.025133
          61     21.1558     21.0947   0.0247416
          62     21.0688     21.0943   0.0243461
          63     20.9708     21.0923   0.0240384
          64     20.8733     21.0889   0.0239053
          65     20.7917     21.0843   0.0239709
          66     20.7599     21.0794   0.0241064
          67     20.8034     21.0753    0.024096
          68        20.9     21.0727   0.0238792
          69     20.9936     21.0716   0.0235606
          70     21.0483     21.0713   0.0232264
          71     21.0685     21.0712   0.0228993
          72     21.0724     21.0712   0.0225813
          73     21.0608     21.0711   0.0222724
          74     21.0237     21.0704   0.0219806
          75     20.9654      21.069   0.0217322
          76     20.9109      21.067   0.0215456
          77     20.8901     21.0647   0.0213878
          78     20.9154     21.0628   0.0211991
          79     20.9734     21.0616   0.0209609
          80     21.0374     21.0613   0.0207011
          81     21.0854     21.0616   0.0204476
          82     21.1123     21.0622   0.0202076
          83     21.1285      21.063   0.0199799
          84      21.147      21.064   0.0197671
          85     21.1719     21.0653   0.0195752
          86     21.1969     21.0668   0.0194072
          87     21.2136     21.0685   0.0192573
          88      21.217     21.0702   0.0191122
          89     21.2064     21.0717   0.0189586
          90     21.1843      21.073   0.0187892
          91     21.1527     21.0739   0.0186031
          92     21.1087     21.0742   0.0184048
          93     21.0432     21.0739   0.0182099
          94     20.9518     21.0726   0.0180624
          95     20.8535     21.0703    0.018019
          96     20.7869     21.0674   0.0180715
          97     20.7648     21.0642   0.0181524
          98     20.7538     21.0611   0.0182414
          99     20.7304     21.0577   0.0183604
         100     20.7214     21.0544   0.0184824
         101     20.7636     21.0515   0.0185222
         102     20.8513     21.0495   0.0184443
         103     20.9486     21.0485   0.0182912
         104      21.029     21.0484   0.0181163
         105      21.085     21.0487   0.0179472
         106     21.1201     21.0494   0.0177905
         107     21.1405     21.0502   0.0176446
         108     21.1521     21.0512   0.0175064
         109     21.1592     21.0522   0.0173738
         110     21.1651     21.0532   0.0172462
         111     21.1719     21.0543   0.0171239
         112     21.1815     21.0554   0.0170087
         113     21.1953     21.0566   0.0169031
         114     21.2133      21.058   0.0168106
         115     21.2336     21.0595   0.0167337
         116     21.2515     21.0612    0.016671
         117     21.2586     21.0629   0.0166137
         118     21.2439     21.0644   0.0165436
         119     21.1954     21.0655   0.0164412
         120     21.1074     21.0659   0.0163079
         121     20.9922     21.0652   0.0161844
         122     20.8861     21.0638   0.0161182
         123     20.8292     21.0619   0.0160996
         124     20.8348       21.06   0.0160736
         125     20.8914     21.0587   0.0160015
         126     20.9855     21.0581   0.0158851
         127     21.1039     21.0585   0.0157641
         128     21.2279     21.0598   0.0156964
         129     21.3385      21.062   0.0157227
         130     21.4251     21.0648    0.015848
         131     21.4854      21.068   0.0160491
         132     21.5217     21.0714   0.0162914
         133     21.5373     21.0749   0.0165413
         134     21.5362     21.0783   0.0167722
         135      21.523     21.0816   0.0169682
         136     21.5031     21.0847   0.0171242
         137     21.4815     21.0876   0.0172423
         138     21.4589     21.0903    0.017326
         139     21.4314     21.0928   0.0173742
         140     21.3931     21.0949   0.0173821
         141     21.3438     21.0967   0.0173482
         142     21.2911     21.0981     0.01728
         143     21.2457     21.0991     0.01719
         144     21.2156     21.0999   0.0170896
         145     21.2047     21.1006    0.016987
         146     21.2131     21.1014   0.0168881
         147     21.2389     21.1023   0.0167991
         148      21.281     21.1035    0.016729
         149     21.3381     21.1051   0.0166906
         150     21.4035     21.1071   0.0166974
         151     21.4663     21.1095   0.0167554
         152     21.5177     21.1122   0.0168591
         153     21.5545     21.1151    0.016995
         154      21.577     21.1181   0.0171473
         155     21.5862     21.1211   0.0173006
         156     21.5818      21.124   0.0174399
         157      21.562     21.1268   0.0175505
         158     21.5256     21.1293   0.0176199
         159      21.476     21.1315   0.0176435
         160     21.4241     21.1333   0.0176277
         161     21.3835     21.1349   0.0175866
         162     21.3582     21.1363   0.0175319
         163     21.3345     21.1375   0.0174665
         164     21.2901     21.1384   0.0173848
         165     21.2102     21.1389   0.0172848
         166     21.0967     21.1386   0.0171826
         167     20.9651     21.1376   0.0171111
         168     20.8378     21.1358    0.017102
         169     20.7418     21.1335    0.017159
         170     20.7127      21.131   0.0172356
         171     20.7738     21.1289   0.0172609
         172     20.9014     21.1276   0.0172112
         173     21.0407     21.1271    0.017119
         174     21.1524     21.1272   0.0170212
         175     21.2256     21.1278   0.0169333
         176     21.2648     21.1286   0.0168549
         177     21.2778     21.1294   0.0167808
         178     21.2721     21.1302   0.0167057
         179     21.2532     21.1309   0.0166265
         180     21.2243     21.1314   0.0165422
         181     21.1864     21.1317   0.0164536
         182     21.1402     21.1318   0.0163632
         183     21.0912     21.1315   0.0162753
         184      21.051     21.1311   0.0161928
         185     21.0322     21.1306    0.016114
         186     21.0372     21.1301   0.0160352
         187      21.057     21.1297   0.0159542
         188     21.0788     21.1294   0.0158717
         189     21.0941     21.1292   0.0157888
         190     21.0978      21.129   0.0157066
         191     21.0873     21.1288   0.0156258
         192     21.0633     21.1285   0.0155482
         193     21.0321      21.128   0.0154756
         194     21.0054     21.1274   0.0154088
         195     20.9925     21.1267   0.0153452
         196      20.994      21.126   0.0152819
         197     21.0026     21.1254   0.0152171
         198     21.0117     21.1248   0.0151511
         199     21.0195     21.1243   0.0150842
         200     21.0304     21.1238   0.0150161
         201     21.0534     21.1234   0.0149455
         202     21.1008     21.1233   0.0148719
         203     21.1786     21.1236   0.0148011
         204     21.2767     21.1243   0.0147476
         205     21.3737     21.1256   0.0147257
         206     21.4513     21.1271   0.0147389
         207     21.5012      21.129    0.014778
         208     21.5238     21.1308   0.0148284
         209     21.5232     21.1327   0.0148758
         210     21.5046     21.1345     0.01491
         211     21.4725     21.1361   0.0149252
         212     21.4303     21.1375   0.0149192
         213     21.3797     21.1386   0.0148924
         214      21.321     21.1395   0.0148472
         215     21.2548       21.14   0.0147878
         216     21.1848     21.1402   0.0147208
         217     21.1228     21.1401   0.0146532
         218     21.0917     21.1399   0.0145876
         219     21.1158     21.1398   0.0145214
         220     21.1988     21.1401   0.0144579
         221     21.3167     21.1409   0.0144146
         222     21.4349     21.1422   0.0144104
         223     21.5291     21.1439   0.0144498
         224     21.5916     21.1459   0.0145228
         225     21.6252     21.1481   0.0146137
         226     21.6371     21.1502   0.0147083
         227     21.6344     21.1524   0.0147974
         228     21.6236     21.1544   0.0148762
         229     21.6096     21.1564   0.0149434
         230     21.5964     21.1583   0.0150004
         231      21.587     21.1602   0.0150498
         232     21.5833      21.162    0.015095
         233      21.585     21.1638    0.015139
         234     21.5896     21.1656   0.0151832
         235     21.5904     21.1674   0.0152258
         236     21.5755     21.1692   0.0152592
         237     21.5267     21.1707   0.0152692
         238     21.4209     21.1717   0.0152412
         239     21.2429      21.172   0.0151803
         240     21.0135     21.1714   0.0151314
         241      20.814     21.1699   0.0151412
         242     20.7512     21.1682   0.0151771
         243     20.8603     21.1669   0.0151675
         244     21.0631     21.1665   0.0151113
         245     21.2448     21.1668    0.015053
         246     21.3398     21.1675   0.0150082
         247     21.3442     21.1682   0.0149645
         248     21.2941     21.1687   0.0149128
         249     21.2455      21.169    0.014856
         250     21.2406     21.1693   0.0147994
         251     21.2784     21.1697   0.0147468
         252     21.3284     21.1704   0.0147017
         253     21.3663     21.1711    0.014664
         254     21.3854      21.172   0.0146305
         255     21.3888     21.1728   0.0145978
         256     21.3813     21.1737   0.0145634
         257     21.3665     21.1744   0.0145261
         258     21.3474     21.1751   0.0144853
         259     21.3266     21.1757   0.0144411
         260     21.3075     21.1762   0.0143945
         261     21.2938     21.1766   0.0143464
         262     21.2883      21.177    0.014298
         263     21.2907     21.1775   0.0142501
         264     21.2962     21.1779   0.0142032
         265      21.297     21.1784   0.0141568
         266     21.2869     21.1788   0.0141094
         267     21.2684     21.1791   0.0140606
         268      21.257     21.1794   0.0140111
         269     21.2734     21.1798   0.0139634
         270      21.326     21.1803   0.0139221
         271     21.4022     21.1811   0.0138948
         272     21.4806     21.1822   0.0138873
         273     21.5469     21.1836   0.0139005
         274     21.5977     21.1851   0.0139317
         275     21.6358     21.1867   0.0139772
         276     21.6653     21.1884   0.0140337
         277     21.6902     21.1903   0.0140994
         278     21.7132     21.1921   0.0141736
         279      21.736     21.1941   0.0142562
         280     21.7587     21.1961   0.0143472
         281     21.7798     21.1982   0.0144457
         282     21.7959     21.2003   0.0145492
         283     21.8022     21.2024   0.0146524
         284     21.7935     21.2045   0.0147479
         285     21.7677     21.2065   0.0148279
         286     21.7294     21.2083   0.0148884
         287     21.6915       21.21   0.0149314
         288     21.6698     21.2116   0.0149647
         289     21.6713     21.2132   0.0149972
         290     21.6845     21.2148   0.0150333
         291     21.6874     21.2164   0.0150691
         292     21.6831      21.218    0.015102
         293     21.7272     21.2198   0.0151501
         294     21.8635      21.222    0.015256
         295     22.0434     21.2247   0.0154563
         296     22.1916      21.228   0.0157455
         297     22.2874     21.2316   0.0160914
         298     22.3481     21.2353   0.0164678
         299     22.3939     21.2392   0.0168624
         300     22.4356     21.2432   0.0172714
         301     22.4771     21.2473   0.0176939
         302     22.5189     21.2515   0.0181294
         303     22.5627     21.2558   0.0185788
         304     22.6111     21.2603   0.0190451
         305     22.6642     21.2649    0.019531
         306     22.7166     21.2696    0.020035
         307     22.7644     21.2745   0.0205529
         308       22.81     21.2795   0.0210821
         309     22.8574     21.2846   0.0216235
         310     22.9061     21.2898   0.0221774
         311     22.9516     21.2952   0.0227407
         312     22.9915     21.3006   0.0233087
         313     23.0281     21.3061   0.0238788
         314     23.0679     21.3117    0.024453
         315     23.1179     21.3175   0.0250386
         316     23.1814     21.3234   0.0256448
         317     23.2539     21.3294   0.0262771
         318     23.3231     21.3357    0.026932
         319     23.3735     21.3421   0.0275947
         320     23.3926     21.3485   0.0282426
         321     23.3762     21.3548   0.0288524
         322     23.3283      21.361   0.0294065
         323     23.2555     21.3668   0.0298947
         324     23.1705     21.3724   0.0303163
         325     23.1123     21.3777   0.0306921
         326     23.1413     21.3832    0.031071
         327     23.2704     21.3889   0.0315075
         328     23.4387     21.3952   0.0320252
         329     23.5799     21.4018    0.032609
         330     23.6634     21.4087   0.0332225
         331     23.6798     21.4155   0.0338233
         332     23.6314     21.4222   0.0343737
         333     23.5446     21.4286   0.0348563
         334     23.4814     21.4347   0.0352897
         335     23.5065     21.4409   0.0357222
         336     23.6238     21.4474   0.0362018
         337     23.7747     21.4543   0.0367471
         338     23.9057     21.4616   0.0373473
         339     24.0051     21.4691   0.0379833
         340     24.0855     21.4768   0.0386432
         341     24.1544     21.4846   0.0393196
         342     24.2021     21.4926   0.0399995
         343     24.2115     21.5005   0.0406607
         344     24.1721     21.5083   0.0412775
         345     24.0886     21.5157     0.04183
         346     23.9866     21.5229   0.0423143
         347     23.9112     21.5298   0.0427485
         348     23.9053     21.5366   0.0431672
         349     23.9745     21.5436    0.043605
         350     24.0738     21.5508   0.0440756
         351     24.1455     21.5582   0.0445657
         352     24.1892     21.5657   0.0450615
         353     24.2751     21.5733   0.0455829
         354     24.4348     21.5814   0.0461652
         355     24.6104       21.59    0.046817
         356     24.7493     21.5988   0.0475192
         357     24.8434     21.6079   0.0482474
         358     24.8942     21.6171   0.0489781
         359     24.8973     21.6262   0.0496867
         360     24.8595     21.6352   0.0503539
         361     24.8172      21.644     0.05098
         362     24.8276     21.6528   0.0515921
         363     24.9258     21.6618   0.0522319
         364     25.0923     21.6713   0.0529318
         365     25.2666     21.6811   0.0536955
         366     25.3901     21.6913   0.0544967
         367     25.4339     21.7014   0.0552941
         368     25.4032     21.7115   0.0560514
         369     25.3374     21.7213   0.0567543
         370     25.2999      21.731   0.0574191
         371     25.3437     21.7407   0.0580841
         372     25.4678     21.7508   0.0587857
         373     25.6221     21.7611   0.0595373
         374     25.7601     21.7718   0.0603306
         375     25.8719     21.7828   0.0611524
         376     25.9694     21.7939   0.0619952
         377     26.0582     21.8052   0.0628542
         378     26.1245     21.8166   0.0637181
         379     26.1423     21.8281   0.0645641
         380     26.1059     21.8393   0.0653683
         381      26.069     21.8504   0.0661326
         382     26.1169     21.8616    0.066896
         383     26.2565     21.8731   0.0676984
         384      26.406     21.8849   0.0685435
         385     26.5037     21.8969   0.0694075
         386     26.5491     21.9089   0.0702663
         387      26.574      21.921   0.0711112
         388     26.6097     21.9331   0.0719474
         389     26.6694     21.9452   0.0727854
         390     26.7462     21.9575   0.0736324
         391     26.8241       21.97   0.0744886
         392     26.8906     21.9825   0.0753489
         393      26.947     21.9952   0.0762087
         394     27.0087     22.0079   0.0770703
         395     27.0907     22.0208    0.077942
         396     27.1896     22.0338   0.0788305
         397     27.2889      22.047   0.0797356
         398     27.3778     22.0604   0.0806523
         399     27.4595      22.074   0.0815774
         400     27.5385     22.0876   0.0825095
         401     27.6047     22.1014   0.0834429
         402     27.6345     22.1152   0.0843629
         403     27.6115     22.1288   0.0852488
         404     27.5452     22.1422   0.0860856
         405     27.4795     22.1554   0.0868759
         406     27.4718     22.1685   0.0876433
         407     27.5529     22.1817   0.0884208
         408     27.7198     22.1953   0.0892399
         409     27.9415     22.2093   0.0901208
         410     28.1542     22.2238     0.09106
         411     28.3033     22.2386    0.092032
         412     28.4018     22.2536   0.0930164
         413     28.5077     22.2687   0.0940158
         414     28.6371     22.2841   0.0950388
         415     28.7528     22.2997   0.0960795
         416     28.8007     22.3153   0.0971111
         417     28.7077     22.3307   0.0980807
         418     28.5224     22.3455   0.0989583
         419     28.6018     22.3604   0.0998423
         420     29.0049     22.3762     0.10085
         421     29.2975     22.3927    0.101942
         422     29.3092      22.409    0.103009
         423     29.1412      22.425    0.103988
         424     28.9226     22.4403    0.104866
         425     28.7377     22.4551    0.105661
         426     28.6639     22.4697    0.106413
         427     28.7227     22.4843    0.107167
         428     28.8018     22.4991    0.107928
         429      28.856     22.5139    0.108689
         430     29.0072      22.529     0.10948
         431     29.3594     22.5448    0.110367
         432     29.8321     22.5617    0.111394
         433     30.2344     22.5794    0.112537
         434     30.4586     22.5976    0.113732
         435     30.5153     22.6158    0.114918
         436      30.476     22.6338     0.11606
         437     30.4368     22.6517     0.11716
         438     30.4592     22.6695    0.118241
         439     30.5506     22.6875    0.119327
         440     30.7138     22.7057    0.120442
         441     30.9281     22.7243    0.121603
         442     31.1275     22.7434    0.122805
         443     31.2491     22.7626     0.12402
         444     31.2586     22.7817    0.125208
         445     31.1524     22.8005    0.126332
         446     30.9634     22.8188    0.127367
         447     30.7434     22.8365     0.12831
         448     30.5506     22.8538    0.129174
         449      30.476     22.8707    0.129997
         450     30.5956     22.8879    0.130837
         451     30.8556     22.9056    0.131734
         452     31.1019     22.9237    0.132685
         453     31.2981     22.9422    0.133674
         454     31.6671     22.9614    0.134754
         455     32.2027     22.9817    0.135979
         456     32.5556     23.0027    0.137292
         457     32.6288     23.0238    0.138598
         458     32.5687     23.0446    0.139854
         459     32.5118     23.0652    0.141062
         460     32.4795     23.0857    0.142232
         461     32.4555      23.106    0.143369
         462     32.4605     23.1263    0.144481
         463     32.5018     23.1465    0.145581
         464     32.5244     23.1667    0.146663
         465     32.5219     23.1869    0.147722
         466     32.5955      23.207    0.148778
         467     32.8596     23.2277    0.149888
         468     33.3372     23.2493    0.151116
         469     33.8859      23.272    0.152487
         470     34.2536     23.2954    0.153942
         471     34.2981     23.3187    0.155377
         472     34.0847     23.3415    0.156713
         473     33.6877     23.3634    0.157901
         474     33.0353     23.3838    0.158881
         475     32.2739     23.4025    0.159645
         476     31.9161     23.4204    0.160309
         477     32.0504     23.4385     0.16099
         478     32.1374     23.4567    0.161679
         479     31.7663      23.474    0.162269
         480     30.7647     23.4892     0.16264
         481     29.1414      23.501    0.162726
         482     27.4288     23.5091    0.162593
         483     26.7193     23.5158    0.162392
         484      27.712     23.5244    0.162287
         485     29.8245     23.5374    0.162472
         486     31.8702     23.5546     0.16304
         487     33.1804     23.5744    0.163899
         488     33.7316     23.5952    0.164879
         489     33.7514     23.6159    0.165845
         490     33.4644      23.636     0.16672
         491     33.0265     23.6552    0.167474
         492     32.5334     23.6732    0.168103
         493     32.0408     23.6902    0.168616
         494       31.58     23.7061     0.16903
         495     31.1682     23.7212    0.169359
         496     30.8142     23.7355     0.16962
         497     30.5223     23.7492    0.169828
         498      30.294     23.7623    0.169995
         499     30.1297     23.7751    0.170132
         500     30.0292     23.7876    0.170251
