#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.13224     2.13224           0
           2     2.14967     2.14096  0.00616152
           3     2.16276     2.14822  0.00721629
           4     2.17178     2.15411  0.00743659
           5     2.17816     2.15892  0.00734149
           6     2.18179     2.16273  0.00703798
           7     2.18176     2.16545  0.00653661
           8     2.17864      2.1671  0.00592366
           9     2.17594     2.16808  0.00534622
          10     2.17804     2.16908  0.00490339
          11     2.18489     2.17051  0.00466371
          12     2.19183     2.17229  0.00460081
          13     2.19479     2.17402  0.00456094
          14     2.19311     2.17538  0.00443422
          15      2.1888     2.17628   0.0042278
          16     2.18495     2.17682  0.00399817
          17      2.1835     2.17721  0.00378224
          18     2.18421      2.1776    0.003592
          19     2.18594     2.17804  0.00342967
          20     2.18798     2.17854  0.00329397
          21     2.18989     2.17908  0.00318113
          22     2.19115     2.17963  0.00308352
          23     2.19112     2.18013  0.00298969
          24     2.18919      2.1805  0.00288885
          25     2.18517     2.18069   0.0027793
          26      2.1798     2.18066  0.00267262
          27     2.17461     2.18043  0.00258298
          28     2.17057     2.18008  0.00251464
          29     2.16697     2.17963  0.00246821
          30     2.16234     2.17905  0.00245231
          31      2.1554     2.17829  0.00248911
          32     2.14575     2.17727  0.00261073
          33     2.13647     2.17604  0.00280924
          34     2.13501     2.17483  0.00297451
          35     2.14519     2.17398  0.00300769
          36     2.16066     2.17361  0.00294681
          37     2.17294     2.17359  0.00286723
          38     2.17898     2.17374  0.00279527
          39     2.17975     2.17389  0.00272785
          40     2.17714     2.17397  0.00266086
          41     2.17268     2.17394  0.00259615
          42     2.16751     2.17379  0.00253884
          43     2.16258     2.17353  0.00249314
          44     2.15864     2.17319  0.00245933
          45     2.15617     2.17281  0.00243359
          46     2.15521     2.17243  0.00241058
          47     2.15539     2.17206   0.0023864
          48     2.15605     2.17173   0.0023599
          49     2.15642     2.17142  0.00233234
          50     2.15567      2.1711  0.00230686
          51       2.153     2.17075  0.00228878
          52     2.14807     2.17031  0.00228592
          53      2.1422     2.16978  0.00230351
          54     2.13892     2.16921  0.00233069
          55     2.14127      2.1687  0.00234301
          56     2.14809     2.16833  0.00232989
          57     2.15562     2.16811  0.00229967
          58     2.16149       2.168  0.00226285
          59     2.16536     2.16795  0.00222494
          60     2.16755     2.16795  0.00218787
          61     2.16805     2.16795    0.002152
          62     2.16604     2.16792  0.00211751
          63     2.15994     2.16779  0.00208768
          64     2.14895      2.1675   0.0020757
          65     2.13743     2.16703  0.00209468
          66     2.13497     2.16655  0.00211852
          67     2.14333      2.1662  0.00211505
          68     2.15254       2.166  0.00209346
          69     2.15495     2.16584  0.00206923
          70     2.15128     2.16563  0.00205009
          71     2.14812     2.16539    0.002036
          72     2.15095     2.16518  0.00201757
          73     2.15937      2.1651   0.0019915
          74     2.17202      2.1652  0.00196678
          75     2.18736     2.16549  0.00196263
          76      2.2016     2.16597  0.00199347
          77     2.21117     2.16656  0.00205221
          78     2.21429     2.16717  0.00211517
          79     2.21011     2.16771   0.0021571
          80     2.19874      2.1681  0.00216473
          81     2.18296     2.16828  0.00214577
          82      2.1684     2.16828   0.0021196
          83      2.1587     2.16817   0.0020972
          84     2.15253     2.16798  0.00208048
          85      2.1484     2.16775  0.00206873
          86     2.14862     2.16753  0.00205659
          87     2.15652      2.1674  0.00203685
          88     2.17044     2.16744  0.00201399
          89     2.18395     2.16762  0.00199989
          90      2.1924      2.1679  0.00199653
          91     2.19618     2.16821  0.00199864
          92     2.19856     2.16854  0.00200395
          93     2.20168      2.1689  0.00201384
          94     2.20469     2.16928   0.0020281
          95     2.20565     2.16966  0.00204257
          96      2.2038     2.17001  0.00205203
          97     2.19952     2.17032   0.0020533
          98     2.19341     2.17055  0.00204582
          99      2.1861     2.17071  0.00203117
         100     2.17881     2.17079  0.00201247
         101     2.17352     2.17082  0.00199273
         102     2.17143     2.17083   0.0019732
         103     2.17103     2.17083  0.00195405
         104     2.16871     2.17081  0.00193536
         105     2.16154     2.17072  0.00191894
         106     2.15076     2.17053  0.00191005
         107     2.14356     2.17028  0.00190876
         108     2.14634     2.17006  0.00190391
         109     2.15617     2.16993   0.0018907
         110     2.16605     2.16989  0.00187384
         111     2.17171     2.16991  0.00185703
         112     2.17163     2.16993  0.00184052
         113     2.16686      2.1699  0.00182443
         114     2.16128     2.16982  0.00180999
         115     2.15862     2.16973  0.00179687
         116     2.15765     2.16962  0.00178439
         117     2.15311     2.16948  0.00177471
         118     2.14426     2.16927   0.0017725
         119     2.14048     2.16903  0.00177403
         120     2.14851     2.16885  0.00176746
         121      2.1606     2.16879  0.00175417
         122     2.16831     2.16878   0.0017398
         123     2.17066      2.1688  0.00172572
         124     2.16918      2.1688   0.0017118
         125      2.1648     2.16877  0.00169841
         126     2.15792     2.16868  0.00168711
         127     2.14973     2.16853  0.00168041
         128     2.14297     2.16833  0.00167911
         129     2.14035     2.16812  0.00168005
         130     2.14191     2.16791  0.00167917
         131     2.14528     2.16774  0.00167522
         132     2.14844      2.1676   0.0016689
