#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     31.0187     31.0187           0
           2     32.0361     31.5274     0.35969
           3     32.1945     31.7498     0.30077
           4      32.628     31.9693     0.29502
           5     32.9022     32.1559    0.289055
           6     31.6505     32.0717    0.252853
           7     31.3873     31.9739    0.234873
           8     30.4134     31.7789    0.274823
           9     29.0501     31.4757    0.376021
          10      28.175     31.1456     0.46106
          11     27.8163     30.8429    0.508883
          12     26.3781     30.4708    0.586941
          13     26.2906     30.1493    0.623684
          14     25.9935     29.8525    0.645926
          15     25.2332     29.5445    0.672278
          16     25.0146     29.2614    0.687294
          17     24.6058     28.9875      0.6993
          18      24.307     28.7275    0.707144
          19     23.9407     28.4756    0.713395
          20     23.7457     28.2391    0.715852
          21     23.5144     28.0141    0.716247
          22     23.3449     27.8018    0.714443
          23     22.9847     27.5924     0.71342
          24     23.0145     27.4017    0.708736
          25     22.7143     27.2142    0.704751
          26     22.5099     27.0332    0.700486
          27     22.2946     26.8577    0.696181
          28     22.4699      26.701    0.688729
          29     22.2355      26.547    0.681976
          30     22.2206     26.4028    0.674319
          31     22.0941     26.2638    0.666738
          32     21.8061     26.1245    0.660294
          33      21.859     25.9953    0.652814
          34     21.7609     25.8707    0.645384
          35     21.7291     25.7524      0.6377
          36     21.5676     25.6361    0.630492
          37     21.6611     25.5287    0.622538
          38     21.7711     25.4298    0.613958
          39      21.585     25.3312    0.606079
          40     21.6964     25.2404    0.597701
          41     21.9433       25.16    0.588508
          42     21.9132     25.0827    0.579551
          43     21.8739      25.008    0.570857
          44      22.156     24.9432    0.561551
          45     22.5016      24.889    0.551687
          46     22.1964     24.8304     0.54279
          47     21.9103     24.7683    0.534785
          48     21.9859     24.7103    0.526776
          49     21.6733     24.6483    0.519659
          50     21.4408     24.5842     0.51321
          51      21.166     24.5172    0.507505
          52     21.6475      24.462    0.500737
          53     21.7128     24.4101    0.493968
          54     21.4636     24.3555    0.487825
          55     21.6562     24.3065    0.481418
          56     21.6873     24.2597    0.475088
          57     21.2604     24.2071    0.469658
          58     21.5973     24.1621    0.463711
          59     21.6147     24.1189    0.457857
          60     21.8222     24.0806    0.451823
          61     21.6472     24.0407    0.446174
          62     21.4472     23.9989    0.440934
          63     21.1855     23.9542    0.436191
          64     20.9088     23.9067    0.431963
          65     20.8631     23.8598    0.427848
          66     20.7783     23.8131    0.423905
          67     20.5775     23.7649     0.42032
          68     20.5857     23.7181    0.416731
          69      20.623     23.6732    0.413098
          70     20.5606     23.6288    0.409583
          71     20.6028     23.5862    0.406026
          72     20.7086     23.5462    0.402349
          73     20.8731     23.5096      0.3985
          74     20.9762     23.4753    0.394582
          75     21.4804     23.4487    0.390217
          76     21.4342     23.4222    0.385982
          77     21.3258      23.395    0.381928
          78       21.17     23.3665    0.378095
          79      21.265     23.3399    0.374244
          80     21.0438     23.3112    0.370665
          81     20.9476      23.282    0.367235
          82     20.9367     23.2534    0.363869
          83     21.0853     23.2273    0.360421
          84     20.8841     23.1994    0.357208
          85     20.9373     23.1728    0.353996
          86     20.7087     23.1441    0.351037
          87     20.6456     23.1154    0.348175
          88     20.4447      23.085    0.345539
          89     20.5561     23.0566    0.342823
          90     20.6995     23.0304    0.340013
          91     20.4741     23.0024    0.337435
          92     20.7208     22.9776    0.334677
          93     20.5633     22.9516    0.332084
          94     20.5404     22.9259     0.32954
          95     20.1872     22.8971     0.32733
          96      20.001     22.8669    0.325307
          97     20.1369     22.8388    0.323169
          98     20.2457     22.8123    0.320953
          99      20.304      22.787    0.318709
         100     20.5054     22.7642    0.316338
