#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     20.6792     20.6792           0
           2     21.3574     21.0183    0.239794
           3      21.463     21.1665    0.200513
           4      21.752     21.3129     0.19668
           5     21.9348     21.4373    0.192703
           6     21.1004     21.3811    0.168569
           7     20.9249     21.3159    0.156582
           8     20.2756     21.1859    0.183215
           9     19.3667     20.9838    0.250681
          10     18.7833     20.7637    0.307373
          11     18.5442     20.5619    0.339255
          12     17.5854     20.3139    0.391294
          13     17.5271     20.0995     0.41579
          14      17.329     19.9016    0.430617
          15     16.8221     19.6963    0.448185
          16     16.6764     19.5076    0.458196
          17     16.4039      19.325      0.4662
          18     16.2047     19.1517    0.471429
          19     15.9605     18.9837    0.475597
          20     15.8305      18.826    0.477235
          21     15.6762     18.6761    0.477498
          22     15.5633     18.5346    0.476295
          23     15.3231     18.3949    0.475613
          24      15.343     18.2678     0.47249
          25     15.1429     18.1428    0.469834
          26     15.0066     18.0222     0.46699
          27     14.8631     17.9051    0.464121
          28     14.9799     17.8007    0.459153
          29     14.8236      17.698    0.454651
          30     14.8138     17.6019    0.449546
          31     14.7294     17.5092    0.444492
          32     14.5374     17.4163    0.440196
          33     14.5727     17.3302    0.435209
          34     14.5072     17.2471    0.430256
          35     14.4861     17.1683    0.425133
          36     14.3784     17.0908    0.420328
          37     14.4407     17.0191    0.415025
          38     14.5141     16.9532    0.409306
          39       14.39     16.8875    0.404053
          40     14.4642     16.8269    0.398467
          41     14.6289     16.7733    0.392338
          42     14.6088     16.7218    0.386367
          43     14.5826      16.672    0.380571
          44     14.7707     16.6288    0.374367
          45      15.001     16.5926    0.367791
          46     14.7976     16.5536     0.36186
          47     14.6068     16.5122    0.356524
          48     14.6573     16.4735    0.351184
          49     14.4489     16.4322    0.346439
          50     14.2939     16.3895     0.34214
          51     14.1106     16.3448    0.338337
          52     14.4317      16.308    0.333824
          53     14.4752     16.2734    0.329312
          54     14.3091      16.237    0.325217
          55     14.4375     16.2043    0.320945
          56     14.4582     16.1731    0.316725
          57     14.1736     16.1381    0.313105
          58     14.3982     16.1081     0.30914
          59     14.4098     16.0793    0.305238
          60     14.5481     16.0537    0.301215
          61     14.4315     16.0272    0.297449
          62     14.2981     15.9993    0.293956
          63     14.1236     15.9695    0.290794
          64     13.9392     15.9378    0.287975
          65     13.9087     15.9066    0.285232
          66     13.8522     15.8754    0.282603
          67     13.7183     15.8432    0.280213
          68     13.7238     15.8121    0.277821
          69     13.7487     15.7822    0.275399
          70     13.7071     15.7525    0.273055
          71     13.7352     15.7241    0.270684
          72     13.8057     15.6975    0.268232
          73     13.9154      15.673    0.265666
          74     13.9841     15.6502    0.263055
          75     14.3203     15.6325    0.260145
          76     14.2894     15.6148    0.257321
          77     14.2172     15.5967    0.254619
          78     14.1133     15.5777    0.252063
          79     14.1766     15.5599    0.249496
          80     14.0292     15.5408     0.24711
          81     13.9651     15.5213    0.244824
          82     13.9578     15.5023    0.242579
          83     14.0569     15.4849    0.240281
          84     13.9227     15.4663    0.238139
          85     13.9582     15.4485    0.235997
          86     13.8058     15.4294    0.234025
          87     13.7637     15.4103    0.232117
          88     13.6298       15.39    0.230359
          89      13.704     15.3711    0.228549
          90     13.7997     15.3536    0.226675
          91     13.6494     15.3349    0.224956
          92     13.8139     15.3184    0.223118
          93     13.7089     15.3011    0.221389
          94     13.6936      15.284    0.219693
          95     13.4581     15.2647     0.21822
          96      13.334     15.2446    0.216871
          97     13.4246     15.2259    0.215446
          98     13.4971     15.2082    0.213968
          99      13.536     15.1913    0.212473
         100     13.6703     15.1761    0.210892
