#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     30.9364     30.9364           0
           2     32.5938     31.7651    0.585993
           3     31.4556     31.6619    0.399638
           4      29.599     31.1462    0.537876
           5     28.0499     30.5269    0.701393
           6     26.6715     29.8844    0.828085
           7     25.1829     29.2127    0.943636
           8     23.9523     28.5552      1.0296
           9     23.4091     27.9834     1.06217
          10     23.0062     27.4857      1.0662
          11     22.6385      27.045     1.05642
          12     22.2551     26.6459     1.04107
          13     21.9992     26.2884      1.0205
          14     21.7692     25.9656    0.997355
          15     21.5005      25.668    0.974274
          16     21.5003     25.4075    0.947563
          17     21.1271     25.1557    0.924672
          18     20.7768     24.9124    0.904736
          19     20.7418     24.6929    0.883346
          20     20.8556      24.501    0.859763
          21      21.119       24.34    0.833769
          22     20.8551     24.1816    0.810778
          23     20.9189     24.0397    0.787839
          24     20.8148     23.9054    0.766386
          25     20.5535     23.7713    0.747366
          26     20.3804     23.6409    0.729912
          27     20.3887     23.5204    0.712747
          28     20.6522      23.418    0.694614
          29     20.8168     23.3283    0.676428
          30     21.0992      23.254    0.657949
          31     21.0156     23.1818    0.640675
          32     21.1364     23.1179    0.623834
          33     21.0462     23.0551     0.60808
          34     20.7823     22.9882    0.593859
          35     20.7325     22.9238    0.580378
          36     20.8242     22.8655    0.567179
          37      20.763     22.8086    0.554689
          38     20.6368     22.7515    0.543029
          39     20.6408     22.6974    0.531795
          40     20.3077     22.6376    0.521845
          41     20.1572     22.5771    0.512612
          42     20.4078     22.5255    0.503002
          43     20.3729     22.4754    0.493789
          44     20.1674      22.423    0.485345
          45     20.3973     22.3779    0.476642
          46     20.3083     22.3329    0.468399
          47     20.2164     22.2879    0.460593
          48     20.2282      22.245    0.452992
          49     19.7605     22.1943    0.446576
          50     19.7238     22.1449    0.440369
          51     19.6017      22.095    0.434549
          52      19.544      22.046    0.428952
          53     19.3297     21.9947    0.423909
          54     19.2277     21.9435    0.419144
          55      19.438     21.8979    0.413992
          56     19.5389     21.8558    0.408737
          57     19.7036      21.818    0.403306
          58     19.8766     21.7846    0.397739
          59     20.2164      21.758    0.391885
          60     20.3635     21.7347    0.386042
          61      19.911     21.7048    0.380869
          62       19.75     21.6733    0.376029
          63     19.6862     21.6418    0.371381
          64     19.8379     21.6136    0.366646
          65     19.8325     21.5862    0.362028
          66     19.8167     21.5594    0.357534
          67     20.1903     21.5389    0.352781
          68     20.3157      21.521    0.348052
          69     20.3513      21.504     0.34342
          70     20.5194     21.4899    0.338802
          71     20.5305     21.4764    0.334299
          72     20.6156     21.4645     0.32987
          73     20.3061     21.4486    0.325733
          74     19.9551     21.4284    0.321956
          75     19.9969     21.4093    0.318228
          76     19.7563     21.3876    0.314783
          77     19.6752     21.3653     0.31148
          78      19.652     21.3434     0.30826
          79     19.7406     21.3231    0.305025
          80     19.7923      21.304    0.301812
          81     19.5954     21.2829    0.298822
          82     19.6768     21.2633    0.295819
          83     19.6673      21.244    0.292879
          84     19.8068     21.2269    0.289892
          85     19.7449     21.2095    0.287005
          86     19.4993     21.1896    0.284356
          87     19.4538     21.1697    0.281787
          88     19.7851     21.1539    0.279023
          89     20.0544     21.1416    0.276162
          90     20.4377     21.1338    0.273204
          91     20.5941     21.1278    0.270266
          92     20.3155      21.119    0.267472
          93     19.9749     21.1067    0.264879
          94     19.8179      21.093    0.262416
          95     19.5333     21.0766    0.260167
          96     19.1992      21.057    0.258191
          97     19.0861     21.0367    0.256327
          98     19.2573     21.0185    0.254354
          99     19.1267     20.9994    0.252501
         100     19.2555      20.982    0.250578
