TEMP:   # BLOCK TAKEN:   ACCEPTED MC MOVES:
           2           20           1
         1.9           20           1
         1.8           20           1
         1.7           20           1
         1.6           20           1
         1.5           20           1
         1.4           20           1
         1.3           20           1
         1.2           20           1
         1.1           20           1
           1           20           1
         0.9           20           1
         0.8           20           1
         0.7           20           1
         0.6           20           1
