TEMP:   # BLOCK TAKEN:   ACCEPTED MC MOVES:
           2           20    0.537615
         1.9           20    0.517418
         1.8           20    0.495545
         1.7           20    0.471682
         1.6           20    0.445572
         1.5           20    0.417323
         1.4           20    0.387028
         1.3           20    0.353546
         1.2           20    0.317309
         1.1           20     0.27937
           1           20    0.238029
         0.9           20    0.195141
         0.8           20     0.15167
         0.7           20    0.108031
         0.6           20   0.0650003
         0.5           20   0.0258654
