#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -0.51       -0.51           0
           2       -0.51       -0.51           0
           3       -0.51       -0.51           0
           4       -0.51       -0.51           0
           5    -0.49352   -0.506704  0.00294803
           6       -0.51   -0.507253  0.00250735
           7     -0.4812   -0.503531   0.0040611
           8       -0.51    -0.50434  0.00363306
           9    -0.50596    -0.50452  0.00323385
          10       -0.51   -0.505068  0.00295653
          11       -0.51   -0.505516  0.00272154
          12       -0.51    -0.50589  0.00252026
          13       -0.51   -0.506206  0.00234614
          14       -0.51   -0.506477  0.00219415
          15       -0.51   -0.506712  0.00206041
          16       -0.51   -0.506918  0.00194185
          17    -0.50596   -0.506861  0.00182844
          18    -0.50592   -0.506809  0.00172761
          19       -0.51   -0.506977  0.00164483
          20    -0.50596   -0.506926  0.00156337
          21       -0.51   -0.507072  0.00149576
          22       -0.51   -0.507205  0.00143368
          23       -0.51   -0.507327  0.00137649
          24       -0.51   -0.507438  0.00132363
          25       -0.51   -0.507541  0.00127465
          26       -0.51   -0.507635  0.00122912
          27       -0.51   -0.507723  0.00118672
          28       -0.51   -0.507804  0.00114712
          29       -0.51    -0.50788  0.00111006
          30       -0.51   -0.507951   0.0010753
          31       -0.51   -0.508017  0.00104265
          32       -0.51   -0.508079   0.0010119
          33       -0.51   -0.508137 0.000982913
          34       -0.51   -0.508192  0.00095553
          35       -0.51   -0.508243 0.000929625
          36       -0.51   -0.508292 0.000905081
          37       -0.51   -0.508338 0.000881796
          38       -0.51   -0.508382 0.000859674
          39       -0.51   -0.508424 0.000838632
          40       -0.51   -0.508463 0.000818591
          41       -0.51     -0.5085 0.000799484
          42    -0.50596    -0.50844 0.000782733
          43       -0.51   -0.508476  0.00076537
          44       -0.51   -0.508511 0.000748759
          45       -0.51   -0.508544  0.00073285
          46       -0.51   -0.508576 0.000717602
          47       -0.51   -0.508606 0.000702974
          48       -0.51   -0.508635 0.000688928
          49       -0.51   -0.508663 0.000675431
          50       -0.51    -0.50869 0.000662452
          51       -0.51   -0.508715 0.000649961
          52       -0.51    -0.50874 0.000637931
          53       -0.51   -0.508764 0.000626337
          54       -0.51   -0.508787 0.000615157
          55    -0.48048   -0.508272 0.000790473
          56    -0.49744   -0.508079 0.000799673
          57       -0.51   -0.508112 0.000786354
          58       -0.51   -0.508145  0.00077347
          59       -0.51   -0.508176 0.000760999
          60       -0.51   -0.508207 0.000748922
          61       -0.51   -0.508236 0.000737222
          62       -0.51   -0.508265  0.00072588
          63       -0.51   -0.508292  0.00071488
          64       -0.51   -0.508319 0.000704208
          65       -0.51   -0.508345 0.000693849
          66       -0.51    -0.50837  0.00068379
          67    -0.50188   -0.508273 0.000680409
          68       -0.51   -0.508298 0.000670877
          69    -0.50596   -0.508264  0.00066201
          70       -0.51   -0.508289 0.000653017
          71       -0.51   -0.508313 0.000644264
          72    -0.50188   -0.508224 0.000641482
          73       -0.51   -0.508248 0.000633155
          74       -0.51   -0.508272 0.000625042
          75       -0.51   -0.508295 0.000617132
          76       -0.51   -0.508317  0.00060942
          77       -0.51   -0.508339 0.000601897
          78       -0.51   -0.508361 0.000594557
          79    -0.50596    -0.50833 0.000587807
          80       -0.51   -0.508351  0.00058083
          81       -0.51   -0.508371 0.000574015
          82       -0.51   -0.508391 0.000567359
          83       -0.51   -0.508411 0.000560854
          84       -0.51    -0.50843 0.000554496
          85       -0.51   -0.508448 0.000548281
          86       -0.51   -0.508466 0.000542202
          87       -0.51   -0.508484 0.000536257
          88       -0.51   -0.508501  0.00053044
          89       -0.51   -0.508518 0.000524747
          90       -0.51   -0.508534 0.000519175
          91       -0.51    -0.50855 0.000513719
          92       -0.51   -0.508566 0.000508377
          93       -0.51   -0.508582 0.000503144
          94       -0.51   -0.508597 0.000498018
          95       -0.51   -0.508611 0.000492995
          96       -0.51   -0.508626 0.000488072
          97       -0.51    -0.50864 0.000483245
          98       -0.51   -0.508654 0.000478514
          99       -0.51   -0.508667 0.000473873
         100       -0.51   -0.508681 0.000469322
