#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20     2.77334     2.71904  0.00899021
         1.9           20     2.83525     2.86737   0.0115104
         1.8           20       3.132     3.03025   0.0113023
         1.7           20     3.25649     3.22659   0.0098519
         1.6           20     3.40158      3.4823   0.0128805
         1.5           20     3.79971     3.79307   0.0155345
         1.4           20     3.97089     4.09699   0.0179785
         1.3           20     4.57015     4.60724   0.0210561
         1.2           20      5.2293     5.31441   0.0303669
         1.1           20     6.25032     6.17106   0.0349613
           1           20     7.59746     7.47635   0.0485552
         0.9           20     9.90969     9.35045   0.0858931
         0.8           20     12.5495     12.3264    0.114178
         0.7           20     17.9212     17.1562    0.240182
         0.6           20     27.4786     26.3642    0.383399
         0.5           20     38.2191       39.51    0.410128
