#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20     1.34435     1.36425  0.00581057
         1.9           20     1.50297     1.51702  0.00703329
         1.8           20     1.68247      1.7006  0.00703367
         1.7           20     1.93361      1.9318  0.00746082
         1.6           20      2.2322     2.21183   0.0090066
         1.5           20     2.56414     2.57486   0.0122351
         1.4           20     2.99322       3.064   0.0192523
         1.3           20     3.66263     3.75313   0.0247508
         1.2           20     4.44999     4.65745   0.0338637
         1.1           20     5.82111     6.01825   0.0458286
           1           20       7.485     8.15681   0.0787519
         0.9           20     10.9402     11.7058    0.116882
         0.8           20     18.4929     18.6829   0.0323848
         0.7           20     31.9373     32.0889   0.0653427
         0.6           20     56.6899     56.9449    0.110324
         0.5           20     90.7328     90.3921   0.0725828
