#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.893596    0.893596           0
           2    0.877909    0.885753  0.00554611
           3    0.870526    0.880677  0.00555382
           4     0.88698    0.882253  0.00438318
           5    0.901375    0.886077  0.00489864
           6     0.89185    0.887039  0.00417563
           7    0.888069    0.887186   0.0035817
           8    0.889995    0.887537  0.00315114
           9    0.903201    0.889278  0.00324623
          10    0.886886    0.889039   0.0029304
          11    0.893201    0.889417  0.00268832
          12    0.892301    0.889657  0.00247502
          13    0.887987    0.889529  0.00228796
          14    0.899234    0.890222  0.00222707
          15    0.892441     0.89037  0.00208351
          16    0.888343    0.890243  0.00195714
          17    0.897371    0.890663  0.00188639
          18    0.885796    0.890392  0.00180086
          19    0.878716    0.889778   0.0018079
          20    0.889417     0.88976  0.00171759
