#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     90.3012     90.3012           0
           2     90.2007     90.2509   0.0355218
           3     90.0497     90.1839   0.0596714
           4     90.5596     90.2778   0.0928577
           5      90.736     90.3694    0.110618
           6     90.5183     90.3943   0.0949231
           7     90.2065     90.3674   0.0850681
           8      90.771     90.4179   0.0881289
           9     90.8044     90.4608   0.0881842
          10     89.9925      90.414   0.0909561
          11     89.8778     90.3652   0.0948518
          12     90.4597     90.3731   0.0872737
          13     90.7002     90.3983   0.0841091
          14     90.1371     90.3796   0.0801429
          15     90.3617     90.3784   0.0748089
          16     90.3358     90.3758   0.0701807
          17     90.9386     90.4089   0.0734488
          18     90.4194     90.4095   0.0693706
          19      89.739     90.3742   0.0741544
          20     90.7328     90.3921   0.0725828
