#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -1.00333    -1.00333           0
           2    -1.00314    -1.00324 6.67138e-05
           3    -1.00287    -1.00311 0.000110547
           4     -1.0037    -1.00326 0.000151992
           5    -1.00428    -1.00347 0.000219621
           6    -1.00375    -1.00351 0.000188023
           7    -1.00352    -1.00351 0.000161163
           8    -1.00392    -1.00356 0.000148718
           9    -1.00424    -1.00364 0.000150049
          10    -1.00316    -1.00359 0.000142505
          11    -1.00315    -1.00355 0.000135123
          12    -1.00385    -1.00358 0.000126085
          13    -1.00392     -1.0036 0.000119059
          14    -1.00346    -1.00359 0.000110995
          15     -1.0037     -1.0036 0.000103815
          16    -1.00344    -1.00359 9.78068e-05
          17    -1.00433    -1.00363 0.000101198
          18    -1.00347    -1.00362 9.59929e-05
          19    -1.00284    -1.00358  9.9369e-05
          20    -1.00406    -1.00361 9.72436e-05
