# DISTANCE:  AVE_GOFR:     CUMUL_AVE_GOFR:   ERROR:

   0.0128248           0           0           0
   0.0384745           0           0           0
   0.0641241           0           0           0
   0.0897737           0           0           0
    0.115423           0           0           0
    0.141073           0           0           0
    0.166723           0           0           0
    0.192372           0           0           0
    0.218022           0           0           0
    0.243672           0           0           0
    0.269321           0           0           0
    0.294971           0           0           0
     0.32062           0           0           0
     0.34627           0           0           0
     0.37192           0           0           0
    0.397569           0           0           0
    0.423219           0           0           0
    0.448869           0           0           0
    0.474518           0           0           0
    0.500168           0           0           0
    0.525818           0           0           0
    0.551467           0           0           0
    0.577117           0           0           0
    0.602767           0           0           0
    0.628416           0           0           0
    0.654066           0           0           0
    0.679715           0           0           0
    0.705365           0           0           0
    0.731015           0           0           0
    0.756664           0           0           0
    0.782314           0           0           0
    0.807964           0           0           0
    0.833613           0  6.2003e-06 6.16922e-06
    0.859263           0 1.16714e-05 1.16129e-05
    0.884913           0  0.00100417 0.000116703
    0.910562    0.019401   0.0253712 0.000615732
    0.936212    0.169598    0.170713  0.00173058
    0.961861    0.546911    0.577672  0.00309757
    0.987511     1.18863     1.22475  0.00489613
     1.01316     1.85329     1.87618  0.00664553
     1.03881     2.38878     2.34674  0.00686382
     1.06446     2.61185     2.55322  0.00726093
     1.09011     2.53372     2.55098  0.00623696
     1.11576     2.37502     2.40196  0.00604553
     1.14141     2.16144     2.19673  0.00621935
     1.16706     2.03258     1.96403  0.00497624
     1.19271     1.77269     1.74467  0.00558819
     1.21836     1.55989     1.54649  0.00575329
     1.24401     1.39915     1.38172  0.00521098
     1.26966     1.19405     1.23289  0.00392143
     1.29531     1.09539     1.11242  0.00408773
     1.32096     0.99923      1.0123  0.00418952
     1.34661    0.904459    0.932771  0.00391122
     1.37226    0.849227    0.872449  0.00361776
     1.39791    0.790934    0.816526  0.00382922
     1.42355    0.788771    0.769692  0.00338736
      1.4492    0.745163    0.738811  0.00298742
     1.47485     0.74826    0.707674  0.00288594
      1.5005    0.730457    0.695232  0.00273019
     1.52615    0.722483    0.682127  0.00287405
      1.5518    0.719942    0.676782  0.00301548
     1.57745    0.694988     0.67485  0.00288501
      1.6031    0.711546    0.682368   0.0027482
     1.62875    0.735224    0.691442  0.00279072
      1.6544    0.712709    0.706821  0.00258825
     1.68005    0.703275    0.727235  0.00287289
      1.7057     0.72506    0.755891  0.00269867
     1.73135    0.788619    0.784537  0.00307086
       1.757    0.770973    0.820404  0.00275796
     1.78265    0.831433    0.855867   0.0031825
      1.8083     0.84054    0.896175  0.00304053
     1.83395    0.838567    0.935375  0.00297112
      1.8596    0.949106    0.981118  0.00290874
     1.88525    0.988601     1.02212  0.00299431
      1.9109     1.06239     1.05724  0.00303396
     1.93655     1.10703     1.09822  0.00277119
      1.9622     1.18101     1.12892  0.00300047
     1.98785     1.20336     1.16241  0.00299379
      2.0135     1.25945     1.18936  0.00298051
     2.03915     1.20593     1.20595  0.00327485
      2.0648     1.21314      1.2127  0.00284045
     2.09045     1.19215     1.21232  0.00281609
      2.1161     1.19154     1.20691  0.00273368
     2.14174     1.17545     1.19225  0.00271647
     2.16739     1.15782     1.17234  0.00306233
     2.19304     1.12277     1.14762   0.0027348
     2.21869     1.10294     1.12455  0.00246413
     2.24434     1.05859     1.09262  0.00299182
     2.26999     1.07646     1.06231  0.00281419
     2.29564     1.05947     1.03388  0.00271132
     2.32129     1.00567     1.00547  0.00241816
     2.34694    0.988188    0.979379  0.00231379
     2.37259     1.00068    0.958295  0.00249218
     2.39824    0.953195    0.939733  0.00252861
     2.42389    0.941954    0.923222  0.00235038
     2.44954    0.933701    0.912976  0.00250307
     2.47519    0.909503    0.901492  0.00220501
     2.50084     0.90602    0.895561  0.00215051
     2.52649    0.881968    0.891745  0.00210868
     2.55214    0.923108     0.89504  0.00228487
