#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -5.4749     -5.4749           0
           2    -5.46116    -5.46803  0.00485834
           3    -5.46785    -5.46797  0.00323926
           4    -5.44637    -5.46257   0.0052695
           5    -5.46217    -5.46249   0.0042162
           6    -5.47008    -5.46376  0.00369845
           7    -5.47893    -5.46593  0.00375221
           8     -5.4953     -5.4696  0.00475144
           9    -5.47202    -5.46987  0.00423109
          10     -5.4522     -5.4681  0.00416061
          11    -5.47482    -5.46871  0.00382704
          12    -5.47518    -5.46925  0.00354591
          13    -5.46089    -5.46861    0.003331
          14       -5.46    -5.46799  0.00314927
          15    -5.45146    -5.46689  0.00312625
          16    -5.47792    -5.46758  0.00300598
          17    -5.48155     -5.4684  0.00293931
          18    -5.42451    -5.46596     0.00365
          19    -5.45363    -5.46531  0.00351513
          20    -5.47733    -5.46591  0.00339034
          21    -5.49574    -5.46733  0.00351383
          22     -5.4485    -5.46648  0.00345683
          23    -5.44625     -5.4656  0.00341663
          24    -5.46055    -5.46539  0.00328074
          25    -5.44972    -5.46476  0.00320883
          26    -5.46769    -5.46487   0.0030874
          27    -5.42217    -5.46329  0.00335373
          28    -5.46713    -5.46343  0.00323676
          29    -5.45591    -5.46317  0.00313553
          30    -5.44709    -5.46263   0.0030765
          31    -5.45953    -5.46253  0.00297889
          32    -5.45445    -5.46228  0.00289648
          33    -5.44889    -5.46188    0.002837
          34    -5.45552    -5.46169  0.00275972
          35     -5.4215    -5.46054  0.00290992
          36    -5.46179    -5.46058  0.00282929
          37    -5.46942    -5.46081   0.0027629
          38     -5.4544    -5.46065  0.00269533
          39    -5.45246    -5.46044  0.00263437
          40    -5.43849    -5.45989  0.00262504
          41    -5.47073    -5.46015  0.00257432
          42    -5.48711    -5.46079  0.00259181
          43    -5.45074    -5.46056  0.00254205
          44     -5.4729    -5.46084   0.0024997
          45    -5.45444     -5.4607  0.00244819
          46    -5.48161    -5.46115  0.00243681
          47    -5.46859    -5.46131   0.0023901
          48    -5.42629    -5.46058  0.00244914
          49    -5.44528    -5.46027  0.00241898
          50    -5.49878    -5.46104  0.00249019
          51    -5.44796    -5.46078  0.00245453
          52    -5.46526    -5.46087  0.00240884
          53    -5.46241     -5.4609  0.00236357
          54    -5.46306    -5.46094  0.00232014
          55    -5.45945    -5.46091  0.00227811
          56     -5.4567    -5.46084  0.00223867
          57    -5.47849    -5.46115  0.00222072
          58    -5.46604    -5.46123  0.00218404
          59    -5.48005    -5.46155  0.00217018
          60    -5.46374    -5.46159  0.00213432
          61    -5.47423    -5.46179  0.00210937
          62    -5.45125    -5.46162  0.00208219
          63    -5.46276    -5.46164  0.00204922
          64    -5.45881     -5.4616  0.00201768
          65    -5.44427    -5.46133  0.00200417
          66    -5.46151    -5.46133   0.0019738
          67    -5.48715    -5.46172  0.00198159
          68    -5.49683    -5.46223  0.00201861
          69    -5.46552    -5.46228  0.00198992
          70    -5.47134    -5.46241  0.00196569
          71    -5.47603     -5.4626  0.00194735
          72    -5.46979     -5.4627  0.00192286
          73     -5.4753    -5.46288  0.00190425
          74    -5.44579    -5.46264  0.00189246
          75    -5.45828    -5.46259  0.00186812
          76    -5.47044    -5.46269   0.0018464
          77     -5.4367    -5.46235  0.00185301
          78    -5.47053    -5.46246  0.00183221
          79    -5.47171    -5.46257  0.00181276
          80    -5.48318    -5.46283  0.00180831
          81    -5.44457    -5.46261  0.00179998
          82    -5.44753    -5.46242  0.00178739
          83    -5.45097    -5.46228  0.00177117
          84    -5.47317    -5.46241  0.00175482
          85     -5.4647    -5.46244  0.00173438
          86    -5.43867    -5.46216  0.00173609
          87    -5.44722    -5.46199  0.00172462
          88    -5.46149    -5.46199  0.00170503
          89    -5.47402    -5.46212  0.00169123
          90     -5.4751    -5.46227  0.00167857
          91    -5.48857    -5.46256  0.00168482
          92    -5.44217    -5.46233  0.00168102
          93    -5.44709    -5.46217  0.00167091
          94     -5.5118     -5.4627  0.00173455
          95    -5.46298     -5.4627   0.0017163
          96    -5.45862    -5.46266  0.00169895
          97    -5.46733    -5.46271  0.00168211
          98    -5.45614    -5.46264  0.00166628
          99    -5.44556    -5.46247  0.00165836
         100    -5.45359    -5.46238  0.00164415
