#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45787    -5.45787           0
           2      -5.448    -5.45294  0.00349265
           3     -5.4671    -5.45766  0.00450455
           4    -5.41755    -5.44763  0.00931745
           5    -5.46225    -5.45056   0.0078994
           6    -5.45832    -5.45185  0.00668789
           7     -5.4522     -5.4519  0.00573267
           8    -5.44387     -5.4509  0.00510312
           9    -5.46066    -5.45198  0.00465004
          10    -5.44327    -5.45111  0.00426593
          11    -5.46412    -5.45229  0.00403886
          12    -5.43223    -5.45062  0.00403361
          13     -5.4311    -5.44912    0.003993
          14    -5.46255    -5.45008  0.00382137
          15    -5.41925    -5.44802  0.00408204
          16    -5.38473    -5.44407  0.00541444
          17    -5.47816    -5.44607  0.00545478
          18    -5.45018     -5.4463   0.0051565
          19    -5.49112    -5.44866  0.00539769
          20    -5.45629    -5.44904  0.00514127
          21    -5.45687    -5.44941  0.00490995
          22    -5.43603    -5.44881  0.00472435
          23       -5.47    -5.44973  0.00460793
          24    -5.45049    -5.44976  0.00441604
          25     -5.4696    -5.45055  0.00431015
          26     -5.4932    -5.45219   0.0044455
          27    -5.45268    -5.45221  0.00428089
          28    -5.44428    -5.45193  0.00413735
          29      -5.432    -5.45124  0.00405132
          30    -5.43193     -5.4506  0.00396707
          31    -5.43746    -5.45017  0.00386167
          32    -5.42622    -5.44943  0.00381286
          33    -5.44253    -5.44922  0.00370304
          34    -5.44599    -5.44912  0.00359534
          35    -5.43056    -5.44859  0.00353153
          36     -5.4458    -5.44851  0.00343428
          37    -5.47128    -5.44913  0.00339613
          38    -5.43044    -5.44864  0.00334217
          39    -5.43586    -5.44831   0.0032725
          40    -5.44897    -5.44833  0.00319073
          41    -5.45665    -5.44853  0.00311937
          42    -5.52146    -5.45027  0.00349515
          43    -5.40274    -5.44916  0.00358436
          44    -5.44299    -5.44902  0.00350564
          45    -5.45199    -5.44909  0.00342836
          46    -5.41714    -5.44839  0.00342345
          47    -5.49951    -5.44948  0.00351915
          48    -5.45729    -5.44964  0.00344959
          49    -5.43173    -5.44928  0.00339852
          50    -5.45182    -5.44933  0.00333093
          51    -5.41517    -5.44866  0.00333228
          52    -5.45466    -5.44877   0.0032702
          53     -5.4233    -5.44829  0.00324362
          54    -5.45628    -5.44844  0.00318692
          55    -5.44466    -5.44837  0.00312972
          56     -5.4362    -5.44815  0.00308137
          57    -5.43977    -5.44801  0.00303082
          58    -5.47832    -5.44853   0.0030233
          59    -5.46112    -5.44874  0.00297957
          60    -5.41783    -5.44823  0.00297411
          61    -5.45422    -5.44833  0.00292698
          62    -5.43876    -5.44817  0.00288383
          63     -5.4513    -5.44822  0.00283849
          64    -5.46347    -5.44846  0.00280412
          65    -5.43482    -5.44825  0.00276882
          66    -5.40465    -5.44759  0.00280456
          67    -5.46354    -5.44783  0.00277279
          68    -5.42708    -5.44752  0.00274876
          69    -5.41657    -5.44707  0.00274527
          70    -5.43099    -5.44684  0.00271564
          71    -5.46814    -5.44714  0.00269391
          72    -5.45363    -5.44723    0.002658
          73    -5.46684     -5.4475  0.00263512
          74     -5.4573    -5.44763  0.00260284
          75    -5.42328    -5.44731  0.00258831
          76    -5.44931    -5.44734  0.00255439
          77    -5.47291    -5.44767  0.00254271
          78    -5.45069    -5.44771  0.00251041
          79    -5.42252    -5.44739  0.00249879
          80    -5.42726    -5.44714  0.00248019
          81     -5.4495    -5.44717  0.00244974
          82    -5.48735    -5.44766   0.0024684
          83    -5.45523    -5.44775  0.00244035
          84    -5.47589    -5.44808  0.00243419
          85     -5.4504    -5.44811  0.00240571
          86    -5.48288    -5.44851  0.00241147
          87    -5.38466    -5.44778  0.00249293
          88     -5.4323     -5.4476   0.0024708
          89    -5.43804     -5.4475  0.00244537
          90    -5.47093    -5.44776  0.00243203
          91     -5.4583    -5.44787  0.00240806
          92    -5.43627    -5.44775  0.00238519
          93     -5.4651    -5.44793  0.00236683
          94    -5.45643    -5.44802  0.00234338
          95    -5.48874    -5.44845  0.00235757
          96    -5.45336     -5.4485  0.00233357
          97    -5.46118    -5.44863  0.00231317
          98    -5.44356    -5.44858  0.00229014
          99    -5.44988     -5.4486  0.00226705
         100    -5.47111    -5.44882  0.00225553
