#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.457032    0.457032           0
           2    0.574019    0.515526   0.0413612
           3    0.517152    0.516068   0.0275777
           4    0.616752    0.541239   0.0300497
           5    0.540563    0.541104   0.0240401
           6    0.449196    0.525786   0.0244309
           7    0.420381    0.510728   0.0251568
           8    0.399821    0.496864    0.025548
           9    0.474699    0.494402   0.0228278
          10    0.587177    0.503679   0.0223509
          11    0.479374     0.50147   0.0204279
          12    0.436716    0.496073   0.0194252
          13     0.48901     0.49553   0.0179386
          14    0.523065    0.497497   0.0167647
          15    0.566714    0.502111   0.0162697
          16    0.420519    0.497012   0.0160322
          17    0.412931    0.492066   0.0158336
          18     0.74437    0.506083   0.0202282
          19    0.571384     0.50952   0.0194533
          20    0.498142    0.508951    0.018489
          21    0.355987    0.501667   0.0189892
          22    0.633095    0.507641   0.0190426
          23    0.577221    0.510666   0.0184534
          24    0.531009    0.511514    0.017704
          25    0.553227    0.513182   0.0170743
          26    0.528237    0.513761   0.0164274
          27    0.785912    0.523841   0.0186568
          28    0.501924    0.523058   0.0180069
          29    0.569552    0.524661   0.0174572
          30    0.595177    0.527012   0.0170328
          31    0.549159    0.527726   0.0164983
          32     0.54928      0.5284   0.0159965
          33    0.593571    0.530375   0.0156332
          34    0.548246      0.5309   0.0151822
          35    0.728692    0.536552   0.0157652
          36    0.480721    0.535001   0.0154033
          37    0.453835    0.532807   0.0151424
          38    0.602867    0.534651   0.0148558
          39    0.617236    0.536768    0.014625
          40     0.63534    0.539233   0.0144655
          41     0.45609    0.537205   0.0142541
          42    0.398599    0.533905   0.0142916
          43    0.666724    0.536993   0.0142892
          44     0.44891    0.534991   0.0141039
          45    0.567599    0.535716   0.0138091
          46    0.393795    0.532631   0.0138493
          47    0.501928    0.531978     0.01357
          48     0.72752    0.536051   0.0138853
          49     0.61209    0.537603   0.0136884
          50    0.357995    0.534011    0.013878
          51    0.631149    0.535916   0.0137359
          52    0.520767    0.535624   0.0134749
          53    0.523789    0.535401   0.0132225
          54     0.51407    0.535006   0.0129835
          55    0.554992    0.535369   0.0127525
          56    0.601564    0.536552   0.0125795
          57    0.428084    0.534649   0.0125019
          58    0.489636    0.533872   0.0123104
          59    0.477587    0.532919   0.0121387
          60    0.541943    0.533069   0.0119373
          61    0.520314     0.53286   0.0117434
          62    0.602768    0.533987    0.011608
          63    0.509619    0.533601   0.0114302
          64    0.555064    0.533936   0.0112565
          65    0.624346    0.535327    0.011169
          66    0.519328    0.535084   0.0110024
          67    0.417214    0.533325   0.0109779
          68    0.373719    0.530978   0.0110645
          69    0.508411    0.530651    0.010909
          70    0.523591     0.53055   0.0107536
          71    0.483588    0.529889   0.0106225
          72    0.504839    0.529541   0.0104807
          73    0.449712    0.528447    0.010394
          74    0.605349    0.529486   0.0103053
          75    0.551742    0.529783   0.0101722
          76    0.505986     0.52947   0.0100432
          77    0.632783    0.530812    0.010002
          78    0.495439    0.530358  0.00988401
          79    0.445443    0.529283  0.00981717
          80    0.418945    0.527904  0.00979086
          81    0.598543    0.528776  0.00970875
          82    0.601873    0.529668  0.00963119
          83    0.564871    0.530092  0.00952448
          84    0.464111    0.529306  0.00944343
          85    0.486575    0.528804   0.0093457
          86    0.619742    0.529861  0.00929666
          87     0.60978     0.53078  0.00923508
          88    0.507737    0.530518  0.00913384
          89    0.492667    0.530093  0.00904111
          90    0.477861    0.529512  0.00895926
          91    0.351302    0.527554  0.00907231
          92    0.572226    0.528039  0.00898669
          93    0.615552     0.52898  0.00893919
          94    0.286179    0.526397  0.00920971
          95    0.519866    0.526329  0.00911302
          96     0.55325    0.526609  0.00902241
          97    0.484508    0.526175  0.00893983
          98     0.55793    0.526499  0.00885448
          99    0.630958    0.527554  0.00882768
         100     0.55647    0.527843  0.00874414
