# DISTANCE:  AVE_GOFR:     CUMUL_AVE_GOFR:   ERROR:

   0.0128248           0           0           0
   0.0384745           0           0           0
   0.0641241           0           0           0
   0.0897737           0           0           0
    0.115423           0           0           0
    0.141073           0           0           0
    0.166723           0           0           0
    0.192372           0           0           0
    0.218022           0           0           0
    0.243672           0           0           0
    0.269321           0           0           0
    0.294971           0           0           0
     0.32062           0           0           0
     0.34627           0           0           0
     0.37192           0           0           0
    0.397569           0           0           0
    0.423219           0           0           0
    0.448869           0           0           0
    0.474518           0           0           0
    0.500168           0           0           0
    0.525818           0           0           0
    0.551467           0           0           0
    0.577117           0           0           0
    0.602767           0           0           0
    0.628416           0           0           0
    0.654066           0           0           0
    0.679715           0           0           0
    0.705365           0           0           0
    0.731015           0           0           0
    0.756664           0           0           0
    0.782314           0           0           0
    0.807964           0           0           0
    0.833613           0 9.11809e-06  9.0508e-06
    0.859263           0 1.71638e-05 1.70371e-05
    0.884913           0 0.000972345   0.0001408
    0.910562   0.0149838   0.0260256 0.000751739
    0.936212    0.159111    0.172824   0.0019192
    0.961861    0.566394    0.577963  0.00375258
    0.987511     1.28768     1.22436  0.00590372
     1.01316     1.96187     1.87139  0.00826973
     1.03881     2.50637     2.34748  0.00832806
     1.06446      2.6076       2.554  0.00901146
     1.09011     2.57844     2.54635  0.00747837
     1.11576     2.37779     2.40396  0.00715117
     1.14141     2.12892     2.19444  0.00779427
     1.16706     1.92011     1.96038  0.00613468
     1.19271     1.69777     1.74425  0.00656354
     1.21836     1.39003      1.5514  0.00738314
     1.24401     1.28416     1.38096  0.00630376
     1.26966     1.23735     1.23335  0.00498902
     1.29531     1.14329     1.11172  0.00499796
     1.32096     1.04084      1.0129  0.00482459
     1.34661    0.965686      0.9349  0.00451632
     1.37226    0.887173    0.876104  0.00425953
     1.39791    0.798504    0.815782  0.00456369
     1.42355    0.744545    0.769689  0.00362253
      1.4492    0.767697    0.739908  0.00350536
     1.47485    0.691342    0.706576  0.00351738
      1.5005    0.693808    0.695828  0.00317891
     1.52615    0.686871    0.682953  0.00352328
      1.5518    0.629073    0.678025   0.0037328
     1.57745    0.651755     0.67345  0.00352967
      1.6031     0.69531     0.68266  0.00345918
     1.62875    0.675993    0.691331  0.00343806
      1.6544    0.717878    0.704119  0.00313119
     1.68005      0.7334     0.72572  0.00345879
      1.7057    0.755619    0.755888  0.00333213
     1.73135    0.775275    0.783046  0.00399959
       1.757    0.799052    0.818464  0.00309742
     1.78265     0.84115    0.856165  0.00394604
      1.8083     0.90109    0.895599  0.00354832
     1.83395    0.945883    0.937181  0.00340261
      1.8596     1.02127    0.978687  0.00378592
     1.88525     1.04853     1.02139  0.00350616
      1.9109     1.06421     1.05803  0.00361627
     1.93655     1.12694     1.10083  0.00344426
      1.9622     1.14718     1.12931  0.00391041
     1.98785     1.19671     1.16404   0.0036641
      2.0135     1.21795     1.19206  0.00337879
     2.03915     1.26161     1.20783  0.00383017
      2.0648     1.24843     1.21166  0.00353005
     2.09045     1.20957     1.21092  0.00336761
      2.1161     1.18033     1.20483  0.00325233
     2.14174     1.20654        1.19   0.0032493
     2.16739     1.20223     1.17044  0.00390564
     2.19304     1.14556     1.14911  0.00347366
     2.21869     1.07786     1.12661  0.00290256
     2.24434     1.07487     1.09616  0.00336892
     2.26999     1.03572     1.06221  0.00332523
     2.29564     1.02064     1.03308  0.00327994
     2.32129    0.982065       1.006  0.00296071
     2.34694    0.960469    0.977884  0.00277436
     2.37259    0.924505    0.956167  0.00302184
     2.39824    0.923565     0.93944   0.0029945
     2.42389    0.926662    0.923523  0.00248573
     2.44954    0.894419    0.912697  0.00301049
     2.47519    0.880714    0.903697  0.00271487
     2.50084     0.87892    0.895873  0.00292564
     2.52649     0.87992    0.891979  0.00252135
     2.55214    0.855696    0.894706  0.00285667
