#   BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -0.35027    -0.35027           0
           2  -0.0409285     -0.1956    0.109369
           3   -0.213386   -0.201528   0.0730731
           4     0.60483 6.13747e-05    0.182982
           5   -0.255417  -0.0510343    0.153354
           6    0.319633   0.0107436    0.139685
           7   -0.334295  -0.0385477    0.128132
           8   -0.226379  -0.0620266    0.114246
           9   -0.319154  -0.0905963    0.105064
          10   -0.181238  -0.0996605   0.0949477
          11    -0.22439      -0.111   0.0869905
          12   -0.261253   -0.123521   0.0806374
          13   -0.352513   -0.141135   0.0763342
          14  -0.0951222   -0.137849   0.0709525
          15   -0.376264   -0.153743   0.0679793
          16   -0.317177   -0.163958   0.0644935
          17   -0.274936   -0.170486   0.0610292
          18  -0.0336155   -0.162882   0.0581105
          19   0.0259896   -0.152941   0.0558958
          20   -0.304553   -0.160522   0.0536126
          21   -0.399359   -0.171895    0.052252
          22     2.13101  -0.0672175    0.113785
          23   -0.312522   -0.077883    0.109337
          24  -0.0401257  -0.0763097    0.104792
          25    -0.17217  -0.0801441    0.100671
          26    -0.20395  -0.0849059   0.0969113
          27   -0.214955  -0.0897225   0.0934416
          28   -0.348071  -0.0989493   0.0905588
          29  -0.0342039  -0.0967167   0.0874636
          30   -0.197579   -0.100079   0.0846127
          31   -0.389835   -0.109426   0.0823979
          32   -0.415577   -0.118993   0.0803765
          33   -0.160902   -0.120263   0.0779509
          34  -0.0935726   -0.119478   0.0756622
          35   -0.411464    -0.12782   0.0739589
          36 -0.00297476   -0.124352   0.0719857
          37   0.0536312   -0.119542   0.0702007
          38   -0.124678   -0.119677   0.0683535
          39   -0.423524   -0.127468   0.0670433
          40   -0.338027   -0.132732   0.0655736
          41   -0.208208   -0.134573   0.0640001
          42    0.564774   -0.117922    0.064606
          43    -0.40324   -0.124557   0.0634434
          44   0.0270258   -0.121112    0.062095
          45   -0.300897   -0.125107   0.0608435
          46    -0.25328   -0.127894   0.0595846
          47    0.190397   -0.121122   0.0587004
          48   -0.323462   -0.125337   0.0576286
          49    0.432927   -0.113944   0.0575677
          50   -0.438581   -0.120437   0.0567813
          51   -0.149712   -0.121011   0.0556709
          52   -0.236308   -0.123228   0.0546444
          53   -0.396091   -0.128376   0.0538554
          54   -0.187337   -0.129468   0.0528691
          55   -0.493691    -0.13609    0.052321
          56  -0.0871331   -0.135216    0.051394
          57    -0.18667   -0.136119   0.0505002
          58    0.767353   -0.120542   0.0519765
          59    -0.22313   -0.122281   0.0511246
          60   -0.106793   -0.122022   0.0502732
          61  -0.0711822   -0.121189   0.0494559
          62  -0.0860563   -0.120622   0.0486615
          63   -0.195073   -0.121804   0.0479034
          64   -0.179872   -0.122711   0.0471635
          65    -0.34575   -0.126143   0.0465626
          66   -0.304701   -0.128848   0.0459356
          67   -0.306868   -0.131505   0.0453268
          68  -0.0987202   -0.131023   0.0446628
          69   0.0117843   -0.128953   0.0440634
          70   -0.320563   -0.131691   0.0435189
          71   -0.264016   -0.133554   0.0429458
          72  -0.0716682   -0.132695    0.042358
          73   -0.428204   -0.136743   0.0419707
          74   -0.199846   -0.137596   0.0414122
          75   -0.205117   -0.138496   0.0408698
          76   -0.236716   -0.139788   0.0403525
          77   -0.239742   -0.141086   0.0398493
          78   -0.168546   -0.141438     0.03934
          79   -0.297964    -0.14342   0.0388919
          80    0.151339   -0.139735   0.0385799
          81   -0.242065   -0.140999   0.0381242
          82     -0.2493   -0.142319   0.0376822
          83   -0.226894   -0.143338    0.037242
          84   -0.295905   -0.145155   0.0368429
          85  -0.0656694    -0.14422   0.0364213
          86   -0.142492   -0.144199   0.0359978
          87   -0.406919   -0.147219   0.0357104
          88   0.0207586    -0.14531   0.0353556
          89   0.0522079   -0.143091    0.035028
          90   -0.236692   -0.144131   0.0346542
          91   -0.356467   -0.146464   0.0343518
          92    -0.17784   -0.146805   0.0339801
          93   -0.044338   -0.145704   0.0336326
          94   -0.237789   -0.146683   0.0332891
          95   -0.251915   -0.147791   0.0329571
          96   -0.115605   -0.147456   0.0326155
          97    0.149072   -0.144399   0.0324222
          98   0.0724038   -0.142186   0.0321668
          99   -0.344601   -0.144231   0.0319068
         100   0.0178014   -0.142611   0.0316288
