#   BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.447691   -0.447691           0
           2   -0.446787   -0.447239 0.000319547
           3   -0.442085   -0.445521   0.0014187
           4   -0.437813   -0.443594   0.0019791
           5   -0.441798   -0.443235  0.00161555
           6   -0.442787    -0.44316  0.00134802
           7   -0.437684   -0.442378  0.00136365
           8   -0.432111   -0.441094  0.00169261
           9   -0.434827   -0.440398  0.00164154
          10   -0.447626   -0.441121  0.00162877
          11   -0.449278   -0.441862  0.00164086
          12   -0.434326   -0.441234  0.00161985
          13    -0.44309   -0.441377  0.00150152
          14   -0.453537   -0.442246   0.0016262
          15   -0.447149   -0.442573  0.00155029
          16   -0.419447   -0.441127  0.00201765
          17   -0.446314   -0.441432  0.00192189
          18   -0.442197   -0.441475  0.00181559
          19   -0.438394   -0.441313  0.00172726
          20   -0.420661    -0.44028  0.00192496
          21   -0.446125   -0.440558   0.0018533
          22   -0.437266   -0.440409  0.00177509
          23   -0.445078   -0.440612  0.00170948
          24   -0.441556   -0.440651  0.00163871
          25   -0.437164   -0.440512  0.00157909
          26    -0.43305   -0.440225  0.00154421
          27   -0.444259   -0.440374  0.00149423
          28   -0.428872   -0.439963  0.00149627
          29   -0.447651   -0.440228  0.00146797
          30    -0.45177   -0.440613  0.00146859
          31   -0.423824   -0.440071  0.00151779
          32   -0.442601    -0.44015  0.00147242
          33   -0.448751   -0.440411  0.00145068
          34   -0.452206   -0.440758   0.0014489
          35    -0.44364    -0.44084  0.00140984
          36   -0.436775   -0.440727  0.00137519
          37   -0.441501   -0.440748  0.00133818
          38   -0.440916   -0.440753  0.00130298
          39   -0.447073   -0.440915   0.0012796
          40   -0.431041   -0.440668   0.0012712
          41    -0.42358   -0.440251  0.00130674
          42   -0.436809   -0.440169  0.00127819
          43   -0.434773   -0.440044  0.00125461
          44   -0.428473   -0.439781  0.00125335
          45   -0.435287   -0.439681  0.00122947
          46   -0.435953     -0.4396  0.00120541
          47   -0.438685    -0.43958  0.00117992
          48   -0.445779    -0.43971  0.00116239
          49   -0.451056   -0.439941   0.0011615
          50   -0.441629   -0.439975  0.00113876
          51   -0.446625   -0.440105  0.00112387
          52   -0.439339    -0.44009  0.00110236
          53   -0.447616   -0.440232  0.00109066
          54   -0.438022   -0.440192  0.00107123
          55   -0.436393   -0.440122  0.00105398
          56   -0.436313   -0.440054  0.00103735
          57   -0.447346   -0.440182  0.00102701
          58   -0.452971   -0.440403   0.0010327
          59    -0.43847    -0.44037  0.00101572
          60    -0.44305   -0.440415 0.000999771
          61   -0.437787   -0.440372 0.000984309
          62   -0.432781   -0.440249 0.000976018
          63   -0.450969   -0.440419 0.000975244
          64   -0.436621    -0.44036 0.000961811
          65   -0.446235    -0.44045 0.000951251
          66   -0.446568   -0.440543 0.000941343
          67   -0.433042   -0.440431 0.000933927
          68   -0.442118   -0.440456 0.000920522
