# Block           MU            SIGMA
           0            0.8            0.6
           1            0.8            0.6
           2            0.8            0.6
           3            0.8            0.6
           4            1.37071            0.454137
           5            1.37071            0.454137
           6            1.37071            0.454137
           7            1.37071            0.454137
           8            1.37071            0.454137
           9            1.37071            0.454137
          10            1.37071            0.454137
          11            0.133048            0.842165
          12            0.133048            1.01169
          13            0.133048            1.01169
          14            0.617616            0.66574
          15            0.617616            0.66574
          16            0.617616            0.340248
          17            0.617616            0.340248
          18            0.889687            0.294754
          19            0.889687            0.294754
          20            0.889687            -1.23497
          21            0.368772            -0.861884
          22            0.368772            -0.861884
          23            0.184861            0.773772
          24            0.184861            0.773772
          25            0.184861            0.537854
          26            0.184861            -0.654456
          27            0.184861            -0.654456
          28            0.184861            -0.654456
          29            0.184861            -0.654456
          30            0.184861            -0.935476
          31            0.184861            -0.930395
          32            0.184861            -0.930395
          33            0.184861            -0.930395
          34            0.184861            -0.930395
          35            0.133366            0.505966
          36            0.133366            -0.479002
          37            0.133366            -0.479002
          38            0.729939            -1.15639
          39            0.729939            -0.989115
          40            0.729939            -0.989115
          41            0.729939            -0.989115
          42            0.729939            -0.989115
          43            0.729939            -0.989115
          44            0.319009            -1.124
          45            0.483161            -1.16831
          46            0.519899            -0.518122
          47            0.638992            -0.474453
          48            0.638992            -0.474453
          49            0.638992            -0.474453
          50            0.638992            -0.474453
          51            1.10654            -0.79247
          52            0.855863            -0.374092
          53            0.855863            -0.374092
          54            0.855863            -0.374092
          55            0.855863            -0.374092
          56            0.855863            -0.374092
          57            0.855863            -0.374092
          58            0.628514            -0.410786
          59            0.628514            -0.410786
          60            0.520789            -0.942743
          61            0.0955343            -1.06906
          62            0.0955343            -1.06906
          63            0.0955343            -1.06906
          64            0.0955343            -1.06906
          65            0.190664            -1.03857
          66            0.190664            -1.03857
          67            0.381039            -0.888659
          68            0.44            -0.816428
          69            0.44            -0.816428
          70            0.525477            -0.501832
          71            0.525477            -0.501832
          72            0.617215            -0.560046
          73            0.945866            -0.660329
          74            0.717009            -0.72701
          75            0.525525            -0.665405
          76            0.525525            -0.665405
          77            0.293606            -0.785102
          78            0.0734512            -1.12555
          79            0.195999            -0.99753
          80            0.195999            -0.99753
          81            0.195999            -0.99753
          82            0.195999            -0.99753
          83            0.115258            -0.884276
          84            0.253728            -0.880347
          85            0.532441            -0.733628
          86            0.595127            -0.762887
          87            0.607883            -0.71562
          88            0.557755            -0.787071
          89            0.70809            -0.913769
          90            0.830988            -0.770981
          91            0.801745            -0.82876
          92            0.699871            -0.86013
          93            0.699871            -0.86013
          94            0.702787            -0.848721
          95            0.561564            -0.730659
          96            0.604041            -0.778376
          97            0.604041            -0.778376
          98            0.604041            -0.778376
          99            0.563174            -0.764704
         100            0.510183            -0.632441
         101            0.510183            -0.632441
         102            0.510183            -0.632441
         103            0.59212            -0.6285
         104            0.59212            -0.6285
         105            0.624645            -0.68586
         106            0.683816            -0.701278
         107            0.688064            -0.582834
         108            0.688064            -0.582834
         109            0.688064            -0.582834
         110            0.761287            -0.552531
         111            0.782381            -0.560389
         112            0.782381            -0.560389
         113            0.734883            -0.510244
         114            0.734883            -0.510244
         115            0.839001            -0.578818
         116            0.839001            -0.578818
         117            0.778061            -0.57182
         118            0.807598            -0.562862
         119            0.807598            -0.562862
         120            0.807598            -0.562862
         121            0.807598            -0.562862
         122            0.724365            -0.5822
         123            0.724379            -0.621353
         124            0.724379            -0.621353
         125            0.713417            -0.612725
         126            0.750485            -0.583314
         127            0.77165            -0.630135
         128            0.741154            -0.575569
         129            0.78757            -0.544024
         130            0.78757            -0.544024
         131            0.824669            -0.560379
         132            0.765279            -0.631624
         133            0.78259            -0.65349
         134            0.853711            -0.636693
         135            0.896133            -0.618198
         136            0.892304            -0.617683
         137            0.87783            -0.62991
         138            0.87783            -0.62991
         139            0.87783            -0.62991
         140            0.87783            -0.62991
         141            0.87723            -0.636736
         142            0.87723            -0.636736
         143            0.840503            -0.616021
         144            0.831512            -0.648932
         145            0.811776            -0.681229
         146            0.82383            -0.692283
         147            0.799131            -0.687578
         148            0.829222            -0.689503
         149            0.829222            -0.689503
         150            0.783077            -0.701417
         151            0.790157            -0.693873
         152            0.790157            -0.693873
         153            0.770375            -0.684324
         154            0.751827            -0.669456
         155            0.740056            -0.672833
         156            0.749301            -0.670717
         157            0.760252            -0.68978
         158            0.760252            -0.68978
         159            0.771981            -0.6792
         160            0.783794            -0.672577
         161            0.755401            -0.660161
         162            0.755401            -0.660161
         163            0.749273            -0.664468
         164            0.773516            -0.65566
         165            0.771457            -0.647187
         166            0.764551            -0.664871
         167            0.777177            -0.660511
         168            0.75806            -0.652545
         169            0.75806            -0.652545
         170            0.767717            -0.641061
         171            0.762735            -0.660878
         172            0.754876            -0.632283
         173            0.756148            -0.629177
         174            0.753229            -0.629005
         175            0.753229            -0.629005
         176            0.74513            -0.626935
         177            0.742744            -0.630677
         178            0.749541            -0.621035
         179            0.74083            -0.611021
         180            0.74083            -0.611021
         181            0.755404            -0.616527
         182            0.755404            -0.616527
         183            0.76129            -0.618957
         184            0.761245            -0.622002
         185            0.75953            -0.61726
         186            0.755456            -0.616394
         187            0.766918            -0.610132
         188            0.764794            -0.621427
         189            0.768966            -0.62529
         190            0.765769            -0.62603
         191            0.765769            -0.62603
         192            0.766172            -0.628862
         193            0.760305            -0.629743
         194            0.748709            -0.624974
         195            0.750088            -0.617418
         196            0.750228            -0.61782
         197            0.753551            -0.619487
         198            0.762719            -0.627952
         199            0.76263            -0.624238
         200            0.767759            -0.626872
         201            0.76824            -0.629496
         202            0.768864            -0.622949
         203            0.763966            -0.631807
         204            0.764476            -0.635675
         205            0.768283            -0.635155
         206            0.765835            -0.635474
         207            0.761071            -0.64015
         208            0.764801            -0.645055
         209            0.767953            -0.642885
         210            0.771958            -0.639295
         211            0.770787            -0.637892
         212            0.766235            -0.635022
         213            0.7678            -0.634354
         214            0.7678            -0.634354
         215            0.764879            -0.633183
         216            0.761833            -0.63351
         217            0.761223            -0.631416
         218            0.762209            -0.631564
         219            0.764297            -0.634906
         220            0.766564            -0.637391
         221            0.768766            -0.636872
         222            0.768766            -0.636872
         223            0.769773            -0.637175
         224            0.773345            -0.633342
         225            0.773345            -0.633342
