--- PROCESS RANKING (SHORTEST TRAJECTORIES) ---
Process/Continent Rank 0 -> Best Distance: 10.1457
Process/Continent Rank 1 -> Best Distance: 10.1457
Process/Continent Rank 2 -> Best Distance: 10.0349
Process/Continent Rank 3 -> Best Distance: 10.1457
Process/Continent Rank 4 -> Best Distance: 10.1457
Process/Continent Rank 5 -> Best Distance: 10.0349
Process/Continent Rank 6 -> Best Distance: 10.1457
Process/Continent Rank 7 -> Best Distance: 10.0349
Process/Continent Rank 8 -> Best Distance: 10.1457
Process/Continent Rank 9 -> Best Distance: 10.1457
Process/Continent Rank 10 -> Best Distance: 10.0349
