layers,neurons,activation,optimizer,loss,val_loss
3,16,relu,adam,mse,0.02055943012237549
3,16,relu,rmsprop,mse,0.022192833945155144
3,16,relu,adam,mae,0.02408895269036293
3,16,tanh,rmsprop,mse,0.02524256519973278
2,16,relu,sgd,mse,0.032097652554512024
3,8,tanh,sgd,mse,0.03294427692890167
3,16,tanh,adam,mse,0.034606847912073135
2,8,tanh,sgd,mse,0.034831978380680084
3,16,relu,sgd,mse,0.037851765751838684
3,4,tanh,sgd,mse,0.03791086748242378
3,4,relu,sgd,mse,0.03988327458500862
3,16,tanh,sgd,mse,0.041774921119213104
2,16,relu,adam,mae,0.04245949164032936
2,16,tanh,sgd,mse,0.044217273592948914
3,8,relu,sgd,mse,0.04530210420489311
2,16,tanh,rmsprop,mse,0.05404102802276611
3,8,tanh,adam,mse,0.06607768684625626
2,4,tanh,sgd,mse,0.06894420832395554
2,8,relu,sgd,mse,0.07424531131982803
2,4,relu,sgd,mse,0.08688001334667206
3,16,relu,rmsprop,mae,0.0899113118648529
3,16,tanh,rmsprop,mae,0.09161710739135742
3,8,tanh,rmsprop,mae,0.09314092993736267
2,16,relu,rmsprop,mse,0.1000080555677414
3,16,tanh,adam,mae,0.10644201189279556
2,8,relu,adam,mae,0.1302751749753952
2,16,tanh,adam,mse,0.14261281490325928
2,16,relu,rmsprop,mae,0.14696107804775238
2,8,tanh,rmsprop,mae,0.1469883769750595
3,8,relu,sgd,mae,0.14779208600521088
3,8,tanh,rmsprop,mse,0.16863277554512024
2,16,tanh,adam,mae,0.17315742373466492
2,16,tanh,rmsprop,mae,0.17916446924209595
3,8,relu,rmsprop,mse,0.18726226687431335
3,8,tanh,adam,mae,0.1919499933719635
3,16,relu,sgd,mae,0.1929367482662201
3,8,tanh,sgd,mae,0.20335395634174347
3,8,relu,adam,mae,0.2191440463066101
2,16,relu,adam,mse,0.22702065110206604
1,16,relu,sgd,mse,0.23042482137680054
3,16,tanh,sgd,mae,0.2429654747247696
3,8,relu,rmsprop,mae,0.25220951437950134
2,8,tanh,adam,mae,0.2600952088832855
2,8,relu,rmsprop,mse,0.27403053641319275
2,8,tanh,sgd,mae,0.27521952986717224
2,16,tanh,sgd,mae,0.2761648893356323
1,4,tanh,sgd,mse,0.3122909665107727
2,4,tanh,sgd,mae,0.33256077766418457
3,4,relu,sgd,mae,0.3351530134677887
2,8,tanh,adam,mse,0.33617663383483887
3,4,tanh,rmsprop,mse,0.3633497655391693
3,4,tanh,rmsprop,mae,0.39136216044425964
2,4,tanh,adam,mae,0.3982515335083008
3,4,tanh,adam,mae,0.4042932391166687
1,8,tanh,sgd,mse,0.410319983959198
2,4,tanh,adam,mse,0.4130624830722809
3,4,tanh,sgd,mae,0.4211587607860565
3,8,relu,adam,mse,0.4391413629055023
2,8,tanh,rmsprop,mse,0.44463279843330383
2,8,relu,sgd,mae,0.4537665545940399
2,8,relu,rmsprop,mae,0.45670291781425476
1,8,tanh,sgd,mae,0.47287073731422424
2,4,tanh,rmsprop,mae,0.47957026958465576
3,4,tanh,adam,mse,0.48017582297325134
2,4,tanh,rmsprop,mse,0.4942399859428406
2,16,relu,sgd,mae,0.4996223449707031
2,4,relu,sgd,mae,0.5007274746894836
1,16,relu,rmsprop,mae,0.5132393836975098
1,8,tanh,rmsprop,mse,0.5282236337661743
3,4,relu,adam,mae,0.5347290635108948
1,8,relu,sgd,mse,0.547075092792511
1,8,relu,rmsprop,mse,0.5534863471984863
3,4,relu,adam,mse,0.5562745928764343
1,16,tanh,adam,mse,0.5618727207183838
1,16,relu,adam,mae,0.5630080699920654
1,4,tanh,sgd,mae,0.566872775554657
1,16,tanh,rmsprop,mse,0.5697835683822632
1,8,tanh,adam,mse,0.5724858641624451
2,8,relu,adam,mse,0.5749040842056274
1,4,tanh,rmsprop,mse,0.5792679786682129
1,16,tanh,sgd,mse,0.5812392830848694
2,4,relu,rmsprop,mae,0.5860530734062195
1,8,tanh,rmsprop,mae,0.588661253452301
1,8,tanh,adam,mae,0.5918239951133728
1,16,tanh,sgd,mae,0.5924296379089355
1,16,tanh,adam,mae,0.5928046703338623
1,8,relu,sgd,mae,0.6005033254623413
1,16,tanh,rmsprop,mae,0.6073523759841919
1,4,tanh,adam,mae,0.6159403920173645
1,16,relu,sgd,mae,0.6373923420906067
1,4,tanh,adam,mse,0.6398482322692871
1,16,relu,rmsprop,mse,0.6488205194473267
1,8,relu,adam,mae,0.6543278694152832
1,16,relu,adam,mse,0.6581562757492065
1,4,tanh,rmsprop,mae,0.678486704826355
2,4,relu,adam,mae,0.6892215013504028
2,16,sigmoid,rmsprop,mse,0.689289391040802
2,16,sigmoid,adam,mae,0.6985690593719482
2,16,sigmoid,rmsprop,mae,0.7028669714927673
3,16,linear,sgd,mae,0.7061200737953186
3,4,linear,sgd,mae,0.7088755965232849
3,8,linear,adam,mae,0.709669291973114
3,4,linear,adam,mae,0.7116172909736633
2,16,linear,adam,mae,0.7128698825836182
3,4,linear,rmsprop,mae,0.7130086421966553
2,4,linear,sgd,mae,0.7130480408668518
2,8,linear,adam,mae,0.7133774757385254
1,16,linear,adam,mae,0.7142093181610107
1,8,relu,adam,mse,0.7148435711860657
2,8,linear,rmsprop,mae,0.7149628400802612
1,16,linear,sgd,mae,0.715065598487854
1,4,relu,sgd,mse,0.7152537703514099
3,8,linear,rmsprop,mae,0.7155952453613281
2,4,linear,rmsprop,mae,0.7158808708190918
3,16,linear,rmsprop,mae,0.7161617875099182
2,8,linear,sgd,mae,0.7162153720855713
1,8,sigmoid,sgd,mae,0.7165023684501648
1,16,linear,rmsprop,mae,0.717007577419281
1,8,linear,adam,mae,0.717207670211792
2,4,linear,adam,mae,0.7173225283622742
1,8,linear,rmsprop,mae,0.7181527614593506
