#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     15.9808     15.9808           0
           2      15.978     15.9794 0.000985172
           3     15.9708     15.9765  0.00242337
           4     15.9616     15.9728   0.0037116
           5      15.956     15.9694  0.00421891
           6     15.9562     15.9672   0.0040538
           7     15.9591      15.966  0.00363757
           8     15.9622     15.9656  0.00321505
           9     15.9646     15.9655  0.00285972
          10     15.9664     15.9655  0.00257516
          11     15.9678     15.9657  0.00234896
          12     15.9689      15.966  0.00216812
          13     15.9702     15.9663  0.00202481
          14     15.9716     15.9667  0.00191494
          15     15.9732     15.9671  0.00183506
          16     15.9747     15.9676  0.00178022
          17     15.9764     15.9681  0.00174967
          18     15.9779     15.9687  0.00173402
          19     15.9779     15.9692  0.00170948
          20     15.9752     15.9695   0.0016502
          21     15.9699     15.9695  0.00157175
          22     15.9655     15.9693  0.00151063
          23     15.9641     15.9691  0.00146162
          24     15.9652     15.9689  0.00140964
          25     15.9672     15.9688  0.00135491
          26     15.9692     15.9689  0.00130285
          27     15.9705     15.9689  0.00125606
          28      15.971      15.969  0.00121345
          29     15.9708     15.9691  0.00117322
          30     15.9704     15.9691  0.00113496
          31     15.9701     15.9691  0.00109883
          32     15.9701     15.9692  0.00106495
          33     15.9703     15.9692  0.00103328
          34     15.9703     15.9692  0.00100338
          35     15.9697     15.9692 0.000974794
          36     15.9688     15.9692 0.000947799
          37     15.9676     15.9692 0.000923226
          38     15.9666     15.9691 0.000901342
          39     15.9662      15.969 0.000881299
          40     15.9663      15.969 0.000861877
          41     15.9671     15.9689  0.00084208
          42     15.9683     15.9689 0.000822183
          43     15.9698     15.9689 0.000803307
          44     15.9716      15.969 0.000787323
          45     15.9737     15.9691 0.000776755
          46     15.9756     15.9692 0.000772614
          47     15.9759     15.9694 0.000769064
          48     15.9735     15.9695 0.000757727
          49     15.9689     15.9695 0.000742367
          50     15.9647     15.9694 0.000733514
          51     15.9631     15.9692 0.000729417
          52     15.9636     15.9691 0.000723346
          53     15.9651     15.9691 0.000713753
          54     15.9667      15.969 0.000701873
          55     15.9686      15.969 0.000689154
          56     15.9719     15.9691 0.000678808
          57     15.9782     15.9692 0.000685724
