#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     14.0974     14.0974           0
           2     14.0846      14.091  0.00449775
           3     14.1168     14.0996  0.00762963
           4     14.1797     14.1196   0.0182584
           5     14.2426     14.1442   0.0264031
           6     14.2809      14.167   0.0302723
           7     14.2842     14.1837   0.0302303
           8     14.2543     14.1925   0.0277079
           9     14.2032     14.1937   0.0246546
          10     14.1535     14.1897   0.0225156
          11     14.1276     14.1841   0.0211639
          12     14.1311     14.1796   0.0198545
          13     14.1473     14.1772   0.0184826
          14     14.1532     14.1755   0.0172413
          15     14.1357     14.1728   0.0162943
          16     14.0931     14.1678   0.0160187
          17     14.0307     14.1598   0.0169849
          18     13.9598     14.1487   0.0193349
          19     13.9055     14.1359   0.0221504
          20     13.9067     14.1244   0.0238218
          21     13.9799     14.1175   0.0236598
          22     14.0853     14.1161   0.0226297
          23     14.1611      14.118   0.0217303
          24     14.1749     14.1204   0.0209538
          25     14.1322     14.1209    0.020121
          26     14.0626     14.1186   0.0194712
          27     14.0018     14.1143   0.0192246
          28     13.9685     14.1091   0.0192301
          29     13.9552     14.1038   0.0192848
          30     13.9423     14.0984   0.0193783
          31     13.9176     14.0926   0.0196116
          32     13.8901     14.0862   0.0199935
          33     13.8981     14.0805   0.0201837
          34     13.9689     14.0773   0.0198555
          35     14.0657     14.0769   0.0192909
          36     14.1327     14.0785   0.0188172
          37     14.1525     14.0805   0.0184147
          38     14.1376      14.082   0.0179913
          39     14.1072     14.0826   0.0175416
          40     14.0776     14.0825   0.0171035
          41     14.0607      14.082   0.0166946
          42     14.0621     14.0815   0.0163038
          43     14.0795     14.0814   0.0159247
          44      14.105      14.082   0.0155718
          45     14.1309     14.0831   0.0152636
          46      14.152     14.0846   0.0150051
          47     14.1658     14.0863    0.014785
          48     14.1698      14.088    0.014579
          49     14.1582     14.0895   0.0143515
          50     14.1199     14.0901   0.0140774
          51     14.0395     14.0891   0.0138362
          52     13.9102     14.0856   0.0139913
          53     13.7604     14.0795   0.0150132
          54     13.6676     14.0719     0.01656
          55     13.6988     14.0651   0.0175934
          56     13.8292     14.0609   0.0177762
          57     13.9764     14.0594    0.017526
          58     14.0843     14.0598   0.0172291
          59     14.1377     14.0612   0.0169875
          60     14.1401     14.0625   0.0167553
          61     14.1039     14.0631   0.0164944
          62     14.0459     14.0629   0.0162307
          63     13.9806     14.0616   0.0160256
          64     13.9155     14.0593   0.0159369
          65     13.8611     14.0562   0.0159806
          66     13.8399      14.053    0.016071
          67      13.869     14.0502    0.016064
          68     13.9333     14.0485   0.0159195
          69     13.9958     14.0477   0.0157071
          70     14.0322     14.0475   0.0154843
          71     14.0457     14.0475   0.0152662
          72     14.0483     14.0475   0.0150542
          73     14.0405     14.0474   0.0148483
          74     14.0158      14.047   0.0146537
          75     13.9769      14.046   0.0144881
          76     13.9406     14.0446   0.0143637
          77     13.9268     14.0431   0.0142586
          78     13.9436     14.0418   0.0141327
          79     13.9823     14.0411   0.0139739
          80     14.0249     14.0409   0.0138007
          81     14.0569     14.0411   0.0136318
          82     14.0749     14.0415   0.0134717
          83     14.0857      14.042   0.0133199
          84      14.098     14.0427    0.013178
          85     14.1146     14.0435   0.0130501
          86     14.1312     14.0446   0.0129381
          87     14.1424     14.0457   0.0128382
          88     14.1446     14.0468   0.0127415
          89     14.1376     14.0478   0.0126391
          90     14.1229     14.0487   0.0125261
          91     14.1018     14.0492   0.0124021
          92     14.0724     14.0495   0.0122699
          93     14.0288     14.0493   0.0121399
          94     13.9679     14.0484   0.0120416
          95     13.9023     14.0469   0.0120127
          96     13.8579     14.0449   0.0120477
          97     13.8432     14.0428   0.0121016
          98     13.8359     14.0407    0.012161
          99     13.8203     14.0385   0.0122403
         100     13.8142     14.0362   0.0123216
         101     13.8424     14.0343   0.0123481
         102     13.9008      14.033   0.0122962
         103     13.9657     14.0324   0.0121942
         104     14.0193     14.0322   0.0120776
         105     14.0567     14.0325   0.0119648
         106       14.08     14.0329   0.0118603
         107     14.0936     14.0335    0.011763
         108     14.1014     14.0341   0.0116709
         109     14.1062     14.0348   0.0115825
         110     14.1101     14.0355   0.0114974
         111     14.1146     14.0362   0.0114159
         112      14.121     14.0369   0.0113391
         113     14.1302     14.0378   0.0112688
         114     14.1422     14.0387   0.0112071
         115     14.1557     14.0397   0.0111558
         116     14.1676     14.0408    0.011114
         117     14.1724     14.0419   0.0110758
         118     14.1626     14.0429   0.0110291
         119     14.1303     14.0437   0.0109608
         120     14.0716     14.0439   0.0108719
         121     13.9948     14.0435   0.0107896
         122     13.9241     14.0425   0.0107455
         123     13.8862     14.0412   0.0107331
         124     13.8899       14.04   0.0107157
         125     13.9276     14.0391   0.0106677
         126     13.9903     14.0387   0.0105901
         127     14.0693      14.039   0.0105094
         128     14.1519     14.0399   0.0104643
         129     14.2257     14.0413   0.0104818
         130     14.2834     14.0432   0.0105653
         131     14.3236     14.0453   0.0106994
         132     14.3478     14.0476   0.0108609
         133     14.3582     14.0499   0.0110275
         134     14.3574     14.0522   0.0111815
         135     14.3486     14.0544   0.0113121
         136     14.3354     14.0565   0.0114161
         137      14.321     14.0584   0.0114949
         138      14.306     14.0602   0.0115507
         139     14.2876     14.0619   0.0115828
         140     14.2621     14.0633   0.0115881
         141     14.2292     14.0645   0.0115655
         142     14.1941     14.0654     0.01152
         143     14.1638     14.0661     0.01146
         144     14.1437     14.0666   0.0113931
         145     14.1364     14.0671   0.0113247
         146     14.1421     14.0676   0.0112588
         147     14.1593     14.0682   0.0111994
         148     14.1873      14.069   0.0111526
         149     14.2254     14.0701    0.011127
         150      14.269     14.0714   0.0111316
         151     14.3109      14.073   0.0111703
         152     14.3452     14.0748   0.0112394
         153     14.3697     14.0767     0.01133
         154     14.3846     14.0787   0.0114315
         155     14.3908     14.0807   0.0115337
         156     14.3879     14.0827   0.0116266
         157     14.3746     14.0845   0.0117003
         158     14.3504     14.0862   0.0117466
         159     14.3173     14.0877   0.0117623
         160     14.2827     14.0889   0.0117518
         161     14.2557     14.0899   0.0117244
         162     14.2388     14.0909    0.011688
         163      14.223     14.0917   0.0116443
         164     14.1934     14.0923   0.0115898
         165     14.1402     14.0926   0.0115232
         166     14.0645     14.0924   0.0114551
         167     13.9768     14.0917   0.0114074
         168     13.8919     14.0905   0.0114013
         169     13.8279      14.089   0.0114393
         170     13.8085     14.0873   0.0114904
         171     13.8492     14.0859   0.0115073
         172     13.9342      14.085   0.0114741
         173     14.0271     14.0847   0.0114127
         174     14.1016     14.0848   0.0113475
         175     14.1504     14.0852   0.0112888
         176     14.1765     14.0857   0.0112366
         177     14.1852     14.0863   0.0111872
         178     14.1814     14.0868   0.0111371
         179     14.1688     14.0873   0.0110843
         180     14.1495     14.0876   0.0110281
         181     14.1242     14.0878    0.010969
         182     14.0935     14.0878   0.0109088
         183     14.0608     14.0877   0.0108502
         184      14.034     14.0874   0.0107952
         185     14.0215      14.087   0.0107427
         186     14.0248     14.0867   0.0106901
         187      14.038     14.0864   0.0106362
         188     14.0526     14.0863   0.0105811
         189     14.0627     14.0861   0.0105259
         190     14.0652      14.086    0.010471
         191     14.0582     14.0859   0.0104172
         192     14.0422     14.0857   0.0103655
         193     14.0214     14.0853   0.0103171
         194     14.0036     14.0849   0.0102725
         195      13.995     14.0844   0.0102302
         196      13.996      14.084   0.0101879
         197     14.0018     14.0836   0.0101448
         198     14.0078     14.0832   0.0101007
         199      14.013     14.0828   0.0100561
         200     14.0202     14.0825   0.0100107
         201     14.0356     14.0823  0.00996364
         202     14.0672     14.0822  0.00991459
         203     14.1191     14.0824  0.00986741
         204     14.1845     14.0829  0.00983172
         205     14.2492     14.0837  0.00981716
         206     14.3008     14.0848  0.00982592
         207     14.3341      14.086  0.00985203
         208     14.3492     14.0872  0.00988562
         209     14.3488     14.0885  0.00991723
         210     14.3364     14.0897  0.00994002
         211      14.315     14.0907  0.00995012
         212     14.2869     14.0917  0.00994611
         213     14.2531     14.0924  0.00992826
         214      14.214      14.093  0.00989811
         215     14.1699     14.0933  0.00985853
         216     14.1232     14.0935  0.00981386
         217     14.0819     14.0934  0.00976878
         218     14.0611     14.0933  0.00972509
         219     14.0772     14.0932  0.00968097
         220     14.1326     14.0934  0.00963861
         221     14.2112     14.0939  0.00960972
         222     14.2899     14.0948   0.0096069
         223     14.3527      14.096   0.0096332
         224     14.3944     14.0973  0.00968189
         225     14.4168     14.0987  0.00974245
         226     14.4247     14.1002  0.00980555
         227      14.423     14.1016  0.00986493
         228     14.4157      14.103  0.00991744
         229     14.4064     14.1043  0.00996227
         230     14.3976     14.1056   0.0100002
         231     14.3914     14.1068   0.0100332
         232     14.3888      14.108   0.0100633
         233       14.39     14.1092   0.0100927
         234      14.393     14.1104   0.0101222
         235     14.3936     14.1116   0.0101505
         236     14.3837     14.1128   0.0101728
         237     14.3511     14.1138   0.0101795
         238     14.2806     14.1145   0.0101608
         239     14.1619     14.1147   0.0101202
         240      14.009     14.1143   0.0100876
         241      13.876     14.1133   0.0100941
         242     13.8341     14.1121   0.0101181
         243     13.9068     14.1113   0.0101116
         244      14.042      14.111   0.0100742
         245     14.1632     14.1112   0.0100353
         246     14.2265     14.1117   0.0100055
         247     14.2295     14.1121  0.00997632
         248     14.1961     14.1125  0.00994184
         249     14.1636     14.1127  0.00990403
         250     14.1604     14.1129  0.00986625
         251     14.1856     14.1132   0.0098312
         252     14.2189     14.1136  0.00980114
         253     14.2442     14.1141  0.00977598
         254     14.2569     14.1147  0.00975365
         255     14.2592     14.1152  0.00973186
         256     14.2542     14.1158  0.00970897
         257     14.2443     14.1163  0.00968407
         258     14.2316     14.1167  0.00965684
         259     14.2177     14.1171  0.00962743
         260      14.205     14.1174  0.00959633
         261     14.1959     14.1177  0.00956426
         262     14.1922      14.118  0.00953198
         263     14.1938     14.1183  0.00950009
         264     14.1975     14.1186  0.00946883
         265      14.198     14.1189  0.00943783
         266     14.1913     14.1192  0.00940627
         267      14.179     14.1194   0.0093737
         268     14.1713     14.1196  0.00934073
         269     14.1822     14.1198   0.0093089
         270     14.2174     14.1202  0.00928143
         271     14.2681     14.1207  0.00926322
         272     14.3204     14.1215   0.0092582
         273     14.3646     14.1224  0.00926702
         274     14.3985     14.1234  0.00928783
         275     14.4238     14.1245   0.0093181
         276     14.4435     14.1256  0.00935577
         277     14.4601     14.1268  0.00939959
         278     14.4755     14.1281  0.00944907
         279     14.4907     14.1294  0.00950414
         280     14.5058     14.1307   0.0095648
         281     14.5199     14.1321  0.00963049
         282     14.5306     14.1335  0.00969947
         283     14.5348     14.1349  0.00976827
