     #Bin   #Single_Part_Bin  #Global_Part_Bin  Error_Global_Calculation           
           1           0  0.00756211 0.000213616
           2   0.0654729   0.0393728 0.000509404
           3   0.0654729   0.0941284 0.000740941
           4    0.261891    0.174693  0.00098217
           5    0.261891    0.251659  0.00116566
           6    0.294628    0.311817    0.001434
           7    0.432121    0.377539   0.0014989
           8     0.49432    0.410393  0.00180322
           9    0.193145    0.426443  0.00225702
          10    0.517236    0.367483  0.00161542
          11    0.196419    0.333501  0.00146483
          12    0.163682    0.242054  0.00110325
          13    0.130946    0.168779 0.000967143
          14    0.153861    0.115271 0.000818255
          15   0.0752938   0.0850047 0.000666386
          16    0.173503   0.0480374 0.000471846
          17   0.0229155   0.0364062 0.000476452
          18   0.0327364   0.0171978 0.000302303
          19           0    0.017529 0.000351689
          20           0  0.00621206 0.000206956
