#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.234036   -0.234036           0
           2     -0.2597   -0.246868  0.00907328
           3   -0.278629   -0.257455   0.0105504
           4   -0.291688   -0.266013   0.0108419
           5   -0.300892   -0.272989   0.0106845
           6    -0.30585   -0.278466   0.0102114
           7   -0.305241   -0.282291  0.00944191
           8   -0.300304   -0.284543  0.00852593
           9   -0.296726   -0.285896  0.00768532
          10   -0.300745   -0.287381  0.00705877
          11   -0.311408   -0.289565  0.00674656
          12   -0.321406   -0.292219   0.0066858
          13   -0.325136   -0.294751  0.00663367
          14   -0.322038     -0.2967  0.00643982
          15   -0.315446    -0.29795  0.00613056
          16   -0.309974   -0.298701  0.00579329
          17   -0.308191    -0.29926  0.00547933
          18    -0.30948   -0.299827  0.00520426
          19   -0.312159   -0.300476  0.00497066
          20   -0.315212   -0.301213  0.00477642
          21   -0.318011   -0.302013  0.00461547
          22   -0.319761    -0.30282  0.00447562
          23   -0.319468   -0.303544  0.00433916
          24   -0.316247   -0.304073  0.00419053
          25   -0.309938   -0.304308  0.00402947
          26   -0.301809   -0.304211  0.00387563
          27   -0.294173    -0.30384  0.00374988
          28    -0.28826   -0.303283  0.00365701
          29   -0.282801   -0.302577  0.00359846
          30   -0.275574   -0.301677  0.00358932
          31   -0.264739   -0.300485  0.00366599
          32   -0.250002   -0.298908  0.00387604
          33   -0.236678   -0.297022  0.00419228
          34   -0.236218   -0.295234  0.00443404
          35   -0.252909   -0.294024  0.00446921
          36    -0.27613   -0.293527  0.00437262
          37   -0.293674   -0.293531  0.00425445
          38   -0.301818   -0.293749  0.00414807
          39   -0.302342    -0.29397  0.00404756
          40   -0.298054   -0.294072  0.00394766
          41   -0.291198   -0.294002    0.003852
          42   -0.283425    -0.29375  0.00376851
          43    -0.27613    -0.29334  0.00370308
          44   -0.270407   -0.292819  0.00365541
          45   -0.266934   -0.292244  0.00361915
          46    -0.26569   -0.291666  0.00358622
          47   -0.266071   -0.291122  0.00355102
          48   -0.267073   -0.290621  0.00351221
          49   -0.267526   -0.290149  0.00347201
          50   -0.266174    -0.28967  0.00343552
          51   -0.261819   -0.289124  0.00341129
          52   -0.254146   -0.288451  0.00341136
          53   -0.245431   -0.287639  0.00344221
          54   -0.241215    -0.28678  0.00348417
          55   -0.245614   -0.286031  0.00350029
          56   -0.256213   -0.285499  0.00347805
          57   -0.267362   -0.285181  0.00343156
          58   -0.275854    -0.28502  0.00337616
          59   -0.281377   -0.284958   0.0033195
          60   -0.284417   -0.284949  0.00326419
          61   -0.284867   -0.284948  0.00321068
          62   -0.281366    -0.28489  0.00315941
          63   -0.271473   -0.284677  0.00311643
          64    -0.25443   -0.284204  0.00310336
          65   -0.237839   -0.283491  0.00313653
          66   -0.236037   -0.282772  0.00317034
          67   -0.249508   -0.282276  0.00316166
          68   -0.262626   -0.281987  0.00312834
          69   -0.265091   -0.281742  0.00309257
          70   -0.259132   -0.281419  0.00306521
          71   -0.255072   -0.281048  0.00304442
          72   -0.260289   -0.280759  0.00301576
          73   -0.273625   -0.280662  0.00297603
          74   -0.293158   -0.280831   0.0029406
          75   -0.316294   -0.281303  0.00293916
          76   -0.337164   -0.282038  0.00299098
          77   -0.350649   -0.282929  0.00308201
          78   -0.354262   -0.283844  0.00317528
          79   -0.346865   -0.284642  0.00323374
          80   -0.328869   -0.285195  0.00324023
          81   -0.304958   -0.285439   0.0032094
          82   -0.283713   -0.285417  0.00317033
          83   -0.269891    -0.28523  0.00313765
          84   -0.260962   -0.284941  0.00311357
          85   -0.255157   -0.284591   0.0030966
          86    -0.25648   -0.284264  0.00307779
          87   -0.269515   -0.284095  0.00304708
          88    -0.29082   -0.284171  0.00301341
          89   -0.310518   -0.284467  0.00299406
          90   -0.322347   -0.284888  0.00299023
          91   -0.327558   -0.285357  0.00299391
          92   -0.331149   -0.285855  0.00300246
          93    -0.33593   -0.286393  0.00301807
          94   -0.340254   -0.286966  0.00303986
          95   -0.341288   -0.287538  0.00306117
          96   -0.338111   -0.288065  0.00307428
          97   -0.331375   -0.288511  0.00307484
          98   -0.321982   -0.288853  0.00306237
          99   -0.310906   -0.289075  0.00303953
         100    -0.30012   -0.289186  0.00301114
         101   -0.292625    -0.28922  0.00298152
