#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.96433     2.96433           0
           2     2.96481     2.96457 0.000169002
           3      2.9655     2.96488  0.00027917
           4     2.96598     2.96515 0.000317296
           5     2.96635     2.96539 0.000331424
           6     2.96683     2.96563 0.000352526
           7      2.9674     2.96589 0.000382309
           8     2.96765     2.96611  0.00039299
           9     2.96718     2.96623 0.000366898
          10     2.96631     2.96623 0.000330303
          11     2.96593     2.96621 0.000301408
          12     2.96633     2.96622 0.000276477
          13     2.96706     2.96628 0.000262622
          14     2.96762     2.96638 0.000260765
          15     2.96775     2.96647 0.000258939
          16     2.96745     2.96653 0.000249973
          17     2.96706     2.96656 0.000237203
          18     2.96683     2.96658 0.000224487
          19     2.96676     2.96659  0.00021287
          20     2.96675     2.96659 0.000202392
          21     2.96682      2.9666 0.000193036
          22     2.96697     2.96662 0.000184973
          23     2.96722     2.96665 0.000178726
          24     2.96753     2.96668 0.000175048
          25     2.96781     2.96673 0.000173745
          26     2.96789     2.96677 0.000172658
          27     2.96775     2.96681 0.000170002
          28      2.9676     2.96684 0.000166234
          29     2.96766     2.96687 0.000162893
          30     2.96793      2.9669 0.000161295
          31     2.96835     2.96695 0.000162761
          32     2.96863       2.967 0.000165927
          33     2.96802     2.96703 0.000163754
          34     2.96629     2.96701  0.00016037
          35     2.96487     2.96695 0.000167041
          36     2.96486     2.96689 0.000172147
          37     2.96574     2.96686 0.000170283
          38     2.96665     2.96685 0.000165894
          39     2.96728     2.96687 0.000162006
          40     2.96765     2.96689 0.000159149
          41     2.96782     2.96691 0.000156881
          42     2.96784     2.96693 0.000154718
          43     2.96774     2.96695 0.000152255
          44     2.96755     2.96696 0.000149408
          45     2.96732     2.96697 0.000146294
          46     2.96712     2.96697 0.000143152
          47     2.96701     2.96697 0.000140108
          48       2.967     2.96697  0.00013719
          49      2.9671     2.96698 0.000134413
          50     2.96733     2.96698 0.000131912
          51     2.96768       2.967 0.000130028
          52     2.96796     2.96702 0.000128846
          53     2.96787     2.96703 0.000127411
          54     2.96716     2.96704 0.000125074
          55      2.9663     2.96702 0.000123521
          56     2.96593       2.967 0.000122852
          57     2.96607     2.96699 0.000121784
          58     2.96638     2.96698  0.00012013
          59     2.96666     2.96697 0.000118212
          60     2.96691     2.96697 0.000116246
          61     2.96721     2.96697 0.000114406
          62     2.96769     2.96698 0.000113148
          63     2.96843     2.96701  0.00011366
          64       2.969     2.96704 0.000116074
          65      2.9683     2.96706 0.000115906
          66     2.96642     2.96705 0.000114554
          67     2.96549     2.96703 0.000115175
          68     2.96619     2.96701 0.000114136
          69     2.96734     2.96702  0.00011258
          70     2.96779     2.96703 0.000111509
          71     2.96711     2.96703 0.000109945
          72     2.96613     2.96702 0.000109126
          73     2.96544       2.967  0.00010976
          74     2.96488     2.96697 0.000111953
          75     2.96474     2.96694 0.000114317
          76     2.96524     2.96691 0.000114986
          77     2.96611      2.9669 0.000113965
          78     2.96717     2.96691 0.000112554
          79      2.9683     2.96693 0.000112492
          80     2.96924     2.96695 0.000114757
          81     2.96948     2.96699 0.000117513
          82     2.96888     2.96701  0.00011833
          83     2.96816     2.96702 0.000117713
          84     2.96784     2.96703  0.00011671
          85     2.96744     2.96704 0.000115434
          86     2.96646     2.96703 0.000114288
          87     2.96526     2.96701 0.000114775
          88     2.96484     2.96699 0.000116099
          89      2.9654     2.96697 0.000116152
          90     2.96625     2.96696 0.000115132
          91     2.96672     2.96696 0.000113898
          92     2.96669     2.96695 0.000112698
          93     2.96659     2.96695 0.000111553
          94     2.96678     2.96695  0.00011038
          95     2.96719     2.96695 0.000109247
          96     2.96759     2.96696 0.000108314
          97     2.96791     2.96697 0.000107641
          98     2.96813     2.96698   0.0001072
          99     2.96825     2.96699 0.000106878
         100      2.9681       2.967 0.000106377
         101     2.96765     2.96701 0.000105517
         102     2.96722     2.96701 0.000104502
         103     2.96722     2.96701 0.000103507
         104     2.96782     2.96702   0.0001028
         105      2.9686     2.96704 0.000102912
         106     2.96868     2.96705 0.000103097
         107     2.96743     2.96706 0.000102195
         108     2.96594     2.96705 0.000101768
         109      2.9655     2.96703 0.000101823
         110     2.96591     2.96702 0.000101404
         111     2.96674     2.96702 0.000100522
         112     2.96759     2.96702 9.97545e-05
         113     2.96802     2.96703 9.92644e-05
         114     2.96777     2.96704 9.86035e-05
         115     2.96728     2.96704  9.7768e-05
         116     2.96743     2.96704 9.69838e-05
         117     2.96827     2.96705 9.67174e-05
         118     2.96835     2.96707 9.65177e-05
         119     2.96668     2.96706 9.57613e-05
         120     2.96529     2.96705 9.60985e-05
         121     2.96557     2.96704 9.60756e-05
         122     2.96646     2.96703 9.54054e-05
         123     2.96714     2.96703 9.46342e-05
         124     2.96762     2.96704 9.39888e-05
         125     2.96802     2.96704 9.35648e-05
         126     2.96835     2.96705 9.33919e-05
         127     2.96837     2.96706 9.32284e-05
         128     2.96789     2.96707 9.27243e-05
         129     2.96718     2.96707 9.20092e-05
         130     2.96672     2.96707 9.13415e-05
         131     2.96664     2.96707 9.07025e-05
         132     2.96676     2.96706 9.00448e-05
         133     2.96686     2.96706 8.93812e-05
         134     2.96693     2.96706   8.872e-05
         135     2.96694     2.96706 8.80673e-05
         136     2.96691     2.96706 8.74269e-05
         137     2.96684     2.96706 8.68027e-05
         138     2.96677     2.96706  8.6199e-05
         139     2.96669     2.96705  8.5618e-05
         140     2.96666     2.96705  8.5052e-05
         141     2.96669     2.96705  8.4487e-05
         142      2.9668     2.96705 8.39094e-05
         143     2.96703     2.96705 8.33227e-05
         144     2.96737     2.96705 8.27742e-05
         145     2.96778     2.96705 8.23592e-05
         146     2.96818     2.96706  8.2159e-05
         147     2.96851     2.96707 8.21929e-05
         148     2.96876     2.96708 8.24225e-05
         149     2.96891     2.96709 8.27822e-05
         150     2.96885     2.96711 8.30565e-05
         151     2.96826     2.96711 8.28589e-05
         152      2.9669     2.96711 8.23259e-05
         153     2.96537      2.9671 8.25696e-05
         154     2.96485     2.96709 8.33148e-05
         155     2.96541     2.96708 8.34797e-05
         156     2.96639     2.96707 8.30587e-05
         157     2.96739     2.96707 8.25549e-05
         158     2.96803     2.96708 8.22546e-05
         159      2.9678     2.96708 8.18605e-05
         160     2.96684     2.96708 8.13629e-05
         161      2.9662     2.96708 8.10418e-05
         162     2.96631     2.96707 8.06805e-05
         163     2.96673     2.96707 8.02128e-05
         164     2.96712     2.96707 7.97241e-05
         165     2.96741     2.96707 7.92677e-05
         166     2.96768     2.96708 7.88755e-05
         167     2.96792     2.96708 7.85659e-05
         168     2.96801     2.96709 7.82938e-05
         169     2.96778     2.96709 7.79368e-05
         170     2.96723     2.96709 7.74828e-05
         171     2.96677     2.96709 7.70531e-05
         172     2.96671     2.96709 7.66362e-05
         173     2.96707     2.96709 7.61933e-05
         174     2.96764     2.96709  7.5822e-05
         175     2.96827      2.9671 7.56866e-05
         176     2.96862     2.96711 7.57471e-05
         177      2.9683     2.96711 7.56204e-05
         178     2.96742     2.96711 7.52157e-05
         179     2.96673     2.96711 7.48263e-05
         180     2.96656     2.96711 7.44731e-05
         181     2.96666     2.96711 7.41037e-05
         182     2.96673      2.9671 7.37257e-05
         183     2.96677      2.9671 7.33448e-05
         184     2.96696      2.9671   7.295e-05
         185     2.96742      2.9671 7.25756e-05
         186     2.96803     2.96711 7.23551e-05
         187      2.9683     2.96711 7.22499e-05
         188      2.9675     2.96712 7.18948e-05
         189       2.966     2.96711 7.17571e-05
         190     2.96528      2.9671 7.20271e-05
         191     2.96559     2.96709 7.20836e-05
         192     2.96628     2.96709 7.18337e-05
         193     2.96704     2.96709  7.1462e-05
         194     2.96787     2.96709 7.12065e-05
         195     2.96862      2.9671 7.12693e-05
         196     2.96865     2.96711 7.13432e-05
         197     2.96766     2.96711 7.10354e-05
         198     2.96682     2.96711 7.06914e-05
         199     2.96709     2.96711 7.03362e-05
         200     2.96771     2.96711 7.00493e-05
         201     2.96779     2.96712  6.9782e-05
         202     2.96723     2.96712 6.94386e-05
         203     2.96653     2.96711  6.9157e-05
         204     2.96618     2.96711 6.89709e-05
         205     2.96622     2.96711 6.87702e-05
         206     2.96648      2.9671 6.85026e-05
         207     2.96673      2.9671 6.81953e-05
         208     2.96683      2.9671 6.78796e-05
         209     2.96681      2.9671 6.75693e-05
         210     2.96671      2.9671 6.72731e-05
         211     2.96662     2.96709 6.69925e-05
         212     2.96663     2.96709 6.67128e-05
         213     2.96676     2.96709 6.64172e-05
         214     2.96702     2.96709 6.61076e-05
         215     2.96737     2.96709 6.58125e-05
         216     2.96779     2.96709 6.55867e-05
         217     2.96834      2.9671 6.55373e-05
         218     2.96868     2.96711 6.56375e-05
         219     2.96776     2.96711 6.54059e-05
         220     2.96587      2.9671 6.53512e-05
         221      2.9656      2.9671 6.54077e-05
         222     2.96756      2.9671 6.51464e-05
         223      2.9699     2.96711 6.60576e-05
         224        2.97     2.96713 6.70064e-05
         225     2.96684     2.96712 6.67202e-05
         226     2.96421     2.96711 6.76631e-05
         227      2.9642      2.9671 6.85666e-05
         228     2.96528     2.96709 6.87288e-05
         229     2.96623     2.96709 6.85307e-05
         230     2.96683     2.96709 6.82421e-05
         231     2.96711     2.96709 6.79468e-05
         232     2.96721     2.96709  6.7656e-05
         233     2.96726     2.96709 6.73697e-05
         234     2.96741     2.96709 6.70959e-05
         235     2.96769     2.96709 6.68592e-05
         236     2.96807     2.96709 6.67035e-05
         237     2.96839      2.9671 6.66456e-05
         238     2.96843     2.96711 6.66006e-05
         239     2.96805     2.96711 6.64399e-05
         240     2.96752     2.96711 6.61846e-05
         241     2.96764     2.96711 6.59459e-05
         242     2.96894     2.96712 6.61043e-05
         243     2.96984     2.96713 6.67731e-05
         244     2.96706     2.96713    6.65e-05
         245     2.96369     2.96712 6.76923e-05
         246      2.9641     2.96711 6.85223e-05
         247     2.96572      2.9671 6.84742e-05
         248     2.96675      2.9671 6.82125e-05
         249      2.9672      2.9671 6.79398e-05
         250     2.96737      2.9671 6.76766e-05
         251     2.96743      2.9671 6.74194e-05
         252     2.96744      2.9671 6.71655e-05
         253     2.96744      2.9671 6.69134e-05
         254     2.96741     2.96711 6.66609e-05
         255     2.96733     2.96711 6.64053e-05
         256     2.96718     2.96711 6.61466e-05
         257     2.96705     2.96711 6.58896e-05
         258     2.96697     2.96711 6.56363e-05
         259     2.96702     2.96711 6.53837e-05
         260     2.96721     2.96711 6.51334e-05
         261     2.96753     2.96711 6.49039e-05
         262     2.96792     2.96711 6.47305e-05
         263     2.96826     2.96711 6.46321e-05
         264      2.9683     2.96712 6.45421e-05
         265     2.96794     2.96712 6.43721e-05
         266     2.96754     2.96712 6.41495e-05
         267     2.96744     2.96713   6.392e-05
         268     2.96746     2.96713  6.3694e-05
         269     2.96732     2.96713 6.34612e-05
         270      2.9669     2.96713 6.32315e-05
         271     2.96633     2.96712 6.30662e-05
         272     2.96581     2.96712 6.30176e-05
         273      2.9656     2.96711 6.30322e-05
         274     2.96575     2.96711 6.29974e-05
         275     2.96611      2.9671 6.28724e-05
         276     2.96647      2.9671  6.2686e-05
         277     2.96665      2.9671  6.2481e-05
         278     2.96656      2.9671 6.22861e-05
         279     2.96637      2.9671 6.21182e-05
         280     2.96642     2.96709 6.19437e-05
         281     2.96692     2.96709 6.17265e-05
         282     2.96766      2.9671 6.15402e-05
         283     2.96805      2.9671 6.14153e-05
         284     2.96757      2.9671  6.1222e-05
         285     2.96666      2.9671 6.10263e-05
         286     2.96634      2.9671 6.08711e-05
         287     2.96681     2.96709 6.06674e-05
         288     2.96768      2.9671 6.04903e-05
         289     2.96861      2.9671 6.05059e-05
         290      2.9694     2.96711 6.08157e-05
         291     2.96986     2.96712 6.13368e-05
         292     2.96964     2.96713 6.17329e-05
         293      2.9685     2.96713 6.16994e-05
         294     2.96655     2.96713 6.15215e-05
         295     2.96458     2.96712  6.1919e-05
         296     2.96361     2.96711 6.28352e-05
         297     2.96406      2.9671 6.34582e-05
         298     2.96542     2.96709  6.3495e-05
         299     2.96697     2.96709  6.3284e-05
         300     2.96819      2.9671 6.31786e-05
         301     2.96856      2.9671 6.31559e-05
         302     2.96796     2.96711 6.30113e-05
         303     2.96704     2.96711 6.28037e-05
         304     2.96651      2.9671 6.26273e-05
         305     2.96655      2.9671 6.24482e-05
         306       2.967      2.9671 6.22451e-05
         307     2.96762      2.9671 6.20652e-05
         308     2.96816     2.96711  6.1959e-05
         309     2.96848     2.96711 6.19181e-05
         310      2.9684     2.96711 6.18571e-05
         311     2.96783     2.96712 6.17005e-05
         312     2.96706     2.96712 6.15029e-05
         313      2.9667     2.96712 6.13211e-05
         314     2.96691     2.96711 6.11293e-05
         315     2.96746     2.96712 6.09452e-05
         316      2.9681     2.96712 6.08325e-05
         317     2.96856     2.96712 6.08107e-05
         318     2.96833     2.96713  6.0738e-05
         319     2.96723     2.96713 6.05484e-05
         320     2.96617     2.96712 6.04339e-05
         321     2.96599     2.96712 6.03492e-05
         322     2.96641     2.96712 6.02026e-05
         323     2.96687     2.96712 6.00212e-05
         324     2.96715     2.96712 5.98361e-05
         325     2.96727     2.96712 5.96538e-05
         326     2.96728     2.96712 5.94729e-05
         327     2.96725     2.96712 5.92923e-05
         328     2.96719     2.96712 5.91119e-05
         329      2.9672     2.96712 5.89327e-05
         330     2.96732     2.96712 5.87573e-05
         331     2.96762     2.96712 5.85992e-05
         332     2.96818     2.96713 5.85088e-05
         333     2.96899     2.96713 5.85993e-05
         334     2.96983     2.96714 5.89784e-05
         335     2.96982     2.96715 5.93446e-05
         336     2.96796     2.96715 5.92173e-05
