#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -15.3503    -15.3503           0
           2    -16.1258    -15.7381    0.274185
           3    -16.3191    -15.9317      0.2417
           4    -16.7477    -16.1357    0.253121
           5    -16.8636    -16.2813    0.240744
           6     -15.731    -16.1896     0.21739
           7    -15.3363    -16.0677    0.217842
           8    -14.3969    -15.8588     0.27294
           9    -12.9787    -15.5388    0.387161
          10    -12.1363    -15.1986    0.474983
          11    -11.7881    -14.8885      0.5233
          12    -10.3258    -14.5083    0.602188
          13    -10.3655    -14.1896    0.634612
          14    -9.96574    -13.8879    0.657098
          15    -9.23849     -13.578    0.682494
          16    -8.98975    -13.2912    0.697485
          17    -8.60879    -13.0158    0.708758
          18    -8.28679     -12.753    0.716422
          19    -7.94065    -12.4998    0.722102
          20    -7.76369    -12.2629    0.723784
          21    -7.52047    -12.0371    0.723692
          22    -7.28983    -11.8213    0.722252
          23    -7.03323    -11.6132    0.720227
          24    -7.00888    -11.4213    0.715312
          25    -6.68909     -11.232    0.711304
          26    -6.51832    -11.0507    0.706673
          27    -6.27987     -10.874    0.702243
          28    -6.48696    -10.7173    0.694422
          29    -6.25295    -10.5634    0.687329
          30    -6.24275    -10.4194    0.679339
          31    -6.06905     -10.279    0.671763
          32    -5.83055      -10.14    0.664999
          33    -5.83322    -10.0095    0.657529
          34    -5.77844    -9.88508     0.64986
          35     -5.7243     -9.7662    0.642074
          36    -5.57163    -9.64968    0.634722
          37    -5.68691    -9.54258    0.626538
          38    -5.76544    -9.44318    0.617885
          39    -5.60062    -9.34465    0.609847
          40    -5.71685    -9.25396    0.601307
          41    -6.02354    -9.17517     0.59178
          42    -5.88714    -9.09688    0.582845
          43    -5.89257    -9.02236    0.574035
          44    -6.20785     -8.9584    0.564541
          45    -6.48555    -8.90344    0.554664
          46     -6.1789    -8.84422    0.545759
          47    -5.94767    -8.78259    0.537616
          48    -5.95871    -8.72376    0.529625
          49    -5.63473    -8.66071    0.522554
          50    -5.49457    -8.59739    0.515926
          51    -5.15716    -8.52994      0.5102
          52     -5.6827    -8.47518    0.503318
          53    -5.72022     -8.4232    0.496499
          54    -5.50908    -8.36924    0.490228
          55    -5.64481     -8.3197    0.483811
          56    -5.67418    -8.27246    0.477472
          57    -5.27761    -8.21992    0.471978
          58    -5.60104    -8.17477    0.465995
          59    -5.66677    -8.13226    0.460032
          60    -5.75261     -8.0926    0.454071
          61     -5.6956     -8.0533    0.448324
          62    -5.42158    -8.01085    0.443098
          63    -5.19381    -7.96614    0.438315
          64    -4.86029    -7.91761    0.434144
          65    -4.87552    -7.87081    0.429981
          66    -4.79671    -7.82423    0.425981
          67     -4.5472    -7.77532    0.422422
          68     -4.6135    -7.72882    0.418761
          69    -4.61085    -7.68363    0.415123
          70    -4.56817    -7.63913    0.411571
          71    -4.61261     -7.5965    0.407976
          72    -4.76335    -7.55715    0.404203
          73    -4.86587    -7.52029    0.400344
          74    -5.03667    -7.48672    0.396338
          75    -5.47728    -7.45993    0.391958
          76     -5.4526    -7.43352     0.38769
          77    -5.32654    -7.40615    0.383619
          78    -5.15441    -7.37729    0.379785
          79    -5.29977    -7.35099    0.375887
          80    -4.98967    -7.32147    0.372346
          81    -5.01231    -7.29296    0.368839
          82    -4.92077    -7.26403    0.365474
          83    -5.11955     -7.2382    0.361982
          84     -4.8656    -7.20995    0.358773
          85    -4.90666    -7.18285    0.355574
          86    -4.70217    -7.15401    0.352608
          87    -4.64804    -7.12521    0.349729
          88    -4.47253    -7.09506    0.347052
          89    -4.55663    -7.06654    0.344322
          90    -4.72688    -7.04054    0.341476
          91    -4.44872    -7.01206     0.33891
          92    -4.75863    -6.98757     0.33611
          93    -4.52477    -6.96109    0.333537
          94    -4.56212    -6.93557    0.330964
          95    -4.18201    -6.90658    0.328747
          96    -3.99155    -6.87622    0.326722
          97    -4.14144    -6.84802    0.324568
          98    -4.27055    -6.82172     0.32232
          99    -4.30907    -6.79634    0.320062
         100    -4.52299    -6.77361    0.317667
