#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     15.6684     15.6684           0
           2     15.9103     15.7894   0.0855054
           3     15.8754      15.818   0.0616266
           4     15.8803     15.8336   0.0481435
           5     16.0386     15.8746   0.0531861
           6     15.9195     15.8821    0.044846
           7      16.051     15.9062   0.0444564
           8     16.0165       15.92   0.0409808
           9     16.0714     15.9368    0.039729
          10     16.0387      15.947   0.0370392
          11     16.0282     15.9544   0.0343994
          12     16.0523     15.9625    0.032486
          13     15.9252     15.9597   0.0301141
          14     16.0277     15.9645   0.0283529
          15     15.9947     15.9665   0.0265337
          16     16.0249     15.9702   0.0251248
          17      15.997     15.9718   0.0236963
          18     16.0202     15.9745   0.0225323
          19          16     15.9758   0.0213866
          20      15.982     15.9761   0.0203195
          21     15.9939      15.977   0.0193695
          22     16.0551     15.9805   0.0188117
          23     15.9514     15.9792   0.0180363
          24     16.0056     15.9803   0.0173181
          25     16.0252     15.9821    0.016718
          26     15.9916     15.9825    0.016079
          27     16.0147     15.9837   0.0155277
          28     15.9829     15.9837   0.0149732
          29     15.9825     15.9836   0.0144569
          30     15.9779     15.9834   0.0139763
          31      16.025     15.9848   0.0135897
          32     15.9756     15.9845   0.0131681
          33     16.0258     15.9857   0.0128284
          34     15.9824     15.9856   0.0124515
          35     16.0048     15.9862   0.0121078
          36      15.996     15.9865   0.0117745
          37     15.9742     15.9861   0.0114609
          38     16.0056     15.9866   0.0111708
          39     15.9844     15.9866   0.0108846
          40     15.9795     15.9864   0.0106139
          41     15.9198     15.9848   0.0104787
          42      16.026     15.9858   0.0102752
          43     15.9813     15.9857   0.0100367
          44     15.9482     15.9848  0.00984474
          45      16.016     15.9855  0.00965037
          46     16.0175     15.9862  0.00946558
          47     15.9626     15.9857   0.0092775
          48     16.0272     15.9866  0.00912449
          49     16.0386     15.9876  0.00899977
          50     15.9462     15.9868  0.00885777
          51     16.0088     15.9872   0.0086946
          52     15.9648     15.9868  0.00853808
          53     15.9925     15.9869  0.00837767
          54     15.9546     15.9863  0.00824391
          55     16.0114     15.9868   0.0081066
          56     16.0131     15.9872  0.00797551
          57     15.9828     15.9872  0.00783596
          58     15.9962     15.9873  0.00770242
          59      15.948     15.9866   0.0076007
          60     16.0696      15.988  0.00759861
          61     15.9516     15.9874  0.00749744
          62     16.0256      15.988  0.00740174
          63     15.9917     15.9881  0.00728447
          64     16.0485      15.989  0.00723144
          65     15.9876      15.989  0.00712022
          66     15.9816     15.9889  0.00701322
          67     16.0303     15.9895  0.00693572
          68     15.9722     15.9893  0.00683842
          69     16.0122     15.9896  0.00674738
          70     15.9925     15.9896  0.00665111
          71     15.9902     15.9897  0.00655744
          72     15.9452      15.989  0.00649533
          73     16.0072     15.9893  0.00641112
          74     15.9395     15.9886  0.00635968
          75     16.0032     15.9888  0.00627784
          76     15.9816     15.9887  0.00619596
          77     15.9993     15.9889  0.00611701
          78     16.0156     15.9892  0.00604816
          79     15.9652     15.9889  0.00597923
          80     16.0541     15.9897  0.00595985
          81     15.9353      15.989  0.00592398
          82     16.0159     15.9894  0.00586082
          83     15.9658     15.9891  0.00579709
          84     16.0185     15.9894  0.00573863
          85     16.0307     15.9899  0.00569159
          86     16.0065     15.9901  0.00562867
          87     15.9975     15.9902  0.00556463
          88     15.9722       15.99  0.00550515
          89     15.9994     15.9901  0.00544431
          90     15.9726     15.9899  0.00538729
          91     16.0254     15.9903  0.00534219
          92     15.9622       15.99  0.00529285
          93     16.0386     15.9905  0.00526164
          94     15.9783     15.9904  0.00520726
          95     16.0052     15.9905  0.00515477
          96     16.0094     15.9907  0.00510483
          97     15.9954     15.9908  0.00505244
          98     15.9751     15.9906  0.00500341
          99     15.9949     15.9907  0.00495305
         100     15.9824     15.9906  0.00490421
