#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -15.0751    -15.0751           0
           2    -16.9835    -16.0293    0.674707
           3    -15.4394    -15.8327    0.477594
           4    -13.5854    -15.2708    0.604186
           5    -11.9873    -14.6141    0.760684
           6    -10.5814     -13.942    0.882203
           7    -9.25199     -13.272    0.978047
           8    -7.88592    -12.5988     1.06254
           9    -7.44938    -12.0266     1.08767
          10    -7.03851    -11.5278     1.08728
          11    -6.67408    -11.0865     1.07425
          12    -6.28348    -10.6863     1.05667
          13    -6.04608    -10.3294     1.03392
          14    -5.80986    -10.0065      1.0092
          15    -5.54345    -9.70899    0.984809
          16    -5.57107    -9.45037    0.956614
          17    -5.15458    -9.19768    0.933121
          18    -4.78061    -8.95229    0.912977
          19    -4.83213    -8.73544    0.890307
          20    -4.94184    -8.54576    0.865761
          21    -5.15257    -8.38418    0.839477
          22     -4.9174    -8.22659    0.815975
          23    -5.00173    -8.08638    0.792453
          24    -4.83222    -7.95079    0.770947
          25    -4.54304    -7.81448    0.752063
          26    -4.51161    -7.68745    0.733788
          27    -4.50011     -7.5694    0.716043
          28    -4.75898    -7.46903    0.697469
          29    -4.88741    -7.38001    0.679076
          30    -5.16755    -7.30626    0.660433
          31    -5.13367    -7.23617    0.642836
          32    -5.21903    -7.17314    0.625831
          33    -5.09167    -7.11006    0.610036
          34    -4.82725    -7.04292    0.595777
          35    -4.79045    -6.97857    0.582221
          36    -4.93318    -6.92175    0.568813
          37    -4.82825    -6.86517    0.556247
          38    -4.69387    -6.80803    0.544536
          39    -4.70423    -6.75409    0.533239
          40    -4.32393    -6.69333    0.523357
          41    -4.27972    -6.63446    0.513893
          42    -4.48924    -6.58339    0.504189
          43    -4.44648    -6.53369    0.494907
          44    -4.24692    -6.48172     0.48638
          45    -4.45268    -6.43663    0.477657
          46    -4.41766    -6.39274    0.469285
          47    -4.29049    -6.34801    0.461427
          48    -4.22384    -6.30376    0.453931
          49    -3.86848    -6.25406     0.44738
          50    -3.73539    -6.20368    0.441259
          51    -3.70012    -6.15459    0.435329
          52     -3.6269    -6.10598    0.429663
          53    -3.36531    -6.05427    0.424656
          54    -3.31118    -6.00347    0.419819
          55    -3.51623    -5.95825    0.414615
          56    -3.64797      -5.917    0.409258
          57    -3.77764    -5.87946    0.403796
          58    -4.01007    -5.84723    0.398118
          59    -4.28863    -5.82082    0.392246
          60    -4.41594     -5.7974    0.386406
          61    -3.97685    -5.76756    0.381223
          62    -3.80957    -5.73598     0.37638
          63    -3.76902    -5.70475    0.371698
          64     -3.9337    -5.67708    0.366919
          65    -3.91504    -5.64997    0.362274
          66    -3.88294     -5.6232    0.357773
          67     -4.2709    -5.60302    0.353002
          68    -4.39778    -5.58529    0.348256
          69    -4.40589     -5.5682    0.343628
          70     -4.6171    -5.55461    0.338987
          71    -4.59083    -5.54104    0.334484
          72     -4.6454     -5.5286     0.33007
          73    -4.32945    -5.51217    0.325957
          74    -4.04612    -5.49236    0.322154
          75    -4.03269     -5.4729    0.318446
          76    -3.74401    -5.45015    0.315067
          77    -3.79569    -5.42866    0.311707
          78    -3.72275    -5.40679    0.308477
          79     -3.7883    -5.38631    0.305252
