#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     20.6242     20.6242           0
           2     21.7292     21.1767    0.390662
           3     20.9704     21.1079    0.266425
           4     19.7327     20.7641    0.358584
           5     18.6999     20.3513    0.467595
           6      17.781     19.9229    0.552057
           7     16.7886     19.4751     0.62909
           8     15.9682     19.0368    0.686401
           9     15.6061     18.6556    0.708112
          10     15.3375     18.3238    0.710803
          11     15.0924       18.03    0.704278
          12     14.8367     17.7639    0.694043
          13     14.6662     17.5256    0.680333
          14     14.5128     17.3104    0.664903
          15     14.3337      17.112    0.649516
          16     14.3335     16.9383    0.631709
          17     14.0847     16.7705    0.616448
          18     13.8512     16.6083    0.603157
          19     13.8279     16.4619    0.588897
          20     13.9037      16.334    0.573175
          21     14.0794     16.2267    0.555846
          22     13.9034     16.1211    0.540519
          23      13.946     16.0265    0.525226
          24     13.8765     15.9369    0.510924
          25     13.7023     15.8475    0.498244
          26     13.5869     15.7606    0.486608
          27     13.5925     15.6803    0.475165
          28     13.7681      15.612    0.463076
          29     13.8779     15.5522    0.450952
          30     14.0661     15.5027    0.438633
          31     14.0104     15.4545    0.427116
          32     14.0909     15.4119    0.415889
          33     14.0308     15.3701    0.405387
          34     13.8548     15.3255    0.395906
          35     13.8217     15.2825    0.386919
          36     13.8828     15.2436    0.378119
          37      13.842     15.2058    0.369793
          38     13.7579     15.1677    0.362019
          39     13.7605     15.1316     0.35453
          40     13.5385     15.0917    0.347897
          41     13.4382     15.0514    0.341741
          42     13.6052      15.017    0.335335
          43     13.5819     14.9836    0.329193
          44     13.4449     14.9486    0.323563
          45     13.5982     14.9186    0.317762
          46     13.5389     14.8886    0.312266
          47     13.4776     14.8586    0.307062
          48     13.4854       14.83    0.301994
          49     13.1737     14.7962    0.297717
          50     13.1492     14.7633    0.293579
          51     13.0678       14.73    0.289699
          52     13.0293     14.6973    0.285968
          53     12.8865     14.6631    0.282606
          54     12.8185      14.629     0.27943
          55     12.9587     14.5986    0.275994
          56     13.0259     14.5705    0.272491
          57     13.1357     14.5454    0.268871
          58     13.2511      14.523    0.265159
          59     13.4776     14.5053    0.261257
          60     13.5756     14.4898    0.257361
          61      13.274     14.4699    0.253913
          62     13.1667     14.4489    0.250686
          63     13.1241     14.4279    0.247587
          64     13.2253     14.4091    0.244431
          65     13.2217     14.3908    0.241352
          66     13.2111     14.3729    0.238356
          67     13.4602     14.3593    0.235187
          68     13.5438     14.3473    0.232034
          69     13.5675      14.336    0.228947
          70     13.6796     14.3266    0.225868
          71      13.687     14.3176    0.222866
          72     13.7437     14.3096    0.219913
          73     13.5374     14.2991    0.217155
          74     13.3034     14.2856    0.214637
          75     13.3313     14.2729    0.212152
          76     13.1708     14.2584    0.209856
          77     13.1168     14.2436    0.207653
          78     13.1013     14.2289    0.205507
          79     13.1604     14.2154     0.20335
          80     13.1949     14.2026    0.201208
          81     13.0636     14.1886    0.199215
          82     13.1179     14.1755    0.197213
          83     13.1115     14.1627    0.195253
