#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     15.8612     15.8612           0
           2     15.6103     15.7358   0.0887134
           3     16.0162     15.8292   0.0965475
           4     16.0137     15.8754   0.0826908
           5     16.0626     15.9128   0.0741469
           6       16.09     15.9423   0.0674151
           7     15.9309     15.9407   0.0578041
           8     16.0664     15.9564   0.0526696
           9     15.9598     15.9568   0.0468187
          10     15.9677     15.9579   0.0421496
          11     15.9645     15.9585   0.0383221
          12     15.9716     15.9596   0.0351442
          13     15.9532     15.9591   0.0324442
          14     15.9593     15.9591   0.0301268
          15     15.9571      15.959   0.0281186
          16     15.9292     15.9571   0.0264227
          17     15.9725      15.958   0.0248839
          18     15.9962     15.9601   0.0235919
          19     15.9096     15.9575   0.0224993
          20     15.9137     15.9553   0.0214805
          21     15.9665     15.9558   0.0204642
          22     15.9377      15.955   0.0195506
          23     15.9172     15.9533   0.0187695
          24     15.9825     15.9546   0.0180269
          25     16.0105     15.9568    0.017444
          26     15.8688     15.9534   0.0170983
          27     15.8886      15.951   0.0166327
          28     15.8932      15.949   0.0161664
          29     15.9294     15.9483    0.015623
          30     15.9316     15.9477    0.015112
          31     15.8819     15.9456   0.0147728
          32     15.9174     15.9447   0.0143375
          33     15.9545      15.945   0.0139061
          34      15.955     15.9453   0.0135002
          35      15.942     15.9452   0.0131148
          36      15.891     15.9437   0.0128367
          37     15.9348     15.9435    0.012492
          38     15.9429     15.9435   0.0121633
          39     15.9366     15.9433   0.0118527
          40     15.9838     15.9443   0.0115995
          41     15.8775     15.9427   0.0114303
          42     15.9185     15.9421   0.0111726
          43     15.9264     15.9417   0.0109187
          44     15.9204     15.9412   0.0106813
          45     15.9446     15.9413   0.0104442
          46     15.8906     15.9402   0.0102751
          47     15.9259     15.9399   0.0100609
          48     16.0043     15.9413  0.00994046
          49      15.892     15.9402  0.00978819
          50     15.9884     15.9412  0.00963973
          51     15.9016     15.9404  0.00948195
          52     15.9171       15.94  0.00931024
          53     15.9644     15.9404  0.00914599
          54     15.9166       15.94  0.00898732
          55     15.9218     15.9397  0.00882999
          56     15.8909     15.9388  0.00871518
          57     15.9259     15.9386  0.00856521
          58     15.8665     15.9373  0.00850709
          59     15.9278     15.9372  0.00836443
          60     15.9475     15.9373   0.0082268
          61     15.9342     15.9373   0.0080921
          62     15.9404     15.9373  0.00796174
          63     15.9172      15.937  0.00784179
          64     15.9042     15.9365  0.00773597
          65     15.9175     15.9362  0.00762249
          66     15.9337     15.9362  0.00750709
          67     15.9194     15.9359  0.00739923
          68     15.9179     15.9357  0.00729517
          69     15.9454     15.9358  0.00719081
          70     15.9023     15.9353  0.00710397
          71     15.9396     15.9354  0.00700417
          72     15.9702     15.9359  0.00692355
          73     15.9767     15.9364  0.00685121
          74      15.909     15.9361  0.00676867
          75     15.9643     15.9364  0.00668885
          76     16.0122     15.9374  0.00667481
          77     15.8795     15.9367  0.00663042
          78     15.9293     15.9366  0.00654609
          79     15.9523     15.9368  0.00646627
          80     15.9049     15.9364  0.00639768
          81     15.9774     15.9369  0.00633873
          82     15.9322     15.9368  0.00626169
          83     15.9518      15.937  0.00618883
          84     15.9059     15.9366  0.00612623
          85     15.9874     15.9372  0.00608315
          86     15.9094     15.9369  0.00602102
          87     15.9023     15.9365  0.00596498
          88     15.8898      15.936  0.00592083
          89     15.9325     15.9359  0.00585444
          90     15.8786     15.9353  0.00582401
          91     15.9289     15.9352  0.00576044
          92     15.9271     15.9352   0.0056985
          93     15.9474     15.9353  0.00563873
          94     15.9712     15.9357  0.00559168
          95     15.9468     15.9358  0.00553406
          96     15.9436     15.9359  0.00547701
          97     15.9391     15.9359  0.00542065
          98     15.9156     15.9357   0.0053693
          99     15.9427     15.9358  0.00531553
         100     15.9209     15.9356  0.00526444
         101     15.8961     15.9352  0.00522682
         102      15.939     15.9353   0.0051757
         103      15.931     15.9352  0.00512562
         104     15.9209     15.9351  0.00507817
         105     15.9299      15.935  0.00503005
         106     15.9276      15.935  0.00498308
         107     15.9097     15.9347   0.0049421
         108     15.9315     15.9347  0.00489643
         109     15.8904     15.9343  0.00486831
         110     15.9771     15.9347  0.00483959
         111     15.8731     15.9341   0.0048277
         112     15.9164      15.934   0.0047872
         113     15.9413      15.934  0.00474527
         114     15.8798     15.9336  0.00472743
         115     15.8979     15.9332  0.00469647
         116     15.9282     15.9332  0.00465618
         117     15.9233     15.9331  0.00461715
         118     15.9684     15.9334  0.00458769
         119     15.9088     15.9332  0.00455381
         120     15.9342     15.9332  0.00451587
         121       15.94     15.9333   0.0044789
         122      15.916     15.9331  0.00444443
         123     15.8489     15.9324  0.00446074
         124     15.8938     15.9321  0.00443567
         125     15.9364     15.9322  0.00440031
         126     16.0111     15.9328  0.00440978
         127     15.9451     15.9329  0.00437611
         128     15.8588     15.9323  0.00438007
         129     15.8713     15.9318  0.00437156
         130     15.8714     15.9314  0.00436262
         131     15.9221     15.9313  0.00432989
         132     15.9453     15.9314  0.00429839
         133     15.9491     15.9315  0.00426814
         134     15.9246     15.9315  0.00423661
         135     15.9329     15.9315  0.00420524
         136     15.9096     15.9313   0.0041774
         137     15.9507     15.9315   0.0041493
         138     15.9221     15.9314  0.00411979
         139     15.9285     15.9314  0.00409021
         140     15.8512     15.9308  0.00410087
         141     15.8745     15.9304  0.00409122
         142     15.9069     15.9303  0.00406576
         143     15.9608     15.9305  0.00404293
         144      15.891     15.9302  0.00402413
         145     15.9183     15.9301  0.00399722
         146     15.9219     15.9301  0.00397024
         147     15.8852     15.9297  0.00395492
         148     15.8965     15.9295  0.00393458
         149     15.9132     15.9294   0.0039097
         150     15.9148     15.9293  0.00388485
         151     15.8878      15.929  0.00386881
         152     15.8932     15.9288  0.00385053
         153     15.9418     15.9289   0.0038263
         154     15.9208     15.9288  0.00380182
         155     15.8762     15.9285  0.00379245
         156      15.888     15.9282  0.00377702
         157      15.832     15.9276  0.00380234
         158     15.9285     15.9276  0.00377827
         159     15.9383     15.9277  0.00375511
         160      15.804     15.9269   0.0038104
         161     15.9119     15.9268  0.00378787
         162     15.9561      15.927   0.0037688
         163      16.001     15.9275  0.00377292
         164     15.9091     15.9274  0.00375158
         165     15.9208     15.9273  0.00372906
         166     15.9536     15.9275  0.00370995
         167     15.9795     15.9278  0.00370077
         168     15.9531     15.9279  0.00368181
         169     16.0041     15.9284  0.00368747
         170     16.0062     15.9288  0.00369407
         171     16.0231     15.9294  0.00371337
         172     15.9437     15.9295   0.0036927
         173      15.919     15.9294  0.00367186
         174     15.9643     15.9296  0.00365622
         175      15.983     15.9299  0.00364805
         176     15.9308     15.9299  0.00362733
         177     15.9777     15.9302  0.00361686
         178     15.9413     15.9303  0.00359709
         179     16.0485     15.9309  0.00363709
         180     15.9726     15.9312  0.00362426
         181     15.9822     15.9314  0.00361519
         182     16.0539     15.9321  0.00365737
         183      16.042     15.9327  0.00368638
         184     15.9619     15.9329  0.00366974
         185     15.9788     15.9331  0.00365829
         186      15.997     15.9335  0.00365471
         187     15.9956     15.9338  0.00365024
         188     15.9895     15.9341  0.00364285
         189     15.9951     15.9344  0.00363787
         190     15.9836     15.9347  0.00362791
         191     16.0329     15.9352   0.0036452
         192     16.0144     15.9356   0.0036495
         193     15.9816     15.9358  0.00363836
         194     16.0084     15.9362  0.00363878
         195      16.038     15.9367  0.00365733
         196     16.0227     15.9372  0.00366491
         197     15.9997     15.9375  0.00366003
         198     15.9472     15.9375  0.00364187
         199     15.9546     15.9376  0.00362459
         200     16.0151      15.938   0.0036271
