#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20    0.193158    0.197181 0.000603207
         1.9           20    0.210056    0.212766 0.000668005
         1.8           20    0.229143    0.230276 0.000840285
         1.7           20    0.249885    0.249749 0.000853741
         1.6           20    0.269507     0.27011 0.000689976
         1.5           20    0.291733    0.293528 0.000823388
         1.4           20    0.316571    0.316678 0.000870467
         1.3           20    0.346002    0.342932 0.000953095
         1.2           20    0.374649    0.371664  0.00122598
         1.1           20    0.395187    0.395086  0.00107668
           1           20    0.416748    0.415884   0.0013236
         0.9           20    0.433091    0.432314  0.00199599
         0.8           20    0.441632    0.440009  0.00049773
         0.7           20    0.435037    0.433855 0.000515104
         0.6           20    0.423334    0.423137 0.000603452
         0.5           20    0.326576    0.328744   0.0011337
