#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20    0.029636     0.02808 0.000828796
         1.9           20    0.030334   0.0293894 0.000969905
         1.8           20    0.030292   0.0347316  0.00103267
         1.7           20     0.03615   0.0384866 0.000834076
         1.6           20    0.042406   0.0422388  0.00119363
         1.5           20    0.044642   0.0500193 0.000862177
         1.4           20    0.061694   0.0584096  0.00137766
         1.3           20    0.059162   0.0701103  0.00177553
         1.2           20     0.09713   0.0844235  0.00179617
         1.1           20     0.11804     0.11188   0.0024443
           1           20    0.155632    0.145162   0.0019909
         0.9           20    0.231694     0.20182  0.00459855
         0.8           20    0.291864    0.290151 0.000998671
         0.7           20    0.437697    0.441295  0.00124304
         0.6           20    0.672684     0.67383  0.00164521
         0.5           20    0.896659    0.887872  0.00178471
