TEMP:   # BLOCK TAKEN:   ACCEPTED MC MOVES:
           2           20    0.537623
         1.9           20    0.517411
         1.8           20    0.495557
         1.7           20     0.47173
         1.6           20    0.445634
         1.5           20    0.417347
         1.4           20    0.387092
         1.3           20    0.353579
         1.2           20    0.317321
         1.1           20    0.279296
           1           20     0.23805
         0.9           20    0.195184
         0.8           20    0.150878
         0.7           20    0.107784
         0.6           20   0.0655535
         0.5           20   0.0259514
