#   TEMP:      #BLOCK     ACTUAL_VALUE:    ACC_AVE:   ERROR:
           2           20    -0.46122   -0.462035 0.000258952
         1.9           20   -0.481344   -0.482442 0.000231148
         1.8           20   -0.502656    -0.50442 0.000254002
         1.7           20   -0.525692   -0.528302 0.000285615
         1.6           20   -0.551812   -0.554497 0.000310449
         1.5           20    -0.57962   -0.582512 0.000347923
         1.4           20    -0.60956   -0.613628 0.000387056
         1.3           20    -0.64382   -0.646942 0.000427645
         1.2           20   -0.680784   -0.682904 0.000307248
         1.1           20   -0.719744   -0.721395 0.000403817
           1           20   -0.759992   -0.761673 0.000370005
         0.9           20   -0.800744   -0.804686 0.000467372
         0.8           20   -0.844748   -0.848043 0.000610686
         0.7           20   -0.891612   -0.891491 0.000758279
         0.6           20   -0.940316   -0.934772  0.00109023
         0.5           20   -0.975816   -0.971537  0.00100786
