#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.264684    0.264684           0
           2    0.267837    0.266261  0.00111457
           3    0.273213    0.268578  0.00203278
           4    0.256196    0.265483  0.00308395
           5    0.253139    0.263014  0.00331098
           6    0.258443    0.262252  0.00284544
           7    0.262695    0.262315  0.00243965
           8    0.256608    0.261602  0.00223657
           9    0.253501    0.260702   0.0021616
          10    0.269444    0.261576  0.00211486
          11     0.26846    0.262202  0.00201305
          12    0.257069    0.261774  0.00189019
          13      0.2527    0.261076  0.00186923
          14    0.265739    0.261409  0.00176514
          15    0.261008    0.261382  0.00164766
          16    0.264467    0.261575  0.00155593
          17    0.251434    0.260979   0.0015746
          18    0.262731    0.261076  0.00149013
          19    0.271829    0.261642  0.00151537
          20     0.25546    0.261333  0.00147079
