# DISTANCE:  AVE_GOFR:     CUMUL_AVE_GOFR:   ERROR:

   0.0128248           0           0           0
   0.0384745           0           0           0
   0.0641241           0           0           0
   0.0897737           0           0           0
    0.115423           0           0           0
    0.141073           0           0           0
    0.166723           0           0           0
    0.192372           0           0           0
    0.218022           0           0           0
    0.243672           0           0           0
    0.269321           0           0           0
    0.294971           0           0           0
     0.32062           0           0           0
     0.34627           0           0           0
     0.37192           0           0           0
    0.397569           0           0           0
    0.423219           0           0           0
    0.448869           0           0           0
    0.474518           0           0           0
    0.500168           0           0           0
    0.525818           0           0           0
    0.551467           0           0           0
    0.577117           0           0           0
    0.602767           0           0           0
    0.628416           0           0           0
    0.654066           0           0           0
    0.679715           0           0           0
    0.705365           0           0           0
    0.731015           0           0           0
    0.756664           0           0           0
    0.782314           0           0           0
    0.807964           0           0           0
    0.833613           0           0           0
    0.859263           0  1.2644e-05 5.61343e-06
    0.884913  0.00256775  0.00131322 5.26947e-05
    0.910562   0.0239915   0.0243535 0.000213214
    0.936212    0.162879     0.16516 0.000704043
    0.961861    0.567791    0.566441  0.00181358
    0.987511     1.22273      1.2034  0.00270681
     1.01316     1.87281       1.867  0.00265721
     1.03881     2.34839      2.3394  0.00251129
     1.06446     2.54765     2.55294  0.00234009
     1.09011     2.53305     2.55094   0.0022364
     1.11576      2.3895     2.40699  0.00201082
     1.14141     2.18277     2.19948  0.00205387
     1.16706      1.9934     1.96972  0.00217556
     1.19271     1.71923     1.75182  0.00223214
     1.21836     1.57407     1.55844  0.00197526
     1.24401      1.3759     1.38535  0.00195941
     1.26966     1.24483     1.24276  0.00139802
     1.29531      1.1147     1.12324  0.00138038
     1.32096     1.02866     1.02407  0.00135772
     1.34661     0.92937    0.938885  0.00134447
     1.37226     0.86921    0.873003  0.00127813
     1.39791    0.817945    0.815659  0.00123767
     1.42355    0.783952    0.773226  0.00102745
      1.4492    0.746292    0.739257 0.000858866
     1.47485    0.719537     0.71166 0.000950158
      1.5005    0.708353    0.691831  0.00103068
     1.52615    0.691897    0.678282 0.000992552
      1.5518    0.668707    0.672725 0.000999839
     1.57745    0.666849    0.672089   0.0011494
      1.6031    0.680081    0.676914   0.0010685
     1.62875    0.670281    0.687416   0.0010779
      1.6544    0.693634    0.702877 0.000928981
     1.68005    0.715819    0.723354  0.00100107
      1.7057    0.750534    0.751167  0.00101212
     1.73135    0.777503    0.781672  0.00104913
       1.757    0.811079    0.814333  0.00112715
     1.78265    0.854009    0.853367  0.00109443
      1.8083    0.891338    0.894528  0.00110612
     1.83395    0.929783     0.93601  0.00103117
      1.8596    0.991617    0.978098   0.0011276
     1.88525     1.02467     1.01897  0.00114707
      1.9109     1.06703     1.05882  0.00107993
     1.93655     1.09931     1.09658  0.00116572
      1.9622     1.12345     1.13011  0.00105889
     1.98785     1.16378     1.16101 0.000911526
      2.0135     1.17956     1.18531 0.000891661
     2.03915     1.20563     1.20415 0.000823441
      2.0648     1.21139     1.21361  0.00100674
     2.09045     1.20589     1.21501 0.000919859
      2.1161      1.2155     1.20752  0.00103097
     2.14174     1.19943     1.19333   0.0010663
     2.16739     1.17459     1.17377  0.00100418
     2.19304     1.14571     1.14978  0.00101611
     2.21869     1.12646     1.12215  0.00106209
     2.24434     1.10107     1.09387  0.00110442
     2.26999     1.05846     1.06429 0.000909163
     2.29564      1.0299      1.0375  0.00093802
     2.32129     1.00051     1.01237 0.000869883
     2.34694    0.993677    0.988084 0.000829788
     2.37259    0.958862    0.965595 0.000808959
     2.39824     0.94388    0.947348 0.000798637
     2.42389    0.934889    0.931636 0.000750266
     2.44954     0.92403    0.919268 0.000723644
     2.47519     0.91935    0.910266 0.000854715
     2.50084    0.907926    0.895791 0.000770635
     2.52649    0.895727    0.887042 0.000795953
     2.55214     0.88723    0.886926 0.000785791
