#   N_BLOCK:  ACCEPTANCE:
           1    0.510983
           2    0.512963
           3    0.458333
           4    0.512037
           5    0.535185
           6    0.512037
           7    0.510185
           8    0.498148
           9    0.506481
          10    0.493519
          11    0.514815
          12    0.505556
          13    0.502778
          14    0.510185
          15    0.509259
          16     0.52037
          17    0.524074
          18     0.52963
          19    0.525926
          20    0.493519
          21    0.512963
          22    0.488889
          23    0.486111
          24    0.523148
          25    0.485185
          26    0.501852
          27    0.525926
          28    0.488889
          29    0.497222
          30     0.52963
          31    0.496296
          32    0.483333
          33    0.503704
          34    0.494444
          35     0.47037
          36    0.513889
          37    0.499074
          38    0.509259
          39    0.496296
          40    0.488889
          41    0.484259
          42    0.487037
          43    0.499074
          44       0.475
          45    0.472222
          46    0.488889
          47    0.469444
          48    0.498148
          49    0.519444
          50    0.468519
