#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.42381    -6.42381           0
           2    -6.29416    -6.35898   0.0458402
           3     -6.1918    -6.30326   0.0548125
           4    -6.09138    -6.25029   0.0615976
           5    -5.98895    -6.19802    0.067925
           6    -5.95539    -6.15758   0.0675774
           7    -5.91761     -6.1233   0.0660491
           8    -5.89092    -6.09425   0.0638615
           9    -5.86437    -6.06871   0.0616625
          10    -5.80949    -6.04279   0.0607006
          11    -5.80703    -6.02136   0.0588446
          12      -5.791    -6.00216    0.056986
          13    -5.85316     -5.9907   0.0537428
          14    -5.78408    -5.97594   0.0518908
          15    -5.67718    -5.95602   0.0521139
          16    -5.64966    -5.93688   0.0522562
          17    -5.63925    -5.91937   0.0520324
          18    -5.65306    -5.90457   0.0512019
          19    -5.59796    -5.88844   0.0509868
          20    -5.62347    -5.87519   0.0501292
          21     -5.6347    -5.86374   0.0490326
          22    -5.51969     -5.8481   0.0492346
          23    -5.55685    -5.83543   0.0486952
          24    -5.63532     -5.8271   0.0473748
          25    -5.65204    -5.82009   0.0459943
          26    -5.62142    -5.81245   0.0448556
          27    -5.64763    -5.80635   0.0436077
          28    -5.66506     -5.8013   0.0423412
          29    -5.69818    -5.79775   0.0410302
          30    -5.55709    -5.78972   0.0404391
          31    -5.54588    -5.78186   0.0398923
          32     -5.5817     -5.7756    0.039133
          33    -5.58242    -5.76975   0.0383825
          34    -5.65653    -5.76642   0.0373977
          35    -5.63416    -5.76264   0.0365197
          36    -5.60002    -5.75812   0.0357835
          37    -5.64425    -5.75505   0.0349485
          38    -5.56927    -5.75016    0.034369
          39    -5.55725    -5.74521   0.0338418
          40    -5.61291     -5.7419    0.033157
          41    -5.56502    -5.73759   0.0326278
          42    -5.47627    -5.73137   0.0324387
          43    -5.50006    -5.72599   0.0321272
          44    -5.57182    -5.72248   0.0315876
          45    -5.57718    -5.71925   0.0310502
          46    -5.57067    -5.71602   0.0305427
          47    -5.54607    -5.71241   0.0301062
          48    -5.61817    -5.71045   0.0295429
          49     -5.5996    -5.70818   0.0290265
          50    -5.50855    -5.70419   0.0287192
          51    -5.56827    -5.70153   0.0282795
          52    -5.62157    -5.69999   0.0277774
          53    -5.53139    -5.69681   0.0274349
          54    -5.56493    -5.69436   0.0270353
          55    -5.60623    -5.69276   0.0265912
          56    -5.60454    -5.69119    0.026163
          57    -5.51604    -5.68811   0.0258838
          58    -5.54799     -5.6857     0.02555
          59     -5.5279    -5.68302   0.0252566
          60    -5.53402    -5.68054   0.0249574
          61    -5.51638    -5.67785    0.024693
          62    -5.51187    -5.67517   0.0244394
          63    -5.48716    -5.67219    0.024233
          64    -5.47842    -5.66916   0.0240427
          65    -5.52943    -5.66701   0.0237687
          66    -5.56178    -5.66542    0.023462
          67    -5.63598    -5.66498   0.0231159
          68    -5.58136    -5.66375   0.0228087
          69    -5.56668    -5.66234   0.0225215
          70    -5.50286    -5.66006   0.0223147
          71     -5.5693    -5.65878    0.022037
          72    -5.49022    -5.65644   0.0218549
          73    -5.40481      -5.653   0.0218257
          74     -5.6229    -5.65259   0.0215345
          75    -5.51909    -5.65081   0.0213208
          76    -5.47507     -5.6485   0.0211653
          77    -5.53795    -5.64706   0.0209391
          78    -5.51505    -5.64537   0.0207389
          79    -5.50991    -5.64365   0.0205472
          80    -5.40956    -5.64073   0.0204976
          81    -5.40992    -5.63788   0.0204417
          82    -5.53505    -5.63662   0.0202308
          83    -5.42095    -5.63403   0.0201532
          84    -5.42459    -5.63153    0.020067
          85    -5.46191    -5.62954   0.0199299
          86    -5.43476    -5.62727   0.0198264
          87    -5.51725    -5.62601   0.0196388
          88     -5.4944    -5.62451   0.0194725
          89    -5.61532    -5.62441    0.019254
          90    -5.52772    -5.62333     0.01907
          91    -5.50091    -5.62199   0.0189078
          92     -5.4953    -5.62061   0.0187524
          93    -5.51052    -5.61943   0.0185881
          94    -5.49959    -5.61815    0.018434
          95     -5.4764    -5.61666   0.0183002
          96      -5.406    -5.61447   0.0182407
          97     -5.4404    -5.61267   0.0181407
          98    -5.53968    -5.61193   0.0179709
          99    -5.50019     -5.6108   0.0178247
         100    -5.49535    -5.60964   0.0176838
         101    -5.51473     -5.6087   0.0175337
         102    -5.48982    -5.60754   0.0174005
         103    -5.48414    -5.60634   0.0172728
         104    -5.45982    -5.60493    0.017164
         105    -5.46261    -5.60358    0.017054
         106    -5.44524    -5.60208   0.0169584
         107    -5.41024    -5.60029   0.0168944
         108    -5.46648    -5.59905   0.0167834
         109    -5.44806    -5.59767   0.0166865
         110    -5.40237    -5.59589   0.0166289
         111    -5.40265    -5.59415     0.01657
         112    -5.41975    -5.59259   0.0164951
         113    -5.49845    -5.59176   0.0163701
         114    -5.48705    -5.59084   0.0162523
         115    -5.26596    -5.58802   0.0163546
         116    -5.33439    -5.58583   0.0163591
         117    -5.25508      -5.583   0.0164618
         118    -5.39382     -5.5814   0.0164001
         119    -5.34916    -5.57945    0.016378
         120    -5.37666    -5.57776   0.0163285
         121    -5.41142    -5.57638   0.0162513
         122    -5.48122     -5.5756   0.0161368
         123    -5.45252     -5.5746   0.0160366
         124    -5.45247    -5.57362   0.0159375
         125    -5.45304    -5.57265   0.0158392
         126    -5.35216     -5.5709   0.0158098
         127    -5.40647    -5.56961   0.0157383
         128    -5.47615    -5.56888   0.0156322
         129    -5.47912    -5.56818   0.0155265
         130    -5.40722    -5.56694   0.0154564
         131    -5.39536    -5.56563   0.0153938
         132    -5.34507    -5.56396   0.0153676
         133     -5.3836    -5.56261   0.0153118
         134     -5.4734    -5.56194    0.015212
         135     -5.4159    -5.56086   0.0151377
         136    -5.41688     -5.5598   0.0150634
         137    -5.44683    -5.55898    0.014976
         138    -5.52315    -5.55872   0.0148697
         139    -5.55491    -5.55869   0.0147628
         140    -5.61745    -5.55911   0.0146633
         141    -5.60824    -5.55946   0.0145634
         142     -5.6144    -5.55984    0.014466
         143     -5.5743    -5.55995   0.0143652
         144    -5.44664    -5.55916    0.014287
         145    -5.47529    -5.55858   0.0142001
         146    -5.48614    -5.55808   0.0141115
         147    -5.42818     -5.5572   0.0140432
         148    -5.52953    -5.55701   0.0139496
         149    -5.53538    -5.55687   0.0138567
         150    -5.51769    -5.55661   0.0137668
         151    -5.46642    -5.55601   0.0136885
         152      -5.435    -5.55521   0.0136216
         153    -5.42549    -5.55437    0.013559
         154    -5.39771    -5.55335    0.013509
         155     -5.4266    -5.55253   0.0134466
         156    -5.41958    -5.55168   0.0133874
         157    -5.42405    -5.55087   0.0133268
         158    -5.46807    -5.55034   0.0132527
         159    -5.48197    -5.54991   0.0131763
         160    -5.50181    -5.54961   0.0130974
         161    -5.48658    -5.54922   0.0130219
         162    -5.45859    -5.54866   0.0129535
         163    -5.30172    -5.54714   0.0129624
         164    -5.36117    -5.54601   0.0129328
         165     -5.2264    -5.54407   0.0129987
         166    -5.25651    -5.54234   0.0130353
         167    -5.32846    -5.54106     0.01302
         168    -5.43607    -5.54044   0.0129575
         169    -5.36363    -5.53939    0.012923
         170    -5.34743    -5.53826   0.0128962
         171    -5.40168    -5.53746   0.0128455
         172    -5.36693    -5.53647    0.012809
         173    -5.30248    -5.53512   0.0128062
         174     -5.2299    -5.53336   0.0128522
         175    -5.19139    -5.53141   0.0129264
         176    -5.28341       -5.53   0.0129296
         177    -5.36203    -5.52905   0.0128913
         178    -5.35322    -5.52806   0.0128567
         179    -5.35629     -5.5271   0.0128206
         180    -5.40393    -5.52642   0.0127676
         181    -5.33199    -5.52535   0.0127422
         182    -5.33547     -5.5243   0.0127148
         183    -5.24838    -5.52279   0.0127344
         184    -5.35761     -5.5219   0.0126968
         185    -5.34385    -5.52093   0.0126646
         186    -5.30929     -5.5198   0.0126475
         187    -5.24087     -5.5183   0.0126676
         188    -5.22121    -5.51672   0.0126984
         189    -5.23973    -5.51526   0.0127155
         190    -5.21693    -5.51369   0.0127451
         191    -5.28403    -5.51249    0.012735
         192    -5.25565    -5.51115   0.0127387
         193     -5.3277     -5.5102   0.0127081
         194    -5.28354    -5.50903   0.0126962
         195    -5.30346    -5.50798   0.0126748
         196    -5.22557    -5.50653   0.0126918
         197    -5.25493    -5.50526   0.0126914
         198    -5.21526    -5.50379   0.0127116
         199    -5.20888    -5.50231   0.0127338
         200    -5.28056     -5.5012   0.0127183
         201    -5.35518    -5.50048   0.0126758
         202    -5.35971    -5.49978   0.0126321
         203    -5.42493    -5.49941   0.0125753
         204    -5.33959    -5.49863    0.012538
         205    -5.36229    -5.49796   0.0124945
         206    -5.26919    -5.49685   0.0124831
         207    -5.21345    -5.49548   0.0124976
         208    -5.19088    -5.49402   0.0125231
         209    -5.14917    -5.49237   0.0125714
         210      -5.162    -5.49079   0.0126096
         211    -5.05697    -5.48874   0.0127163
         212    -5.05846    -5.48671   0.0128173
         213    -5.15157    -5.48514   0.0128533
         214    -5.12545    -5.48345   0.0129027
         215    -5.22859    -5.48227    0.012897
         216    -5.35502    -5.48168   0.0128507
         217     -5.2739    -5.48072   0.0128272
         218    -5.23978    -5.47962   0.0128158
         219    -5.32237     -5.4789   0.0127774
         220     -5.3894    -5.47849   0.0127258
         221    -5.38999    -5.47809   0.0126745
         222    -5.26204    -5.47712   0.0126547
         223    -5.16591    -5.47572   0.0126747
         224    -5.22314     -5.4746   0.0126682
         225    -5.04797     -5.4727    0.012753
         226    -5.05285    -5.47084   0.0128312
         227    -5.08537    -5.46914   0.0128865
         228    -5.07605    -5.46742   0.0129448
         229    -5.07188    -5.46569    0.013003
         230    -5.12222     -5.4642   0.0130319
         231     -5.1402     -5.4628   0.0130508
         232    -5.12971    -5.46136   0.0130733
         233      -5.221    -5.46033   0.0130578
         234    -5.31159    -5.45969   0.0130175
         235    -5.34557    -5.45921   0.0129711
         236    -5.30747    -5.45857   0.0129321
         237     -5.2557    -5.45771   0.0129058
         238    -5.33023    -5.45717   0.0128627
