#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.55376    -6.55376           0
           2    -6.55384     -6.5538 2.62676e-05
           3    -6.55379     -6.5538 1.75834e-05
           4    -6.55363    -6.55376 3.79072e-05
           5    -6.55335    -6.55368 7.78649e-05
           6    -6.55296    -6.55356 0.000126867
           7    -6.55244     -6.5534 0.000182873
           8    -6.55181     -6.5532 0.000245033
           9    -6.55106    -6.55296 0.000312848
          10    -6.55018    -6.55268 0.000385978
          11    -6.54918    -6.55236 0.000464185
          12    -6.54805      -6.552 0.000547295
          13    -6.54679     -6.5516 0.000635179
          14    -6.54541    -6.55116 0.000727751
          15    -6.54389    -6.55068  0.00082495
          16    -6.54224    -6.55015  0.00092674
          17    -6.54045    -6.54958  0.00103311
          18    -6.53851    -6.54896  0.00114405
          19    -6.53644     -6.5483  0.00125959
          20    -6.53421     -6.5476  0.00137976
          21    -6.53183    -6.54685   0.0015046
          22    -6.52929    -6.54605  0.00163415
          23     -6.5266     -6.5452  0.00176849
          24    -6.52374    -6.54431  0.00190769
          25     -6.5207    -6.54337  0.00205181
          26     -6.5175    -6.54237  0.00220094
          27    -6.51411    -6.54132  0.00235518
          28    -6.51054    -6.54023  0.00251462
          29    -6.50678    -6.53907  0.00267936
          30    -6.50282    -6.53786   0.0028495
          31    -6.49866     -6.5366  0.00302516
          32     -6.4943    -6.53528  0.00320643
          33    -6.48972     -6.5339  0.00339344
          34    -6.48493    -6.53246   0.0035863
          35     -6.4799    -6.53095  0.00378512
          36    -6.47465    -6.52939  0.00399003
          37    -6.46916    -6.52776  0.00420112
          38    -6.46343    -6.52607  0.00441852
          39    -6.45745    -6.52431  0.00464235
          40    -6.45121    -6.52248   0.0048727
          41    -6.44472    -6.52059  0.00510968
          42    -6.43796    -6.51862  0.00535339
          43    -6.43092    -6.51658  0.00560392
          44    -6.42361    -6.51447  0.00586137
          45    -6.41602    -6.51228   0.0061258
          46    -6.40814    -6.51002  0.00639729
          47    -6.39997    -6.50767   0.0066759
          48    -6.39151    -6.50525  0.00696166
          49    -6.38275    -6.50275  0.00725462
          50    -6.37369    -6.50017  0.00755479
          51    -6.36433    -6.49751  0.00786217
          52    -6.35467    -6.49476  0.00817674
          53    -6.34471    -6.49193  0.00849848
          54    -6.33445    -6.48901  0.00882732
          55    -6.32389    -6.48601  0.00916319
          56    -6.31303    -6.48292  0.00950598
          57    -6.30188    -6.47975  0.00985557
          58    -6.29044    -6.47648   0.0102118
          59    -6.27872    -6.47313   0.0105745
          60    -6.26673    -6.46969   0.0109435
          61    -6.25448    -6.46616   0.0113186
          62    -6.24197    -6.46255   0.0116994
          63    -6.22922    -6.45884   0.0120856
          64    -6.21625    -6.45505   0.0124771
          65    -6.20305    -6.45118   0.0128734
          66    -6.18966    -6.44721   0.0132741
          67    -6.17609    -6.44317   0.0136789
          68    -6.16236    -6.43904   0.0140873
          69    -6.14848    -6.43483   0.0144989
          70    -6.13447    -6.43054   0.0149131
          71    -6.12036    -6.42617   0.0153296
          72    -6.10617    -6.42172   0.0157478
          73    -6.09191     -6.4172   0.0161672
          74    -6.07762    -6.41262   0.0165872
          75    -6.06331    -6.40796   0.0170073
          76    -6.04901    -6.40324    0.017427
          77    -6.03474    -6.39845   0.0178457
          78    -6.02052     -6.3936   0.0182628
          79    -6.00638     -6.3887   0.0186778
          80    -5.99234    -6.38375   0.0190902
          81    -5.97841    -6.37874   0.0194993
          82    -5.96462    -6.37369   0.0199048
          83      -5.951     -6.3686    0.020306
          84    -5.93755    -6.36347   0.0207025
          85    -5.92431     -6.3583   0.0210938
          86    -5.91128    -6.35311   0.0214794
          87    -5.89849    -6.34788   0.0218589
          88    -5.88595    -6.34263   0.0222318
          89    -5.87368    -6.33736   0.0225978
          90     -5.8617    -6.33208   0.0229565
          91    -5.85001    -6.32678   0.0233074
          92    -5.83864    -6.32147   0.0236503
          93    -5.82759    -6.31616   0.0239848
          94    -5.81689    -6.31085   0.0243106
          95    -5.80653    -6.30554   0.0246275
          96    -5.79654    -6.30024   0.0249352
          97    -5.78691    -6.29495   0.0252335
          98    -5.77767    -6.28967   0.0255221
          99    -5.76883    -6.28441   0.0258008
         100    -5.76038    -6.27917   0.0260696
         101    -5.75234    -6.27395   0.0263281
         102    -5.74471    -6.26876   0.0265764
         103    -5.73751    -6.26361   0.0268142
         104    -5.73073    -6.25848   0.0270415
         105    -5.72438     -6.2534   0.0272582
         106    -5.71846    -6.24835   0.0274642
         107    -5.71298    -6.24335   0.0276595
         108    -5.70793    -6.23839   0.0278442
         109    -5.70332    -6.23348   0.0280181
         110    -5.69914    -6.22862   0.0281813
         111    -5.69539    -6.22382   0.0283339
         112    -5.69207    -6.21907    0.028476
         113    -5.68916    -6.21438   0.0286075
         114    -5.68667    -6.20975   0.0287286
         115    -5.68459    -6.20518   0.0288395
         116    -5.68289    -6.20068   0.0289402
         117    -5.68158    -6.19625   0.0290309
         118    -5.68063    -6.19188   0.0291119
         119    -5.68004    -6.18757   0.0291833
         120    -5.67978    -6.18334   0.0292453
         121    -5.67984    -6.17918   0.0292981
         122    -5.68021    -6.17509    0.029342
         123    -5.68085    -6.17107   0.0293773
         124    -5.68176    -6.16713   0.0294043
         125    -5.68292    -6.16325   0.0294231
         126    -5.68429    -6.15945   0.0294341
         127    -5.68586    -6.15572   0.0294376
         128    -5.68762    -6.15207   0.0294339
         129    -5.68953    -6.14848   0.0294233
         130    -5.69158    -6.14497   0.0294061
         131    -5.69375    -6.14152   0.0293827
         132    -5.69602    -6.13815   0.0293533
         133    -5.69837    -6.13484   0.0293182
         134    -5.70078     -6.1316   0.0292778
         135    -5.70323    -6.12843   0.0292324
         136    -5.70572    -6.12532   0.0291822
         137    -5.70822    -6.12228   0.0291276
         138    -5.71072    -6.11929   0.0290688
         139    -5.71321    -6.11637   0.0290061
         140    -5.71567    -6.11351   0.0289398
         141    -5.71811    -6.11071   0.0288701
         142     -5.7205    -6.10796   0.0287973
         143    -5.72283    -6.10526   0.0287215
         144    -5.72512    -6.10262   0.0286432
         145    -5.72734    -6.10004   0.0285623
