#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.17055     1.17055           0
           2     1.16125      1.1659   0.0032883
           3     1.13408     1.15529  0.00893375
           4     1.09638     1.14056   0.0144083
           5     1.06396     1.12524   0.0179061
           6     1.05898      1.1142   0.0180081
           7      1.0856     1.11011    0.015892
           8     1.12433     1.11189   0.0140046
           9     1.15549     1.11674   0.0132599
          10     1.17278     1.12234   0.0130647
          11     1.17756     1.12736   0.0128051
          12     1.17126     1.13102   0.0122494
          13     1.15375     1.13277   0.0114312
          14      1.1278     1.13241   0.0106202
          15     1.10029     1.13027   0.0101258
          16     1.07623     1.12689   0.0100403
          17     1.06113     1.12302   0.0101677
          18     1.06155     1.11961   0.0101602
          19     1.07295     1.11715  0.00991776
          20     1.08219     1.11541   0.0095747
          21     1.08732     1.11407  0.00921169
          22     1.09511     1.11321   0.0088332
          23     1.10575     1.11288   0.0084551
          24      1.1171     1.11306  0.00810463
          25      1.1282     1.11366  0.00780303
          26     1.13604     1.11452  0.00755024
          27      1.1368     1.11535  0.00731552
          28     1.13056     1.11589   0.0070744
          29     1.12213     1.11611  0.00683372
          30     1.11818     1.11618  0.00660628
          31     1.12233     1.11637  0.00639615
          32      1.1299      1.1168  0.00621023
          33     1.13207     1.11726  0.00603927
          34     1.12718     1.11755  0.00586869
          35     1.12197     1.11768  0.00570237
          36     1.12305     1.11783  0.00554592
          37      1.1337     1.11826  0.00541259
          38     1.15625     1.11926  0.00536169
          39     1.18803     1.12102  0.00550659
          40     1.21489     1.12337  0.00584769
          41     1.21951     1.12571  0.00615732
          42     1.19736     1.12742  0.00624255
          43     1.16126      1.1282  0.00614679
          44      1.1305     1.12826  0.00600731
          45     1.11685       1.128  0.00587916
          46     1.11984     1.12783  0.00575403
          47     1.13104     1.12789  0.00563201
          48     1.13939     1.12813  0.00551977
          49     1.13645      1.1283  0.00540973
          50     1.12331      1.1282  0.00530246
          51     1.11089     1.12786  0.00520934
          52     1.10786     1.12748  0.00512334
          53       1.109     1.12713  0.00503853
          54      1.1011     1.12665  0.00496823
          55     1.08435     1.12588  0.00493706
          56     1.07393     1.12495  0.00493527
          57     1.07334     1.12405  0.00493107
          58     1.07793     1.12325  0.00490973
          59     1.08924     1.12267  0.00486023
          60     1.10799     1.12243  0.00478538
          61     1.12707     1.12251  0.00470754
          62     1.13868     1.12277  0.00463883
          63     1.14304     1.12309  0.00457635
          64     1.14614     1.12345  0.00451899
          65     1.15109     1.12387  0.00446942
          66     1.15616     1.12436  0.00442839
          67     1.15837     1.12487  0.00439129
          68     1.15436      1.1253  0.00434808
          69     1.14181     1.12554  0.00429163
          70     1.12525     1.12554  0.00423033
          71     1.11827     1.12544  0.00417199
          72     1.12829     1.12548  0.00411423
          73     1.13861     1.12566   0.0040618
          74     1.13141     1.12573  0.00400766
          75     1.11468     1.12559  0.00395693
          76     1.10674     1.12534  0.00391263
          77     1.11062     1.12515  0.00386648
          78     1.12047     1.12509  0.00381737
          79     1.12968     1.12515  0.00376949
          80     1.13053     1.12521  0.00372298
          81      1.1199     1.12515  0.00367759
          82     1.09923     1.12483   0.0036463
          83     1.07151     1.12419  0.00365852
          84     1.04361     1.12323  0.00373861
          85     1.02504     1.12208  0.00386897
          86     1.02304     1.12092  0.00399168
          87     1.03734     1.11996  0.00405976
          88     1.05872     1.11927  0.00407284
          89     1.07451     1.11876    0.004058
          90     1.07634     1.11829  0.00404019
          91     1.06255     1.11768  0.00404196
          92     1.03991     1.11683  0.00408546
          93     1.01955     1.11579   0.0041733
          94      1.0027     1.11459  0.00429883
          95     0.98393     1.11321  0.00446817
          96     0.96522     1.11167     0.00468
          97    0.957246     1.11008  0.00489504
          98    0.969343     1.10864  0.00505135
          99    0.999862     1.10754  0.00511844
         100       1.035     1.10682  0.00511839
         101     1.05686     1.10632  0.00509156
         102     1.05422     1.10581   0.0050672
         103     1.02926     1.10507  0.00507222
         104    0.998729     1.10405  0.00512547
         105    0.985708     1.10292  0.00519909
         106           1     1.10195  0.00523991
         107     1.02912     1.10127  0.00523495
         108     1.05668     1.10085  0.00520273
         109     1.07803     1.10064  0.00515921
         110     1.09349     1.10058  0.00511272
         111     1.09967     1.10057  0.00506667
         112     1.09316     1.10051  0.00502186
         113     1.08117     1.10033  0.00498034
         114     1.08208     1.10017  0.00493922
         115     1.10452     1.10021  0.00489642
         116     1.13639     1.10052  0.00486413
         117     1.16298     1.10106  0.00485176
         118     1.17562     1.10169  0.00485161
         119     1.17089     1.10227  0.00484557
         120     1.15349      1.1027  0.00482396
         121     1.13231     1.10294  0.00479029
         122     1.11816     1.10307  0.00475265
         123     1.11667     1.10318   0.0047153
         124     1.11807      1.1033   0.0046788
         125     1.10611     1.10332  0.00464142
         126     1.07067     1.10306  0.00461182
         127     1.02201     1.10242  0.00461945
         128    0.999569     1.10162  0.00465273
         129     1.02178       1.101  0.00465764
         130     1.05511     1.10065  0.00463517
         131     1.06833      1.1004  0.00460635
         132     1.06032      1.1001  0.00458145
         133     1.05055     1.09972  0.00456212
         134     1.05444     1.09939  0.00454058
         135     1.06659     1.09914  0.00451344
         136     1.08196     1.09902  0.00448202
         137     1.10796     1.09908  0.00444978
         138     1.14454     1.09941  0.00442971
         139     1.17619     1.09996  0.00443215
         140     1.18785     1.10059  0.00444472
         141     1.18122     1.10116  0.00444983
         142      1.1647     1.10161  0.00444094
         143      1.1378     1.10186  0.00441709
         144     1.10304     1.10187  0.00438642
         145     1.07377     1.10168  0.00436045
         146     1.05752     1.10138  0.00434106
         147      1.0536     1.10105  0.00432368
         148     1.06717     1.10082  0.00430052
         149      1.1027     1.10083  0.00427167
         150      1.1504     1.10117  0.00425595
         151     1.19056     1.10176  0.00426875
         152      1.2057     1.10244  0.00429508
         153     1.18687     1.10299  0.00430231
         154     1.13645     1.10321  0.00427986
         155     1.06741     1.10298  0.00425847
         156     1.00114     1.10233  0.00428092
         157    0.961697     1.10143  0.00434636
         158     0.96683     1.10058  0.00440154
         159     1.01301     1.10003  0.00440818
         160     1.07005     1.09984  0.00438461
         161     1.10783     1.09989  0.00435766
         162     1.11492     1.09998  0.00433175
         163     1.10116     1.09999  0.00430518
         164     1.08724     1.09991  0.00427963
         165     1.08418     1.09982  0.00425476
         166     1.08963     1.09976  0.00422957
         167     1.09461     1.09973  0.00420435
         168     1.09004     1.09967  0.00417972
         169     1.07544     1.09952  0.00415745
         170     1.06122      1.0993  0.00413909
         171     1.05931     1.09906  0.00412149
         172     1.07007      1.0989  0.00410097
         173      1.0797     1.09879  0.00407877
         174     1.07838     1.09867  0.00405701
         175     1.07866     1.09855  0.00403544
         176     1.09362     1.09853  0.00401261
         177     1.11743     1.09863  0.00399136
         178     1.13694     1.09885  0.00397473
         179     1.14206     1.09909  0.00395985
         180     1.13234     1.09927  0.00394216
         181     1.12032     1.09939  0.00392209
         182     1.12293     1.09952  0.00390268
         183     1.14544     1.09977  0.00388941
         184     1.17404     1.10017  0.00388916
         185     1.18676     1.10064  0.00389619
         186     1.17432     1.10104  0.00389533
         187      1.1496      1.1013  0.00388315
         188     1.12953     1.10145   0.0038654
         189     1.11824     1.10154  0.00384597
         190     1.11122     1.10159  0.00382606
         191      1.0989     1.10157  0.00380605
         192     1.07681     1.10144  0.00378842
         193     1.05087     1.10118  0.00377784
         194     1.03013     1.10082  0.00377608
         195     1.01873      1.1004  0.00378011
         196     1.01633     1.09997  0.00378508
         197     1.02068     1.09956   0.0037872
         198     1.02613     1.09919  0.00378619
         199     1.02945     1.09884  0.00378335
         200     1.03403     1.09852  0.00377828
         201     1.04171     1.09824  0.00377004
         202     1.04908     1.09799  0.00375923
         203     1.05966      1.0978  0.00374545
         204     1.08521     1.09774   0.0037276
         205     1.12117     1.09786  0.00371117
         206     1.14297     1.09808  0.00369961
         207     1.13523     1.09825  0.00368608
         208     1.10423     1.09828  0.00366847
         209     1.06304     1.09811   0.0036548
         210     1.02351     1.09776  0.00365462
         211    0.993739     1.09727   0.0036704
         212      0.9792     1.09671  0.00369509
         213    0.984979     1.09619  0.00371479
         214     1.00488     1.09576  0.00372186
         215     1.02619     1.09544  0.00371858
         216     1.04453      1.0952  0.00370883
         217     1.06233     1.09505  0.00369483
         218     1.08156     1.09499   0.0036784
         219     1.10023     1.09501  0.00366168
         220     1.11205     1.09509  0.00364586
         221     1.11234     1.09517  0.00363019
         222     1.10392      1.0952  0.00361406
         223     1.09637     1.09521  0.00359785
         224     1.09892     1.09523  0.00358183
         225     1.10909     1.09529  0.00356644
         226     1.11714     1.09538  0.00355197
         227     1.12246      1.0955  0.00353833
         228     1.12921     1.09565  0.00352589
         229     1.13384     1.09582  0.00351444
         230     1.12947     1.09597   0.0035022
         231     1.11361     1.09604  0.00348787
         232     1.08785     1.09601  0.00347302
         233     1.05851     1.09585  0.00346184
         234      1.0372     1.09559  0.00345611
         235     1.03206     1.09532  0.00345196
         236     1.03999     1.09509  0.00344528
         237     1.05267     1.09491  0.00343539
         238     1.06755      1.0948  0.00342288
         239     1.08794     1.09477  0.00340868
         240     1.11473     1.09485  0.00339549
         241     1.14138     1.09504  0.00338689
         242     1.16053     1.09531  0.00338368
         243     1.17112     1.09563  0.00338411
         244     1.17352     1.09595  0.00338526
         245     1.16544     1.09623  0.00338331
         246      1.1501     1.09645  0.00337663
         247     1.13976     1.09662  0.00336751
         248     1.14419     1.09682  0.00335939
         249     1.16295     1.09708  0.00335638
         250     1.18391     1.09743  0.00336088
         251     1.19224     1.09781  0.00336865
         252     1.18579     1.09815  0.00337332
         253     1.17279     1.09845  0.00337287
         254     1.16057     1.09869  0.00336844
         255     1.15125      1.0989  0.00336153
         256      1.1478     1.09909  0.00335382
         257     1.15287      1.0993  0.00334729
         258     1.15697     1.09952  0.00334177
         259     1.14866     1.09971  0.00333425
         260     1.13045     1.09983  0.00332352
         261     1.11869      1.0999  0.00331157
         262     1.12549         1.1  0.00330037
         263     1.14247     1.10016  0.00329177
         264     1.15112     1.10036  0.00328496
         265     1.14142     1.10051  0.00327622
         266     1.11732     1.10057  0.00326451
         267      1.0882     1.10053  0.00325261
         268     1.05932     1.10037  0.00324411
         269     1.03049     1.10011  0.00324243
         270     1.00545     1.09976  0.00324932
         271    0.996746     1.09938  0.00325949
         272     1.01111     1.09906  0.00326363
         273     1.03721     1.09883  0.00325953
         274     1.05821     1.09868    0.003251
         275     1.06949     1.09858  0.00324091
         276     1.07654      1.0985  0.00323015
         277     1.07932     1.09843  0.00321923
         278      1.0747     1.09834  0.00320878
         279     1.06613     1.09823  0.00319936
         280     1.05953     1.09809  0.00319092
         281     1.05494     1.09794  0.00318325
         282     1.04273     1.09774  0.00317798
         283     1.01789     1.09746  0.00317925
         284    0.995334      1.0971  0.00318833
         285    0.994226     1.09674  0.00319751
         286     1.02127     1.09647   0.0031972
         287      1.0622     1.09636  0.00318829
         288      1.0878     1.09633  0.00317735
         289     1.08298     1.09628   0.0031667
         290     1.05567     1.09614  0.00315887
         291     1.02709      1.0959  0.00315691
         292      1.0199     1.09564  0.00315681
         293     1.03994     1.09545  0.00315176
         294     1.07415     1.09538  0.00314187
         295     1.10947     1.09543  0.00313158
         296     1.14087     1.09558  0.00312476
         297     1.16465     1.09581  0.00312289
         298     1.17382     1.09607  0.00312336
         299     1.16226      1.0963  0.00312075
         300       1.133     1.09642  0.00311274
         301     1.10128     1.09643  0.00310244
         302     1.08475      1.0964  0.00309241
         303     1.08618     1.09636  0.00308239
         304     1.09808     1.09637  0.00307225
         305     1.11902     1.09644  0.00306308
         306     1.14932     1.09661  0.00305794
         307     1.17936     1.09688  0.00305983
         308     1.19503      1.0972  0.00306644
         309     1.18738     1.09749  0.00307038
         310     1.15503     1.09768  0.00306607
         311     1.10497      1.0977  0.00305631
         312     1.05137     1.09756  0.00305012
         313     1.00975     1.09727  0.00305325
         314    0.990611     1.09694  0.00306236
         315    0.996132     1.09662  0.00306931
         316      1.0183     1.09637  0.00306959
         317     1.04649     1.09621  0.00306394
         318     1.07194     1.09613  0.00305525
         319     1.07902     1.09608  0.00304615
         320     1.05595     1.09595  0.00303921
         321     1.02383     1.09573  0.00303803
         322     1.02384     1.09551  0.00303679
         323     1.04704     1.09536  0.00303109
         324     1.06636     1.09527  0.00302306
         325     1.07296      1.0952  0.00301454
         326     1.06694     1.09511  0.00300653
         327     1.05953       1.095  0.00299931
         328     1.06403     1.09491  0.00299165
         329     1.08004     1.09486   0.0029829
         330     1.10419     1.09489  0.00297399
         331     1.13664     1.09502  0.00296768
         332     1.16855     1.09524    0.002967
         333     1.18541     1.09551  0.00297042
         334     1.18037     1.09576  0.00297237
         335      1.1571     1.09595  0.00296913
         336     1.12967     1.09605  0.00296199
         337     1.11719     1.09611  0.00295387
         338     1.12711      1.0962  0.00294655
         339     1.14541     1.09635  0.00294143
         340     1.15529     1.09652  0.00293789
         341     1.15834      1.0967  0.00293486
