#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.66047     1.66047           0
           2     1.64881     1.65464   0.0041218
           3     1.66756     1.65895  0.00446269
           4     1.61819     1.64876   0.0094376
           5     1.66348      1.6517  0.00799609
           6     1.66011      1.6531  0.00678511
           7     1.65252     1.65302  0.00581632
           8     1.64589     1.65213  0.00515713
           9     1.66182      1.6532  0.00469512
          10     1.64226     1.65211  0.00435133
          11     1.66327     1.65312  0.00407232
          12     1.63529     1.65164    0.003995
          13     1.62983     1.64996  0.00402437
          14     1.66524     1.65105   0.0038821
          15     1.61945     1.64895  0.00415576
          16     1.58656     1.64505  0.00542516
          17     1.67896     1.64704  0.00546041
          18     1.65127     1.64728  0.00516211
          19     1.69211     1.64964  0.00540282
          20     1.65674     1.64999  0.00514434
          21     1.65828     1.65039  0.00491449
          22     1.63644     1.64975  0.00473183
          23     1.67108     1.65068  0.00461609
          24     1.65182     1.65073    0.004424
          25     1.67188     1.65157  0.00432719
          26     1.69374     1.65319  0.00445431
          27     1.65137     1.65313  0.00428985
          28     1.64303     1.65277  0.00415177
          29     1.63298     1.65208  0.00406427
          30     1.63375     1.65147  0.00397447
          31     1.63901     1.65107  0.00386653
          32     1.62934     1.65039  0.00380484
          33     1.64391      1.6502  0.00369461
          34     1.64732     1.65011  0.00358691
          35      1.6321      1.6496  0.00352116
          36     1.64725     1.64953  0.00342395
          37     1.67049      1.6501  0.00337795
          38     1.63159     1.64961  0.00332399
          39     1.63737      1.6493  0.00325354
          40     1.64908     1.64929  0.00317221
          41     1.65541     1.64944  0.00309834
          42     1.72014     1.65112  0.00345168
          43     1.60226     1.64999  0.00355353
          44     1.64397     1.64985   0.0034754
          45     1.65313     1.64992  0.00339893
          46     1.61806     1.64923  0.00339487
          47     1.69849     1.65028  0.00348063
          48     1.65678     1.65041  0.00341076
          49     1.63267     1.65005  0.00336033
          50     1.65077     1.65007  0.00329315
          51     1.61705     1.64942  0.00329159
          52      1.6565     1.64956   0.0032311
          53     1.62338     1.64906  0.00320766
          54     1.65666      1.6492  0.00315134
          55     1.64471     1.64912   0.0030951
          56     1.63665      1.6489  0.00304783
          57     1.64131     1.64876  0.00299726
          58     1.67853     1.64928  0.00298921
          59     1.66309     1.64951  0.00294771
          60       1.619       1.649  0.00294212
          61     1.65465      1.6491  0.00289534
          62     1.64024     1.64895  0.00285216
          63     1.65116     1.64899  0.00280711
          64     1.66112     1.64918  0.00276963
          65      1.6359     1.64897  0.00273455
          66     1.60288     1.64828  0.00278086
          67     1.66394     1.64851  0.00274917
          68     1.62864     1.64822  0.00272422
          69     1.62024     1.64781  0.00271475
          70     1.63225     1.64759  0.00268505
          71     1.66822     1.64788  0.00266292
          72     1.65317     1.64795  0.00262694
          73     1.66868     1.64824  0.00260626
          74     1.65882     1.64838  0.00257496
          75     1.62604     1.64808   0.0025578
          76     1.65008     1.64811  0.00252428
          77     1.67472     1.64845  0.00251504
          78     1.65027     1.64848   0.0024829
          79     1.62318     1.64816  0.00247203
          80      1.6287     1.64791  0.00245307
          81     1.64804     1.64792  0.00242278
          82     1.68743      1.6484  0.00244068
          83     1.65792     1.64851  0.00241397
          84     1.67727     1.64885  0.00240939
          85     1.65005     1.64887  0.00238109
          86     1.68261     1.64926  0.00238551
          87     1.58607     1.64853   0.0024662
          88     1.63097     1.64834  0.00244623
          89     1.63913     1.64823  0.00242093
          90      1.6706     1.64848  0.00240675
          91     1.65783     1.64858   0.0023825
          92     1.63906     1.64848  0.00235885
          93     1.66529     1.64866   0.0023404
          94     1.65545     1.64873  0.00231662
          95      1.6883     1.64915  0.00232937
          96     1.65313     1.64919  0.00230547
          97     1.66165     1.64932  0.00228528
          98     1.64687     1.64929   0.0022621
          99     1.64941     1.64929  0.00223925
         100     1.67102     1.64951  0.00222737
