#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      1.4787      1.4787           0
           2     1.49988     1.48929  0.00748962
           3     1.39672     1.45843   0.0256849
           4     1.62851     1.50095    0.041558
           5     1.40915     1.48259   0.0370815
           6     1.50009     1.48551   0.0310157
           7     1.51282     1.48941   0.0268292
           8     1.53104     1.49462    0.023975
           9     1.42581     1.48697   0.0224971
          10      1.4262     1.48089   0.0210522
          11     1.37014     1.47082    0.021411
          12     1.56866     1.47898   0.0211222
          13     1.51674     1.48188   0.0196962
          14     1.47642     1.48149   0.0182932
          15     1.52823     1.48461   0.0173369
          16     1.82528      1.5059   0.0262522
          17     1.28661       1.493   0.0276964
          18     1.47369     1.49193   0.0261784
          19     1.35235     1.48458   0.0258108
          20     1.38997     1.47985     0.02495
          21      1.4108     1.47656   0.0239776
          22      1.5622     1.48046   0.0232015
          23     1.31991     1.47348   0.0232191
          24     1.52525     1.47563   0.0223516
          25     1.35107     1.47065   0.0220058
          26     1.32954     1.46522   0.0218185
          27     1.34801     1.46088    0.021438
          28     1.39067     1.45837   0.0208185
          29     1.53392     1.46098   0.0202629
          30     1.51269      1.4627   0.0196607
          31     1.69888     1.47032   0.0204494
          32     1.60501     1.47453   0.0202389
          33     1.45011     1.47379   0.0196391
          34     1.51385     1.47497   0.0190968
          35     1.66262     1.48033   0.0192891
          36      1.5013     1.48091   0.0187621
          37     1.46311     1.48043   0.0182612
          38     1.51626     1.48137    0.017805
          39     1.50964      1.4821   0.0173632
          40     1.52154     1.48308   0.0169571
          41     1.39102     1.48084   0.0166915
          42     1.09028     1.47154   0.0187058
          43     1.59989     1.47453   0.0185074
          44     1.45848     1.47416   0.0180904
          45     1.48247     1.47435   0.0176893
          46     1.61174     1.47733   0.0175551
          47     1.38401     1.47535   0.0172936
          48      1.3515     1.47277   0.0171247
          49     1.50128     1.47335   0.0167851
          50     1.42669     1.47242   0.0164753
          51     1.53163     1.47358   0.0161931
          52     1.43515     1.47284   0.0158985
          53     1.42035     1.47185   0.0156294
          54     1.48273     1.47205   0.0153412
          55     1.50611     1.47267   0.0150748
          56     1.45673     1.47238   0.0148083
          57     1.53436     1.47347   0.0145884
          58     1.41707      1.4725   0.0143692
          59      1.4982     1.47293   0.0141323
          60     1.59315     1.47494    0.014038
          61     1.45517     1.47461   0.0138117
          62      1.5767     1.47626   0.0136867
          63     1.47722     1.47628   0.0134695
          64     1.30987     1.47368   0.0135076
          65     1.43669     1.47311   0.0133118
          66     1.64187     1.47566   0.0133534
          67     1.52832     1.47645   0.0131772
          68     1.62742     1.47867   0.0131691
          69     1.66462     1.48136   0.0132511
          70     1.64735     1.48374   0.0132723
          71     1.34777     1.48182   0.0132228
          72     1.41153     1.48084   0.0130751
          73     1.41852     1.47999   0.0129239
          74     1.38312     1.47868   0.0128154
          75     1.62834     1.48068   0.0127989
          76     1.46146     1.48042    0.012633
          77     1.33541     1.47854   0.0126085
          78     1.46473     1.47836   0.0124481
          79     1.63136      1.4803   0.0124403
          80     1.62198     1.48207   0.0124102
          81     1.35605     1.48052   0.0123541
          82     1.23768     1.47755   0.0125534
          83     1.42593     1.47693   0.0124175
          84     1.39624     1.47597   0.0123068
          85     1.46394     1.47583   0.0121628
          86      1.3001     1.47379   0.0121919
          87     1.78372     1.47735   0.0125614
          88     1.54222     1.47809   0.0124403
          89     1.45618     1.47784   0.0123029
          90     1.31912     1.47608    0.012292
          91     1.42684     1.47554   0.0121688
          92     1.63053     1.47722   0.0121526
          93     1.60774     1.47862   0.0121027
          94     1.42286     1.47803   0.0119885
          95     1.32352      1.4764   0.0119721
          96     1.49008     1.47655   0.0118482
          97      1.4825     1.47661   0.0117262
          98      1.5676     1.47754   0.0116433
          99     1.49726     1.47774   0.0115274
         100     1.39069     1.47687   0.0114449
