#   BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.359626   -0.359626           0
           2   -0.403155    -0.38139     0.01539
           3   -0.399116   -0.387299   0.0113376
           4   -0.419918   -0.395454   0.0110534
           5   -0.384078   -0.393178   0.0090739
           6   -0.382803   -0.391449   0.0077246
           7   -0.409018   -0.393959  0.00701696
           8   -0.376166   -0.391735  0.00648275
           9   -0.398246   -0.392458  0.00580268
          10   -0.375464   -0.390759   0.0054656
          11   -0.380737   -0.389848  0.00504409
          12   -0.395193   -0.390293  0.00464338
          13    -0.37428   -0.389061  0.00444657
          14   -0.414904   -0.390907  0.00449579
          15    -0.39207   -0.390985  0.00419674
          16   -0.415005   -0.392486  0.00419438
          17   -0.386996   -0.392163  0.00396006
          18   -0.425999   -0.394043  0.00416236
          19   -0.404605   -0.394599  0.00398023
          20   -0.396912   -0.394715   0.0037829
          21   -0.352339   -0.392697  0.00410583
          22   -0.405374   -0.393273  0.00395943
          23   -0.418223   -0.394358  0.00393309
          24   -0.392536   -0.394282  0.00376994
          25   -0.372831   -0.393424   0.0037155
          26   -0.376705   -0.392781  0.00362781
          27   -0.377903    -0.39223  0.00353505
          28   -0.401644   -0.392566  0.00342475
          29    -0.26884     -0.3883  0.00533935
          30   -0.387614   -0.388277  0.00516142
          31   -0.398937   -0.388621  0.00500636
          32   -0.382192    -0.38842  0.00485394
          33   -0.397534   -0.388696   0.0047147
          34   -0.374778   -0.388286  0.00459377
          35   -0.358733   -0.387442  0.00453946
          36     -0.3784   -0.387191  0.00442031
          37   -0.367046   -0.386646  0.00433424
          38   -0.406663   -0.387173  0.00425207
          39   -0.400243   -0.387508  0.00415623
          40   -0.391251   -0.387602  0.00405337
          41   -0.383412     -0.3875   0.0039558
          42   -0.369489   -0.387071  0.00388479
          43   -0.428549   -0.388035  0.00391237
          44   -0.391343   -0.388111  0.00382418
          45   -0.401531   -0.388409   0.0037508
          46   -0.361491   -0.387824  0.00371463
          47   -0.389941   -0.387869  0.00363587
          48   -0.392919   -0.387974  0.00356164
          49   -0.390988   -0.388035  0.00348949
          50   -0.362611   -0.387527  0.00345655
          51   -0.360326   -0.386994  0.00342967
          52   -0.399375   -0.387232  0.00337197
          53   -0.368929   -0.386886  0.00332599
          54   -0.405781   -0.387236  0.00328275
          55   -0.390753     -0.3873  0.00322368
          56   -0.384847   -0.387256  0.00316642
          57   -0.404077   -0.387552  0.00312459
          58   -0.424201   -0.388183  0.00313396
          59   -0.370237   -0.387879  0.00309557
          60   -0.392829   -0.387962  0.00304507
          61   -0.429337    -0.38864  0.00306977
          62   -0.375741   -0.388432  0.00302729
          63   -0.401117   -0.388633  0.00298593
          64   -0.383663   -0.388556  0.00294029
          65   -0.363444   -0.388169  0.00292032
          66   -0.389034   -0.388182   0.0028761
          67   -0.365948   -0.387851  0.00285226
          68   -0.397049   -0.387986  0.00281352
          69   -0.370529   -0.387733  0.00278409
          70   -0.403343   -0.387956  0.00275324
          71   -0.397333   -0.388088  0.00271762
          72   -0.395364   -0.388189  0.00268176
          73   -0.412247   -0.388519  0.00266519
          74   -0.400791   -0.388684  0.00263433
          75   -0.400535   -0.388842  0.00260394
          76   -0.406254   -0.389071  0.00257974
          77   -0.376133   -0.388903   0.0025517
          78   -0.421844   -0.389326   0.0025537
          79   -0.406089   -0.389538  0.00253017
          80   -0.411683   -0.389815  0.00251364
          81   -0.383537   -0.389737   0.0024838
          82   -0.392647   -0.389773  0.00245377
          83   -0.392421   -0.389805  0.00242441
          84   -0.383666   -0.389732  0.00239665
          85   -0.400807   -0.389862  0.00237199
          86   -0.402052   -0.390004  0.00234864
          87   -0.321334   -0.389214  0.00245069
          88   -0.395531   -0.389286  0.00242389
          89   -0.401204    -0.38942  0.00240035
          90   -0.365081    -0.38915  0.00238887
          91   -0.414179   -0.389425   0.0023784
          92   -0.420064   -0.389758  0.00237575
          93   -0.385294    -0.38971  0.00235069
          94    -0.39913    -0.38981  0.00232782
          95   -0.415733   -0.390083  0.00231925
          96   -0.404078   -0.390229  0.00229967
          97   -0.337117   -0.389681  0.00234024
          98   -0.396985   -0.389756  0.00231754
          99   -0.382524   -0.389683  0.00229529
         100   -0.393263   -0.389718  0.00227261
           1   -0.409343   -0.409343           0
           2   -0.370552   -0.389948   0.0137149
           3    -0.35265   -0.377515   0.0136618
           4   -0.408187   -0.385183   0.0122101
           5   -0.400081   -0.388163   0.0101251
           6    -0.37429   -0.385851  0.00869755
           7   -0.381616   -0.385246  0.00747605
           8    -0.41836   -0.389385  0.00760158
           9   -0.410297   -0.391709   0.0071032
          10   -0.393363   -0.391874  0.00639481
          11   -0.372455   -0.390109  0.00605224
          12   -0.426443   -0.393136  0.00625965
          13   -0.424822   -0.395574  0.00623463
          14   -0.400526   -0.395928  0.00579932
          15   -0.398898   -0.396126  0.00541608
          16   -0.387446   -0.395583  0.00510467
          17   -0.385833    -0.39501  0.00483651
          18   -0.393653   -0.394934   0.0045684
          19   -0.408854   -0.395667  0.00438632
          20   -0.404709   -0.396119  0.00419023
          21   -0.413158    -0.39693   0.0040685
          22   -0.423087   -0.398119  0.00405356
          23   -0.405424   -0.398437  0.00388974
          24   -0.391193   -0.398135  0.00373936
          25   -0.398351   -0.398144   0.0035898
          26    -0.38399   -0.397599  0.00349276
          27   -0.359561    -0.39619  0.00363645
          28   -0.414074   -0.396829  0.00356223
          29   -0.377386   -0.396159  0.00350191
          30   -0.413301    -0.39673  0.00343149
          31   -0.379429   -0.396172  0.00336587
          32   -0.357324   -0.394958  0.00347273
          33   -0.366435   -0.394094  0.00347339
          34   -0.340247    -0.39251  0.00371478
          35   -0.400993   -0.392752  0.00361654
          36   -0.359628   -0.391832  0.00363124
          37   -0.375054   -0.391379   0.0035613
          38   -0.432007   -0.392448  0.00362452
          39   -0.374007   -0.391975  0.00356229
          40   -0.397195   -0.392106  0.00347562
          41   -0.403914   -0.392394  0.00340276
          42   -0.398527    -0.39254  0.00332488
          43   -0.433265   -0.393487  0.00337976
          44   -0.333558   -0.392125  0.00356685
          45   -0.389525   -0.392067  0.00348805
          46   -0.334657   -0.390819  0.00362864
          47   -0.352258   -0.389998    0.003643
          48   -0.391684   -0.390034  0.00356727
          49   -0.357803   -0.389376   0.0035546
          50   -0.409423   -0.389777  0.00350604
          51   -0.411654   -0.390206  0.00346344
          52   -0.365766   -0.389736  0.00342858
          53   -0.392296   -0.389784  0.00336423
          54   -0.338448   -0.388833  0.00343362
          55   -0.373454   -0.388554  0.00338256
          56   -0.357614   -0.388001  0.00336697
          57    -0.41371   -0.388452  0.00333798
          58   -0.390305   -0.388484  0.00328058
          59   -0.412035   -0.388883  0.00324917
          60   -0.431358   -0.389591  0.00327123
          61   -0.401689    -0.38979   0.0032236
          62   -0.410872    -0.39013   0.0031895
          63   -0.405788   -0.390378  0.00314854
          64   -0.366609   -0.390007  0.00312117
          65   -0.243672   -0.387756  0.00379929
          66   -0.334575    -0.38695  0.00382622
          67   -0.383063   -0.386892  0.00376955
          68   -0.412381   -0.387267  0.00373271
          69   -0.380079   -0.387162  0.00368006
          70   -0.384091   -0.387119  0.00362775
          71   -0.384936   -0.387088  0.00357679
          72   -0.386466   -0.387079  0.00352712
          73   -0.388395   -0.387097  0.00347885
          74   -0.392446    -0.38717  0.00343259
          75   -0.357754   -0.386777  0.00340915
          76   -0.383667   -0.386736  0.00336454
          77   -0.371965   -0.386545  0.00332631
          78   -0.402976   -0.386755  0.00329033
          79   -0.326858   -0.385997  0.00333489
          80   -0.376445   -0.385878  0.00329534
          81   -0.422297   -0.386327  0.00328519
          82   -0.408841   -0.386602  0.00325658
          83   -0.393954    -0.38669  0.00321855
          84   -0.410327   -0.386972  0.00319251
          85   -0.378637   -0.386874  0.00315646
          86   -0.429271   -0.387367  0.00315802
          87    -0.42144   -0.387758  0.00314591
          88   -0.396038   -0.387852  0.00311157
          89   -0.404055   -0.388034  0.00308193
          90   -0.405315   -0.388226  0.00305366
          91   -0.350423   -0.387811  0.00304823
          92   -0.392853   -0.387866  0.00301559
          93   -0.363513   -0.387604  0.00299451
          94   -0.399559   -0.387731  0.00296535
          95    -0.36185   -0.387459  0.00294663
          96    -0.38367   -0.387419   0.0029162
          97   -0.381422   -0.387357  0.00288679
          98   -0.398058   -0.387467  0.00285939
          99    -0.42326   -0.387828  0.00285328
         100   -0.370797   -0.387658  0.00282982
           1     12.3286     12.3286           0
           2      17.061     14.6948     1.67315
           3     11.3814     13.5903     1.43438
           4     9.76444     12.6339     1.35773
           5     16.1624     13.3396     1.25627
           6     11.9992     13.1162     1.06657
           7     14.0461      13.249    0.922437
           8     11.7461     13.0611    0.826041
           9     15.0164     13.2784    0.762292
          10     13.3231     13.2829    0.686076
          11     21.0974     13.9933    0.920766
          12     14.1846     14.0092    0.844174
          13     14.1045     14.0165    0.779269
          14     17.9841     14.2999    0.773424
          15      12.418     14.1745    0.731967
          16     10.3843     13.9376    0.723537
          17     10.2541     13.7209    0.712682
          18     11.9216      13.621    0.680062
          19     16.0752     13.7501    0.656422
          20     11.9252     13.6589    0.629911
          21     10.2644     13.4972    0.620308
          22     13.7285     13.5078    0.592201
          23     13.6654     13.5146    0.566493
          24     13.3126     13.5062    0.542952
          25     12.4577     13.4643    0.522851
          26     14.8687     13.5183    0.505524
          27     10.0017      13.388    0.503299
          28      15.399     13.4598    0.490422
          29     12.9059     13.4407    0.473883
          30     10.8626     13.3548    0.465814
          31     12.4383     13.3252    0.451725
          32     9.11875     13.1938    0.456334
          33      13.997     13.2181    0.443155
          34     9.96529     13.1225    0.440327
          35      16.863     13.2293    0.440524
          36     10.8007     13.1619    0.433423
          37     15.8429     13.2343    0.427723
          38     12.6202     13.2182    0.416772
          39     13.4476      13.224    0.406127
          40     12.7485     13.2122    0.396148
          41     15.0927      13.258    0.389132
          42     10.5028     13.1924    0.385357
          43     25.1357     13.4702    0.465859
          44     12.5043     13.4482    0.455788
          45     9.31188     13.3563    0.454834
          46     12.5003     13.3377    0.445327
          47     14.1238     13.3544    0.436166
          48     11.9937     13.3261    0.427999
          49     10.9648     13.2779    0.421969
          50     18.1401     13.3751    0.424586
          51     14.0635     13.3886    0.416476
          52     10.8337     13.3395    0.411355
          53     14.0083     13.3521    0.403787
          54      20.588     13.4861    0.417952
          55     15.8141     13.5284    0.412491
          56     11.5638     13.4934    0.406614
          57     14.3068     13.5076    0.399731
          58     17.2332     13.5719    0.397966
          59     14.5489     13.5884    0.391566
          60     17.0597     13.6463     0.38929
          61     11.0415     13.6036    0.385243
          62     13.9381      13.609    0.379067
          63     15.6622     13.6416    0.374449
          64     9.04292     13.5697    0.375429
          65     11.8041     13.5425    0.370634
          66     8.50315     13.4662    0.372801
          67     9.68164     13.4097    0.371491
          68     13.1668     13.4061    0.366045
          69     11.3191     13.3759    0.361988
          70     15.1838     13.4017    0.357736
          71      13.379     13.4014    0.352698
          72     10.4237       13.36    0.350216
          73     8.22753     13.2897    0.352405
          74     19.6513     13.3757    0.357975
          75     14.2917     13.3879     0.35341
          76     13.9005     13.3947    0.348825
          77     13.1851     13.3919    0.344305
          78     18.2552     13.4543     0.34549
          79     14.4354     13.4667     0.34134
          80      12.218     13.4511     0.33743
          81     15.3186     13.4741    0.334051
          82     17.0593     13.5179    0.332826
          83     11.2575     13.4906    0.329928
          84     13.1017      13.486    0.326033
          85     14.2804     13.4954    0.322331
          86     12.8886     13.4883     0.31866
          87      9.0551     13.4373    0.319046
          88     13.9063     13.4427    0.315465
          89     14.4696     13.4542    0.312131
          90     11.3338     13.4306    0.309551
