        # Block          VALUE    ERROR_VALUE             MU          SIGMA
              0      -0.387658     0.00282982            0.7            0.7
              1      -0.387658     0.00282982            0.7            0.7
              2      -0.387658     0.00282982            0.7            0.7
              3      -0.387658     0.00282982            0.7            0.7
              4      -0.387658     0.00282982            0.7            0.7
              5      -0.387658     0.00282982            0.7            0.7
              6      -0.387658     0.00282982            0.7            0.7
              7      -0.387658     0.00282982            0.7            0.7
              8      -0.387658     0.00282982            0.7            0.7
              9        0.27597     0.00612803       0.298428       0.532811
             10        0.27597     0.00612803       0.298428       0.532811
             11       0.148623      0.0166125       0.298428        1.26181
             12       0.148623      0.0166125       0.298428        1.26181
             13       0.148623      0.0166125       0.298428        1.26181
             14       0.148623      0.0166125       0.298428        1.26181
             15       0.148623      0.0166125       0.298428        1.26181
             16       0.148623      0.0166125       0.298428        1.26181
             17       0.148623      0.0166125       0.298428        1.26181
             18       0.148623      0.0166125       0.298428        1.26181
             19       0.148623      0.0166125       0.298428        1.26181
             20       0.148623      0.0166125       0.298428        1.26181
             21       0.387143     0.00626765       0.298428       0.487318
             22      0.0996718     0.00354256       0.407904       0.501988
             23      0.0996718     0.00354256       0.407904       0.501988
             24      0.0996718     0.00354256       0.407904       0.501988
             25      -0.195982     0.00663738       0.407904        1.02914
             26      -0.195982     0.00663738       0.407904        1.02914
             27      -0.195982     0.00663738       0.407904        1.02914
             28     -0.0148723     0.00321245       0.407904       0.585071
             29      0.0211617     0.00361639       0.407904       0.562225
             30        1.02708       0.024278        1.07318       0.991981
             31        1.02708       0.024278        1.07318       0.991981
             32        1.02708       0.024278        1.07318       0.991981
             33        1.02708       0.024278        1.07318       0.991981
             34        1.02708       0.024278        1.07318       0.991981
             35        1.02708       0.024278        1.07318       0.991981
             36      -0.101639     0.00948557       0.733572       0.942241
             37      -0.227421      0.0060027       0.419578       0.972296
             38       0.348058     0.00583037       0.419578       0.379869
             39      0.0972656      0.0123095       0.742222        1.04625
             40      0.0972656      0.0123095       0.742222        1.04625
