#Block            VALUE          ERROR_VALUE
           0            -0.442992            0.000823169
           1            -0.442992            0.000823169
           2            -0.442992            0.000823169
           3            -0.442992            0.000823169
           4            0.982305            0.0036482
           5            0.982305            0.0036482
           6            0.982305            0.0036482
           7            0.982305            0.0036482
           8            0.982305            0.0036482
           9            0.982305            0.0036482
          10            0.982305            0.0036482
          11            -0.164738            0.00183592
          12            -0.244265            0.00295364
          13            -0.244265            0.00295364
          14            -0.341164            0.00115756
          15            -0.341164            0.00115756
          16            0.879906            0.00752276
          17            0.879906            0.00752276
          18            1.63034            0.0103861
          19            1.63034            0.0103861
          20            1.3778            0.0219018
          21            -0.245121            0.00196797
          22            -0.245121            0.00196797
          23            -0.0970019            0.00231115
          24            -0.0970019            0.00231115
          25            0.440174            0.00353905
          26            0.119146            0.00308905
          27            0.119146            0.00308905
          28            0.119146            0.00308905
          29            0.119146            0.00308905
          30            -0.240912            0.00188644
          31            -0.23852            0.00189094
          32            -0.23852            0.00189094
          33            -0.23852            0.00189094
          34            -0.23852            0.00189094
          35            0.627784            0.00357877
          36            0.738358            0.00502667
          37            0.738358            0.00502667
          38            0.462146            0.01102
          39            -0.0274916            0.00615411
          40            -0.0274916            0.00615411
          41            -0.0274916            0.00615411
          42            -0.0274916            0.00615411
          43            -0.0274916            0.00615411
          44            -0.126484            0.00515998
          45            0.0675967            0.00806073
          46            -0.130631            0.00170469
          47            -0.193142            0.00261328
          48            -0.193142            0.00261328
          49            -0.193142            0.00261328
          50            -0.193142            0.00261328
          51            0.358583            0.00676908
          52            0.54928            0.0063574
          53            0.54928            0.0063574
          54            0.54928            0.0063574
          55            0.54928            0.0063574
          56            0.54928            0.0063574
          57            0.54928            0.0063574
          58            0.105043            0.00425806
          59            0.105043            0.00425806
          60            -0.233213            0.00340587
          61            -0.229787            0.00346686
          62            -0.229787            0.00346686
          63            -0.229787            0.00346686
          64            -0.229787            0.00346686
          65            -0.238111            0.0025895
          66            -0.238111            0.0025895
          67            -0.252254            0.0020245
          68            -0.250689            0.00171687
          69            -0.250689            0.00171687
          70            -0.125093            0.00187691
          71            -0.125093            0.00187691
          72            -0.309596            0.00113491
          73            -0.331311            0.00203737
          74            -0.380818            0.00157272
          75            -0.245201            0.00157174
          76            -0.245201            0.00157174
          77            -0.159072            0.00232795
          78            -0.185035            0.00378942
          79            -0.247835            0.00257789
          80            -0.247835            0.00257789
