# of city   X position    Y position   THETA 
0           0.994097   0.108496   0.10871
1           0.991194   0.132421   0.132811
2           0.918643   0.395088   0.406163
3           0.857503   0.514478   0.540399
4           0.717473   0.696586   0.770629
5           0.490951   0.871187   1.05762
6           0.482205   0.876058   1.06763
7           0.34881   0.937194   1.2145
8           0.105631   0.994405   1.46497
9           0.067379   0.997727   1.50337
10           -0.0495759   0.99877   1.62039
11           -0.182645   0.983179   1.75447
12           -0.488159   0.872755   2.08078
13           -0.69137   0.722501   2.33418
14           -0.98434   0.176281   2.96439
15           -0.98968   0.143298   2.9978
16           -0.991421   0.130705   3.01051
17           -0.999094   0.0425475   3.09903
18           -0.99935   0.0360596   3.10553
19           -0.958776   -0.284163   3.42973
20           -0.899859   -0.436181   3.59294
21           -0.898197   -0.439593   3.59674
22           -0.874885   -0.48433   3.64719
23           -0.866511   -0.499159   3.66422
24           -0.861008   -0.508592   3.67514
25           -0.742544   -0.669797   3.87553
26           -0.556778   -0.830661   4.12189
27           -0.278816   -0.960344   4.42983
28           -0.127518   -0.991836   4.58452
29           0.029236   -0.999573   4.74163
30           0.0379884   -0.999278   4.75039
31           0.162934   -0.986637   4.87605
32           0.517489   -0.85569   5.2563
33           0.828785   -0.559567   5.68932
